#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.4788e+09 4.83026e+08 7.91171e+06 4.2435e+08 2.21805e+08 1.01203e+08 1.65208e+09 1.60318e+07 1.69834e+09 3.41727e+08 3.65726e+08 537
1.64679e+10 5.37191e+08 9.72663e+06 4.51982e+08 3.09054e+08 1.21503e+08 1.56369e+09 1.7478e+07 1.57905e+09 4.61019e+08 5.02745e+08 675
2.5437e+10 5.38295e+08 7.23901e+06 4.55301e+08 2.97997e+08 1.17934e+08 1.44414e+09 1.36528e+07 1.45711e+09 4.72159e+08 5.12454e+08 1121
3.97696e+10 5.39401e+08 6.78824e+06 4.59494e+08 3.01542e+08 1.31735e+08 1.35478e+09 1.32744e+07 1.33261e+09 5.40147e+08 5.21825e+08 1352
6.29051e+10 5.68691e+08 7.65357e+06 4.72159e+08 3.48186e+08 1.3987e+08 1.25069e+09 1.40673e+07 1.20565e+09 6.09881e+08 5.30864e+08 1339
9.98602e+10 5.95497e+08 8.03974e+06 5.12454e+08 3.46005e+08 1.73806e+08 1.13251e+09 1.38384e+07 1.0763e+09 6.22037e+08 4.70296e+08 1304
1.5673e+11 5.91437e+08 8.36706e+06 5.02745e+08 3.62924e+08 1.65378e+08 1.04991e+09 1.40501e+07 1.01076e+09 5.68287e+08 4.74045e+08 1188
2.47535e+11 5.85447e+08 9.42604e+06 5.0879e+08 3.26538e+08 1.70142e+08 9.84828e+08 1.62584e+07 8.77994e+08 6.40409e+08 4.1105e+08 878
3.89714e+11 5.87537e+08 1.24424e+07 5.02745e+08 3.55714e+08 1.64097e+08 9.87482e+08 2.04403e+07 8.77994e+08 5.79115e+08 4.1105e+08 534
6.16226e+11 5.73996e+08 1.41537e+07 4.70295e+08 3.75188e+08 1.29017e+08 9.47923e+08 2.50536e+07 8.10788e+08 5.84386e+08 2.74073e+08 339
9.57811e+11 5.96085e+08 1.97945e+07 5.17828e+08 3.27656e+08 1.73984e+08 8.59115e+08 3.2112e+07 7.43049e+08 5.26385e+08 2.76105e+08 165
1.50878e+12 5.97317e+08 3.10731e+07 5.26385e+08 3.19099e+08 1.72028e+08 8.14266e+08 4.63154e+07 7.43049e+08 5.26385e+08 3.82884e+08 78
2.49045e+12 5.89775e+08 4.88823e+07 5.12454e+08 3.65539e+08 1.68609e+08 8.15509e+08 6.11879e+07 7.43049e+08 4.626e+08 2.76105e+08 35
4.25142e+12 5.81341e+08 7.13635e+07 4.66483e+08 5.68526e+08 1.27835e+08 9.3028e+08 1.12764e+08 8.77994e+08 5.17181e+08 4.1105e+08 17
5.89729e+12 6.3314e+08 1.40774e+08 4.7771e+08 5.98591e+08 1.11984e+08 7.79403e+08 1.49076e+08 6.80662e+08 6.51951e+08 2.13718e+08 5
