#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
6.3877e+10 3.73016e+08 3.1738e+07 4.04754e+08 0 6.3476e+07 5.71361e+08 3.46454e+07 6.06006e+08 0 6.92907e+07 2
1.07468e+11 4.26376e+08 8.82784e+07 3.60165e+08 4.15189e+08 5.05524e+07 9.88203e+08 1.52145e+08 1.14127e+09 1.28166e+08 6.2344e+08 5
1.62009e+11 6.20274e+08 8.22747e+07 5.36715e+08 4.27529e+08 2.0906e+08 8.19653e+08 6.14282e+07 8.10788e+08 1.99972e+08 2.06236e+08 15
2.63018e+11 5.73583e+08 8.11983e+07 4.7771e+08 5.3305e+08 1.54563e+08 7.95412e+08 1.08381e+08 6.74785e+08 6.57828e+08 2.07841e+08 16
4.09634e+11 6.26031e+08 6.92576e+07 6.52126e+08 2.76105e+08 3.36286e+08 1.02224e+09 1.53251e+08 1.0763e+09 1.93133e+08 6.09358e+08 12
6.23539e+11 5.32125e+08 5.04936e+07 4.66944e+08 2.71761e+08 1.30968e+08 9.41361e+08 7.45129e+07 9.44654e+08 3.2478e+08 3.38648e+08 19
1.0024e+12 5.59406e+08 6.92144e+07 5.12454e+08 3.99942e+08 1.17593e+08 8.26578e+08 6.97052e+07 8.10788e+08 3.3048e+08 2.04782e+08 10
1.58224e+12 6.01074e+08 1.26282e+08 5.62728e+08 5.13574e+08 1.97002e+08 7.87556e+08 1.87736e+08 7.43049e+08 5.89564e+08 4.24176e+08 5
2.6034e+12 6.9701e+08 1.03249e+08 6.80662e+08 4.31441e+08 2.13718e+08 7.01199e+08 1.18862e+08 6.68934e+08 4.07368e+08 3.25089e+08 6
4.04666e+12 5.42734e+08 1.5832e+08 7.01053e+08 0 3.16639e+08 9.44377e+08 6.63834e+07 1.01076e+09 0 1.32767e+08 2
6.02312e+12 6.12296e+08 2.32155e+08 3.94861e+08 6.81441e+08 2.91347e+07 9.41354e+08 1.99203e+08 8.10788e+08 5.21825e+08 1.30127e+08 3
