#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
6.3877e+10 3.73016e+08 3.1738e+07 4.04754e+08 0 6.3476e+07 5.71361e+08 3.46454e+07 6.06006e+08 0 6.92907e+07 2
1.07468e+11 4.26376e+08 8.82784e+07 3.60165e+08 4.15189e+08 5.05524e+07 9.88203e+08 1.52145e+08 1.14127e+09 1.28166e+08 6.2344e+08 5
1.63559e+11 6.02335e+08 7.9024e+07 5.36715e+08 4.27529e+08 2.0906e+08 8.14865e+08 5.766e+07 8.10788e+08 1.99972e+08 2.06236e+08 16
2.61182e+11 5.49395e+08 6.60724e+07 4.7771e+08 5.03977e+08 1.54563e+08 8.4572e+08 9.2875e+07 6.74785e+08 5.94649e+08 2.07841e+08 20
4.16036e+11 6.26192e+08 6.52636e+07 5.46096e+08 4.64664e+08 2.21316e+08 9.96934e+08 1.00038e+08 9.72448e+08 4.22727e+08 5.05504e+08 24
6.3105e+11 5.64711e+08 3.92294e+07 4.74045e+08 2.94214e+08 1.1388e+08 9.3583e+08 5.93125e+07 9.04262e+08 4.90913e+08 3.67547e+08 39
1.01699e+12 5.76367e+08 4.66525e+07 4.66483e+08 4.45913e+08 1.06318e+08 9.15125e+08 4.57552e+07 8.77994e+08 3.63661e+08 2.71987e+08 41
1.62321e+12 5.75682e+08 3.8694e+07 5.07642e+08 2.25076e+08 1.68994e+08 9.11445e+08 6.71073e+07 8.10788e+08 6.4632e+08 3.43845e+08 52
2.49158e+12 6.02351e+08 3.36642e+07 5.17181e+08 3.48488e+08 1.57016e+08 9.08073e+08 4.58527e+07 8.51102e+08 4.18332e+08 3.84158e+08 65
3.84063e+12 6.60856e+08 4.09197e+07 6.06006e+08 3.14387e+08 2.21592e+08 8.81104e+08 5.65099e+07 6.74785e+08 6.57828e+08 1.484e+08 51
6.22931e+12 6.64143e+08 6.55503e+07 5.43816e+08 5.32485e+08 2.05168e+08 9.37312e+08 7.97776e+07 8.10788e+08 5.21825e+08 2.26402e+08 28
9.79425e+12 6.16137e+08 6.13789e+07 5.34093e+08 5.42209e+08 1.73928e+08 8.71769e+08 8.7273e+07 7.38705e+08 6.56469e+08 2.20877e+08 23
1.39822e+13 6.80073e+08 1.31713e+08 6.74785e+08 3.97697e+08 3.30556e+08 1.2026e+09 3.03766e+08 1.20565e+09 9.4217e+08 8.69674e+08 6
2.57184e+13 5.35926e+08 1.1687e+08 6.06006e+08 2.29992e+08 2.70031e+08 8.69263e+08 1.55133e+08 7.43049e+08 5.89564e+08 6.82641e+07 4
4.18382e+13 3.44229e+08 3.44229e+08 3.44229e+08 0 0 2.14782e+09 2.14782e+09 2.14782e+09 0 0 1
