#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
7.95307e+07 4.64343e+08 7.2248e+06 3.90856e+08 2.38561e+08 6.90033e+07 1.54559e+09 1.95008e+07 1.57905e+09 5.15283e+08 6.34393e+08 679
1.56847e+08 4.81873e+08 1.07277e+07 4.01037e+08 2.8108e+08 8.21635e+07 1.41526e+09 2.78014e+07 1.39517e+09 6.44891e+08 5.84386e+08 356
2.52119e+08 4.93723e+08 1.08446e+07 4.21578e+08 2.5179e+08 1.02705e+08 1.37818e+09 2.57841e+07 1.33261e+09 6.52428e+08 5.21825e+08 386
3.94474e+08 5.12829e+08 1.13535e+07 4.2435e+08 2.99268e+08 9.95702e+07 1.3168e+09 2.4157e+07 1.33261e+09 5.40147e+08 5.89564e+08 443
6.28908e+08 5.19761e+08 1.1993e+07 4.37779e+08 2.7628e+08 1.12999e+08 1.2548e+09 2.50411e+07 1.26943e+09 5.46096e+08 5.94649e+08 435
9.8827e+08 5.17185e+08 1.27293e+07 4.28905e+08 2.65471e+08 9.5652e+07 1.20755e+09 2.61248e+07 1.20565e+09 6.09881e+08 5.99643e+08 407
1.60104e+09 5.12802e+08 1.12904e+07 4.2435e+08 2.91256e+08 9.6591e+07 1.21607e+09 2.52242e+07 1.26943e+09 5.46096e+08 6.63428e+08 450
2.48852e+09 5.31319e+08 1.31773e+07 4.3338e+08 3.24802e+08 1.02901e+08 1.08513e+09 2.73134e+07 1.01076e+09 6.87579e+08 4.74045e+08 386
3.95424e+09 5.42156e+08 1.24294e+07 4.66483e+08 2.72222e+08 1.30508e+08 1.01785e+09 2.59114e+07 9.44654e+08 5.73748e+08 4.07939e+08 380
6.24212e+09 5.411e+08 1.34105e+07 4.58646e+08 2.84765e+08 1.21279e+08 1.00507e+09 2.57718e+07 9.44654e+08 5.73748e+08 4.7771e+08 370
9.94388e+09 5.34006e+08 1.26283e+07 4.66483e+08 2.49653e+08 1.29116e+08 1.01535e+09 2.88798e+07 9.44654e+08 6.94375e+08 4.7771e+08 321
1.58673e+10 5.39828e+08 1.43064e+07 4.66638e+08 2.49499e+08 1.2799e+08 9.07047e+08 2.7526e+07 8.10788e+08 5.84386e+08 3.43845e+08 277
2.49238e+10 5.52035e+08 1.40499e+07 4.7771e+08 2.75588e+08 1.41735e+08 8.84044e+08 2.59346e+07 7.46203e+08 5.8641e+08 2.79259e+08 286
3.94948e+10 5.34606e+08 1.42831e+07 4.66944e+08 2.76105e+08 1.28296e+08 8.4387e+08 2.83236e+07 7.43049e+08 5.26385e+08 2.76105e+08 232
6.12295e+10 5.12598e+08 1.8193e+07 4.24463e+08 2.63116e+08 8.58147e+07 8.72549e+08 3.38005e+07 7.43049e+08 5.89564e+08 2.76105e+08 161
9.90816e+10 4.73193e+08 1.5875e+07 4.42101e+08 1.67257e+08 1.06126e+08 9.34804e+08 4.00332e+07 8.77994e+08 4.54619e+08 4.1105e+08 108
1.5445e+11 4.63934e+08 2.32019e+07 4.3073e+08 1.15796e+08 1.03075e+08 8.81079e+08 5.76812e+07 7.43049e+08 5.89564e+08 2.76105e+08 52
2.31936e+11 3.85919e+08 3.13504e+07 3.41278e+08 8.02996e+07 2.85245e+07 9.43798e+08 1.5476e+08 8.77994e+08 4.54619e+08 3.41278e+08 11
3.89959e+11 4.64548e+08 7.10103e+07 4.04754e+08 2.01252e+08 2.18703e+07 5.64259e+08 1.07822e+08 6.06006e+08 1.20601e+08 2.45841e+08 3
