#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
1.17889e+08 4.70735e+08 6.59807e+07 5.36715e+08 0 1.31961e+08 6.05279e+08 726752 6.06006e+08 0 1.4535e+06 2
1.65538e+08 6.40249e+08 1.31573e+08 7.68258e+08 7.0953e+06 3.91124e+08 8.98368e+08 1.23014e+08 8.10788e+08 3.3048e+08 6.77395e+07 3
2.62433e+08 6.35172e+08 1.1171e+08 4.7771e+08 6.24604e+08 1.68098e+08 7.91192e+08 1.01403e+08 6.74785e+08 5.94649e+08 2.07841e+08 11
4.03339e+08 5.48006e+08 8.83011e+07 3.69595e+08 6.41165e+08 4.77425e+07 8.70356e+08 8.02176e+07 8.77994e+08 3.91441e+08 3.60165e+08 11
6.60958e+08 4.64092e+08 6.05252e+07 4.97762e+08 4.83347e+07 1.88149e+08 1.03241e+09 1.15658e+08 1.14127e+09 1.28166e+08 3.98219e+08 7
9.98073e+08 5.97537e+08 1.14018e+08 4.01517e+08 6.09243e+08 7.83698e+07 8.72034e+08 1.36634e+08 8.10788e+08 5.84386e+08 4.26374e+08 12
1.5507e+09 6.16298e+08 9.84222e+07 4.7771e+08 5.03977e+08 1.41735e+08 7.18999e+08 1.00347e+08 6.74785e+08 3.35975e+08 2.07841e+08 9
2.54352e+09 7.17447e+08 8.75018e+07 6.52428e+08 4.23874e+08 2.01907e+08 8.75736e+08 9.71911e+07 7.43049e+08 5.89564e+08 2.76105e+08 19
4.08314e+09 5.79891e+08 7.35075e+07 4.72159e+08 5.38601e+08 1.28315e+08 8.88016e+08 9.75098e+07 8.45484e+08 6.11624e+08 3.94861e+08 18
6.34977e+09 5.32156e+08 4.45454e+07 4.66944e+08 2.59663e+08 9.73485e+07 9.47179e+08 1.07548e+08 7.95898e+08 7.22505e+08 2.11409e+08 21
1.00936e+10 7.22715e+08 7.07834e+07 6.87579e+08 3.88723e+08 3.27414e+08 8.86622e+08 5.72939e+07 8.7897e+08 1.97332e+08 3.7679e+08 25
1.59926e+10 6.18673e+08 5.67242e+07 4.66944e+08 4.45453e+08 1.20933e+08 8.62164e+08 6.77457e+07 8.10788e+08 4.58646e+08 3.43845e+08 30
2.45656e+10 6.08501e+08 3.84641e+07 5.36715e+08 3.25284e+08 1.6712e+08 9.2334e+08 5.7363e+07 9.44654e+08 2.60995e+08 3.60165e+08 40
3.99943e+10 5.92249e+08 3.74008e+07 5.21825e+08 3.43845e+08 1.61659e+08 8.92027e+08 5.69587e+07 8.10788e+08 4.58646e+08 3.43845e+08 56
6.06246e+10 6.36983e+08 3.8466e+07 5.68772e+08 3.09221e+08 2.08607e+08 8.53001e+08 5.21601e+07 7.43049e+08 5.35816e+08 2.21224e+08 51
9.87182e+10 5.81927e+08 4.87981e+07 4.66638e+08 5.04239e+08 1.50798e+08 1.0493e+09 7.82467e+07 8.77994e+08 7.61036e+08 2.71987e+08 35
1.5753e+11 4.50188e+08 2.93971e+07 4.58646e+08 8.78809e+07 1.52229e+08 9.99571e+08 1.1696e+08 8.10788e+08 5.84386e+08 2.04782e+08 17
2.37902e+11 4.46839e+08 6.33473e+07 3.87959e+08 1.46134e+08 4.37299e+07 1.51769e+09 1.56033e+08 1.39517e+09 7.52645e+08 1.89526e+08 8
3.52032e+11 5.0538e+08 1.00626e+08 6.06006e+08 0 2.01252e+08 6.66307e+08 6.03004e+07 7.26607e+08 0 1.20601e+08 2
