#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.7123e+09 4.96122e+08 1.36932e+07 4.24463e+08 2.20429e+08 9.67034e+07 3.43206e+09 8.58229e+07 3.97868e+09 5.34093e+08 2.56976e+09 237
1.62766e+10 4.93226e+08 1.47069e+07 4.11571e+08 2.48262e+08 9.31214e+07 4.06115e+09 4.51679e+07 4.22253e+09 3.46011e+08 4.97762e+08 239
2.55725e+10 4.90454e+08 1.12712e+07 4.20356e+08 2.32072e+08 9.72089e+07 4.15782e+09 2.65475e+07 4.22253e+09 4.01036e+08 5.62728e+08 359
3.97734e+10 4.89184e+08 1.03221e+07 4.14234e+08 2.30658e+08 9.10868e+07 4.10279e+09 2.77319e+07 4.22253e+09 4.55301e+08 6.94375e+08 457
6.34637e+10 5.24509e+08 1.10682e+07 4.36884e+08 3.01821e+08 1.13737e+08 3.90538e+09 3.23444e+07 4.04061e+09 5.27933e+08 8.51102e+08 513
1.00456e+11 5.6706e+08 1.23946e+07 4.70295e+08 3.18873e+08 1.42536e+08 3.68811e+09 3.16502e+07 3.78915e+09 6.67111e+08 8.08969e+08 657
1.59498e+11 5.82213e+08 1.16409e+07 4.66483e+08 3.77135e+08 1.38724e+08 3.48689e+09 3.478e+07 3.65981e+09 7.39229e+08 1.03788e+09 742
2.51506e+11 6.45123e+08 1.47227e+07 5.02013e+08 3.93967e+08 1.63365e+08 3.06386e+09 4.18461e+07 3.32655e+09 9.5529e+08 1.61117e+09 807
3.98295e+11 6.84035e+08 1.47663e+07 5.30864e+08 5.03472e+08 1.8702e+08 2.50497e+09 4.38396e+07 2.51957e+09 1.45911e+09 1.58606e+09 857
6.27241e+11 7.10301e+08 1.61714e+07 5.4793e+08 5.49182e+08 1.96658e+08 2.21984e+09 4.39835e+07 2.10229e+09 1.62248e+09 1.3292e+09 807
9.74593e+11 7.37255e+08 2.05559e+07 5.62121e+08 6.11053e+08 2.00332e+08 1.88137e+09 5.11115e+07 1.7203e+09 1.60625e+09 1.10849e+09 537
1.53051e+12 8.15704e+08 3.45959e+07 6.43252e+08 5.46174e+08 2.56345e+08 1.78408e+09 7.35631e+07 1.48721e+09 1.63301e+09 8.75395e+08 247
2.34582e+12 7.74862e+08 4.68232e+07 6.35825e+08 5.36548e+08 2.53834e+08 1.41651e+09 1.03917e+08 1.01337e+09 1.46218e+09 4.01557e+08 95
3.74599e+12 7.86581e+08 6.37578e+07 6.606e+08 6.05898e+08 2.62523e+08 1.4733e+09 1.93365e+08 8.53413e+08 2.3361e+09 3.22537e+08 37
6.20581e+12 1.60648e+09 2.28297e+08 1.6811e+09 7.20295e+08 9.88537e+08 8.42131e+08 8.761e+07 6.92559e+08 4.00439e+08 8.07418e+07 15
1.08794e+13 8.19793e+08 2.72235e+08 8.80596e+08 3.77371e+08 5.59781e+08 6.11621e+08 8.09377e+07 6.92559e+08 0 2.42813e+08 3
1.49689e+13 6.58514e+08 1.43231e+08 8.01745e+08 0 2.86461e+08 2.30615e+09 1.8564e+09 4.16255e+09 0 3.71281e+09 2
2.27245e+13 2.79674e+09 6.79969e+08 3.52893e+09 2.77194e+07 2.76695e+09 9.48761e+08 2.92069e+08 1.33034e+09 2.34871e+08 8.80596e+08 4
