#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.10234e+07 4.76351e+08 6.92323e+06 4.06005e+08 2.18552e+08 8.2858e+07 4.07002e+09 2.45328e+07 4.22253e+09 4.55301e+08 6.94375e+08 872
1.58532e+08 5.03056e+08 1.17914e+07 4.11571e+08 2.62753e+08 9.31214e+07 3.99064e+09 3.10029e+07 4.10191e+09 5.21663e+08 7.07614e+08 457
2.48371e+08 4.95274e+08 1.00986e+07 4.20052e+08 2.54211e+08 9.69046e+07 3.98288e+09 3.25672e+07 4.10191e+09 5.21663e+08 7.07614e+08 492
3.97749e+08 5.28959e+08 1.11347e+07 4.42101e+08 2.92984e+08 1.14342e+08 3.86349e+09 3.61784e+07 3.97868e+09 6.44891e+08 7.89168e+08 512
6.36297e+08 5.4356e+08 1.27745e+07 4.43556e+08 2.90456e+08 1.18776e+08 3.71052e+09 3.65856e+07 3.91612e+09 5.96655e+08 1.07788e+09 589
1.00771e+09 5.49063e+08 1.24056e+07 4.652e+08 2.98889e+08 1.46241e+08 3.51834e+09 4.19835e+07 3.72477e+09 7.31492e+08 1.24922e+09 567
1.57951e+09 6.11404e+08 1.57978e+07 4.84849e+08 3.87906e+08 1.54369e+08 3.34667e+09 4.39354e+07 3.65981e+09 7.39229e+08 1.48217e+09 631
2.532e+09 6.09084e+08 1.35094e+07 4.75409e+08 4.09307e+08 1.44929e+08 3.06143e+09 4.47084e+07 3.32655e+09 9.5529e+08 1.76134e+09 746
3.97534e+09 6.58162e+08 1.45754e+07 5.07642e+08 4.50913e+08 1.65915e+08 2.87271e+09 4.53421e+07 3.18951e+09 1.03302e+09 2.09651e+09 849
6.35568e+09 6.74114e+08 1.42512e+07 5.0218e+08 5.59555e+08 1.60453e+08 2.56893e+09 4.31612e+07 2.69447e+09 1.34614e+09 1.84106e+09 960
1.01386e+10 7.36685e+08 1.60341e+07 5.43816e+08 5.74663e+08 2.02089e+08 2.36113e+09 4.12225e+07 2.25261e+09 1.72607e+09 1.47951e+09 1095
1.60048e+10 7.58398e+08 1.41737e+07 5.60556e+08 6.40813e+08 2.14186e+08 2.16173e+09 3.40498e+07 1.95053e+09 1.77425e+09 1.23641e+09 1431
2.51078e+10 7.93443e+08 1.28407e+07 6.27305e+08 6.30662e+08 2.58616e+08 1.99283e+09 3.06002e+07 1.7203e+09 1.80785e+09 1.02774e+09 1681
3.98336e+10 7.77087e+08 1.25073e+07 6.11817e+08 6.08431e+08 2.50028e+08 1.9111e+09 3.04501e+07 1.56521e+09 1.96295e+09 9.53396e+08 1675
6.21352e+10 7.02046e+08 1.06569e+07 5.62121e+08 5.1853e+08 2.03861e+08 1.8748e+09 3.15022e+07 1.56521e+09 1.82908e+09 9.53396e+08 1517
9.86118e+10 7.20486e+08 1.47358e+07 5.58931e+08 5.42093e+08 1.97143e+08 1.86395e+09 4.06818e+07 1.40892e+09 2.05258e+09 7.97101e+08 970
1.52229e+11 7.79264e+08 2.47821e+07 6.11817e+08 5.7761e+08 2.33328e+08 1.66222e+09 6.06289e+07 1.093e+09 2.30129e+09 5.62121e+08 446
2.40938e+11 9.12436e+08 5.31108e+07 6.6446e+08 8.26017e+08 3.01408e+08 1.38175e+09 9.55309e+07 8.53413e+08 2.12677e+09 3.22537e+08 174
3.77008e+11 9.70797e+08 1.04798e+08 7.73094e+08 5.56107e+08 3.69426e+08 1.1044e+09 1.71694e+08 6.92559e+08 5.58931e+08 2.42813e+08 45
5.78029e+11 1.1415e+09 3.01302e+08 7.92119e+08 9.90873e+08 3.42374e+08 6.96684e+08 7.27881e+07 6.11817e+08 1.61277e+08 4.81887e+07 7
