#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
46.5592 4.765e+08 5.54807e+06 4.10865e+08 2.20838e+08 9.00497e+07 3.12235e+09 4.31814e+07 3.91612e+09 5.40147e+08 2.82312e+09 1174
62.71 4.28082e+08 5.49987e+06 3.77135e+08 1.63012e+08 6.34706e+07 4.23019e+09 2.34739e+07 4.34047e+09 3.37367e+08 4.2435e+08 712
79.4731 4.27623e+08 6.18401e+06 3.74223e+08 1.71874e+08 5.57732e+07 4.37389e+09 1.57496e+07 4.39903e+09 3.32289e+08 4.20356e+08 550
100.865 4.57082e+08 7.06971e+06 3.9259e+08 1.97276e+08 7.37166e+07 4.16546e+09 2.06789e+07 4.28184e+09 3.95991e+08 6.22037e+08 635
127.451 5.10325e+08 7.47925e+06 4.2435e+08 2.83264e+08 1.01203e+08 3.69505e+09 2.62351e+07 3.85294e+09 6.03325e+08 8.72755e+08 1010
161.077 6.03653e+08 7.89077e+06 4.75409e+08 4.02976e+08 1.42156e+08 2.81418e+09 2.811e+07 3.05045e+09 1.1121e+09 1.87807e+09 2080
199.698 7.31192e+08 8.13293e+06 5.63819e+08 5.60399e+08 2.05559e+08 1.90494e+09 2.1365e+07 1.56521e+09 1.82908e+09 9.53396e+08 3253
244.813 8.38149e+08 1.31376e+07 6.43252e+08 6.27305e+08 2.55293e+08 1.44724e+09 2.52652e+07 1.02071e+09 1.45485e+09 4.74821e+08 1723
307.044 9.80724e+08 3.23416e+07 7.89499e+08 7.75713e+08 3.65149e+08 1.26294e+09 4.79169e+07 8.6689e+08 1.38572e+09 3.85709e+08 387
389.216 1.37787e+09 7.02333e+07 1.25149e+09 8.7528e+08 6.89369e+08 1.02281e+09 7.23068e+07 6.92559e+08 9.73305e+08 2.42813e+08 126
496.228 1.65066e+09 1.19743e+08 1.44057e+09 1.18136e+09 8.00892e+08 9.19698e+08 7.49824e+07 6.96246e+08 7.90966e+08 2.465e+08 52
605.232 1.84269e+09 2.05294e+08 1.58738e+09 1.46307e+09 8.71019e+08 8.69088e+08 9.96284e+07 7.73094e+08 3.99279e+08 3.47344e+08 23
758.068 2.04663e+09 2.18557e+08 2.01807e+09 9.93682e+08 4.46652e+08 4.92841e+08 4.89264e+07 5.30876e+08 1.61682e+08 1.61561e+08 6
927.35 2.68057e+09 2.68057e+09 2.68057e+09 0 0 1.17237e+09 1.17237e+09 1.17237e+09 0 0 1
