#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
46.6135 4.76886e+08 4.94053e+06 4.11571e+08 2.17846e+08 9.07558e+07 3.20788e+09 3.79712e+07 3.97868e+09 4.77585e+08 2.80631e+09 1470
62.7901 4.31119e+08 4.55566e+06 3.79655e+08 1.65185e+08 6.12052e+07 4.23923e+09 1.85819e+07 4.34047e+09 3.37367e+08 4.2435e+08 1054
80.4582 4.50472e+08 5.26879e+06 3.90856e+08 1.88021e+08 7.19831e+07 4.26959e+09 1.34885e+07 4.34047e+09 3.90856e+08 4.87529e+08 1120
100.392 4.94271e+08 5.43187e+06 4.20052e+08 2.54273e+08 9.74261e+07 4.02654e+09 1.57098e+07 4.10191e+09 5.21663e+08 6.40409e+08 1590
127.117 5.52804e+08 5.94437e+06 4.55301e+08 3.20053e+08 1.27541e+08 3.56703e+09 1.83765e+07 3.72477e+09 6.74262e+08 9.58191e+08 2343
159.91 6.43972e+08 6.43224e+06 5.02745e+08 4.47609e+08 1.64097e+08 2.68459e+09 2.05164e+07 2.83824e+09 1.20237e+09 1.74524e+09 3848
198.556 7.4204e+08 7.06685e+06 5.73749e+08 5.89174e+08 2.1196e+08 1.90625e+09 1.80568e+07 1.64291e+09 1.75138e+09 1.0311e+09 4470
244.68 8.39061e+08 1.22925e+07 6.43252e+08 6.27305e+08 2.54796e+08 1.45503e+09 2.36655e+07 1.093e+09 1.45595e+09 5.45067e+08 1973
307.447 9.92763e+08 2.96968e+07 7.99465e+08 7.65748e+08 3.62619e+08 1.25328e+09 4.41017e+07 8.6689e+08 1.38572e+09 3.68594e+08 446
389.859 1.40305e+09 7.11272e+07 1.25149e+09 1.04614e+09 7.01575e+08 1.01927e+09 7.04469e+07 6.92559e+08 9.71564e+08 2.42813e+08 138
495.789 1.68664e+09 1.21814e+08 1.41477e+09 1.35181e+09 7.07841e+08 9.64115e+08 8.6836e+07 6.96246e+08 8.68967e+08 2.465e+08 59
605.232 1.84269e+09 2.05294e+08 1.58738e+09 1.46307e+09 8.71019e+08 8.69088e+08 9.96284e+07 7.73094e+08 3.99279e+08 3.47344e+08 23
758.068 2.04663e+09 2.18557e+08 2.01807e+09 9.93682e+08 4.46652e+08 4.92841e+08 4.89264e+07 5.30876e+08 1.61682e+08 1.61561e+08 6
927.35 2.68057e+09 2.68057e+09 2.68057e+09 0 0 1.17237e+09 1.17237e+09 1.17237e+09 0 0 1
