#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
46.996 4.77016e+08 1.08875e+07 4.20356e+08 1.98933e+08 9.72089e+07 3.60077e+09 7.41625e+07 4.10191e+09 4.66638e+08 2.30453e+09 290
62.9573 4.37441e+08 8.12618e+06 3.84989e+08 1.69087e+08 6.23632e+07 4.25805e+09 2.98761e+07 4.39903e+09 2.788e+08 5.46096e+08 342
81.4202 4.72519e+08 8.36232e+06 4.10865e+08 2.08424e+08 8.9012e+07 4.16895e+09 2.08774e+07 4.22253e+09 4.55301e+08 4.97762e+08 570
100.077 5.18649e+08 7.62427e+06 4.43556e+08 2.87936e+08 1.20409e+08 3.93738e+09 2.15332e+07 4.04061e+09 5.82958e+08 7.14059e+08 954
126.859 5.84372e+08 8.66156e+06 4.82497e+08 3.5192e+08 1.50208e+08 3.47161e+09 2.51125e+07 3.65981e+09 6.80662e+08 1.11086e+09 1332
158.479 6.88334e+08 1.04105e+07 5.34724e+08 4.96372e+08 1.90495e+08 2.54493e+09 2.98577e+07 2.62192e+09 1.29419e+09 1.60855e+09 1731
195.29 7.7214e+08 1.49224e+07 5.92175e+08 6.56705e+08 2.2645e+08 1.93371e+09 3.49015e+07 1.78957e+09 1.53698e+09 1.09702e+09 1134
242.99 8.10735e+08 3.68329e+07 6.29539e+08 5.46286e+08 2.44226e+08 1.53588e+09 7.71538e+07 1.093e+09 1.60147e+09 5.62121e+08 208
307.663 1.13455e+09 1.01595e+08 1.0311e+09 9.44838e+08 4.77394e+08 1.05831e+09 1.13717e+08 7.73094e+08 1.17743e+09 2.42217e+08 37
400.569 1.1109e+09 5.37039e+08 5.15283e+08 2.62923e+09 1.99363e+08 1.41808e+09 6.93838e+08 6.92559e+08 3.46999e+09 2.42813e+08 5
502.755 2.39774e+09 6.60769e+08 3.33941e+09 2.17245e+08 2.57742e+09 8.48958e+08 2.47271e+08 4.49746e+08 1.11547e+09 0 5
