#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.16633e+09 1.05683e+09 1.58761e+06 7.94287e+08 9.29958e+08 4.24032e+08 2.16246e+09 2.88289e+06 1.74201e+09 2.14595e+09 1.02505e+09 267352
1.56497e+10 8.62148e+08 1.92004e+06 6.79528e+08 6.63141e+08 3.23255e+08 1.87462e+09 4.36407e+06 1.39649e+09 1.88396e+09 7.91253e+08 108691
2.46807e+10 8.29089e+08 2.30425e+06 6.05234e+08 6.76918e+08 2.54786e+08 1.72274e+09 5.29964e+06 1.26213e+09 1.65773e+09 6.56894e+08 71803
3.91877e+10 8.21118e+08 2.81626e+06 5.95618e+08 6.86534e+08 2.476e+08 1.58379e+09 6.23277e+06 1.16825e+09 1.39422e+09 5.65592e+08 48909
6.23177e+10 8.52452e+08 3.50055e+06 6.05234e+08 7.58842e+08 2.5599e+08 1.52599e+09 7.10441e+06 1.14952e+09 1.29457e+09 5.44284e+08 35563
9.9111e+10 9.09811e+08 4.34904e+06 6.79528e+08 7.78546e+08 3.27882e+08 1.53193e+09 8.33489e+06 1.16825e+09 1.27584e+09 5.63017e+08 27107
1.573e+11 9.74428e+08 5.34157e+06 6.99664e+08 9.0946e+08 3.44522e+08 1.5685e+09 9.33597e+06 1.16825e+09 1.27584e+09 5.63017e+08 21299
2.49217e+11 1.02693e+09 6.23331e+06 7.17979e+08 9.5161e+08 3.56361e+08 1.66006e+09 1.06717e+07 1.28215e+09 1.39907e+09 6.76918e+08 17782
3.9537e+11 1.13002e+09 7.55726e+06 8.14837e+08 1.06912e+09 4.43256e+08 1.76724e+09 1.17267e+07 1.39649e+09 1.52337e+09 7.91253e+08 15003
6.26646e+11 1.25301e+09 9.47131e+06 8.62121e+08 1.22861e+09 4.12575e+08 1.93057e+09 1.34509e+07 1.51125e+09 1.64866e+09 7.94287e+08 12781
9.91378e+11 1.38611e+09 1.17711e+07 9.60049e+08 1.36603e+09 5.01881e+08 2.15888e+09 1.59279e+07 1.74201e+09 2.02384e+09 1.02505e+09 10429
1.56975e+12 1.59583e+09 1.53543e+07 1.0987e+09 1.6842e+09 6.22933e+08 2.37901e+09 1.92535e+07 1.85802e+09 2.27501e+09 1.14106e+09 8394
2.46704e+12 1.83828e+09 2.06021e+07 1.26673e+09 2.01372e+09 7.5868e+08 2.55236e+09 2.33909e+07 2.09125e+09 2.41132e+09 1.26213e+09 6234
3.92109e+12 2.17376e+09 3.02849e+07 1.46964e+09 2.63218e+09 8.85563e+08 2.44122e+09 2.79046e+07 1.9191e+09 2.33686e+09 1.12785e+09 4040
6.13852e+12 2.42108e+09 4.27584e+07 1.70078e+09 2.92544e+09 1.09554e+09 2.38262e+09 3.40258e+07 1.95015e+09 2.18288e+09 1.12102e+09 2334
9.77942e+12 2.70868e+09 6.06873e+07 1.97444e+09 3.15834e+09 1.29232e+09 2.13558e+09 4.20956e+07 1.74201e+09 1.78051e+09 1.02505e+09 1353
1.56045e+13 3.10348e+09 8.85816e+07 2.42592e+09 3.48724e+09 1.61108e+09 2.01277e+09 5.52899e+07 1.62642e+09 1.65403e+09 9.0946e+08 714
2.43925e+13 3.06382e+09 1.31853e+08 2.37672e+09 3.46694e+09 1.58243e+09 1.86802e+09 8.19168e+07 1.51125e+09 1.64866e+09 9.06013e+08 312
3.86126e+13 2.98612e+09 1.68935e+08 2.44409e+09 3.23269e+09 1.64085e+09 1.66335e+09 9.43956e+07 1.28215e+09 1.39306e+09 5.65192e+08 168
6.01582e+13 3.33461e+09 2.71441e+08 3.28045e+09 2.00514e+09 2.33811e+09 1.28034e+09 1.01386e+08 1.05478e+09 8.95366e+08 4.49546e+08 66
9.52934e+13 3.11857e+09 4.0575e+08 2.88369e+09 2.11471e+09 2.05456e+09 1.41973e+09 1.47919e+08 1.28215e+09 6.92286e+08 5.50452e+08 29
1.59979e+14 2.71866e+09 5.49349e+08 1.83849e+09 2.61377e+09 7.53872e+08 1.99162e+09 3.63009e+08 1.85802e+09 1.6645e+09 1.14106e+09 11
3.01176e+14 3.48018e+08 3.48018e+08 3.48018e+08 0 0 1.62642e+09 1.62642e+09 1.62642e+09 0 0 1
3.16912e+14 3.1599e+09 60.8958 3.1599e+09 0 0 1.22222e+09 6.16274e+08 1.83849e+09 0 1.23255e+09 2
5.06765e+14 1.53348e+09 1.53348e+09 1.53348e+09 0 0 1.62642e+09 1.62642e+09 1.62642e+09 0 0 1
