#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.53138e+09 1.06119e+09 4.67519e+06 7.97294e+08 9.36049e+08 4.285e+08 1.97286e+09 8.18776e+06 1.51125e+09 2.01127e+09 8.26562e+08 31075
1.58193e+10 9.33897e+08 5.19911e+06 7.0208e+08 7.89428e+08 3.42538e+08 1.77204e+09 1.03455e+07 1.28215e+09 1.75756e+09 6.76918e+08 18486
2.48383e+10 9.30674e+08 5.9305e+06 6.92286e+08 8.04673e+08 3.38284e+08 1.64612e+09 1.11492e+07 1.16825e+09 1.63211e+09 5.63017e+08 14920
3.93617e+10 9.28986e+08 6.6965e+06 6.84684e+08 8.17669e+08 3.33038e+08 1.54626e+09 1.26679e+07 1.16825e+09 1.27584e+09 5.63017e+08 11790
6.25783e+10 1.01052e+09 8.19218e+06 7.1696e+08 9.62536e+08 3.59569e+08 1.54269e+09 1.40178e+07 1.16825e+09 1.27584e+09 5.63017e+08 9500
9.92992e+10 1.08263e+09 9.60864e+06 7.94287e+08 1.04457e+09 4.33699e+08 1.58245e+09 1.61002e+07 1.16825e+09 1.39422e+09 5.63017e+08 7882
1.57216e+11 1.17126e+09 1.21594e+07 8.29125e+08 1.18848e+09 4.63679e+08 1.6683e+09 1.88258e+07 1.28215e+09 1.39907e+09 6.76918e+08 6046
2.47891e+11 1.25599e+09 1.5073e+07 8.92799e+08 1.27789e+09 4.43253e+08 1.79173e+09 2.209e+07 1.39649e+09 1.52337e+09 7.91253e+08 4722
3.94549e+11 1.39359e+09 1.92938e+07 9.57236e+08 1.49409e+09 5.02484e+08 1.91356e+09 2.64825e+07 1.51125e+09 1.64866e+09 8.28639e+08 3637
6.22632e+11 1.55074e+09 2.65214e+07 1.04393e+09 1.75643e+09 5.89179e+08 2.12393e+09 3.28043e+07 1.62642e+09 2.01761e+09 9.0946e+08 2728
9.85538e+11 1.76909e+09 3.62909e+07 1.20818e+09 2.0482e+09 7.30945e+08 2.30933e+09 4.03573e+07 1.74201e+09 2.39102e+09 1.02505e+09 1878
1.55739e+12 2.03813e+09 4.93825e+07 1.37934e+09 2.47055e+09 8.854e+08 2.48523e+09 5.19261e+07 1.8961e+09 2.60647e+09 1.17914e+09 1351
2.45852e+12 2.21197e+09 6.77966e+07 1.41329e+09 2.95337e+09 8.41648e+08 2.63393e+09 6.50759e+07 2.09125e+09 2.65883e+09 1.26213e+09 841
3.88704e+12 2.58608e+09 1.04118e+08 1.73334e+09 3.19054e+09 1.10892e+09 2.64861e+09 9.36605e+07 2.09125e+09 2.7829e+09 1.37429e+09 464
6.0711e+12 3.03995e+09 1.62537e+08 2.17649e+09 3.6012e+09 1.47207e+09 2.22067e+09 1.0239e+08 1.85802e+09 2.27501e+09 1.14106e+09 220
9.78609e+12 3.31082e+09 2.48249e+08 2.71971e+09 3.78842e+09 2.13168e+09 2.06983e+09 1.40575e+08 1.74201e+09 1.90202e+09 9.99575e+08 118
1.57615e+13 3.07843e+09 4.16012e+08 2.09125e+09 4.00548e+09 1.26213e+09 2.05447e+09 2.36006e+08 1.62642e+09 1.77491e+09 9.0946e+08 41
2.44832e+13 4.36717e+09 6.22029e+08 3.539e+09 4.44332e+09 2.5217e+09 1.92697e+09 2.94963e+08 1.51125e+09 2.62178e+09 7.94287e+08 23
3.7033e+13 2.61207e+09 5.09839e+08 2.63714e+09 1.69443e+09 1.58954e+09 1.86705e+09 2.28025e+08 1.74201e+09 1.17785e+09 6.87229e+08 12
6.8141e+13 1.23094e+09 7.711e+08 5.69512e+08 2.19865e+09 2.1437e+08 1.94343e+09 5.05474e+08 2.32608e+09 2.36385e+08 1.38435e+09 3
9.18462e+13 5.83792e+09 2.95423e+09 8.79215e+09 0 5.90846e+09 2.9924e+09 1.01796e+09 4.01036e+09 0 2.03592e+09 2
1.70018e+14 7.8623e+08 2.98391e+08 1.08462e+09 0 5.96783e+08 3.10187e+09 4.20646e+08 3.52252e+09 0 8.41292e+08 2
