#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.16666e+09 1.0556e+09 1.59209e+06 7.94287e+08 9.26562e+08 4.24032e+08 2.15431e+09 2.88559e+06 1.74201e+09 2.02384e+09 1.02505e+09 264909
1.56515e+10 8.61331e+08 1.92549e+06 6.76918e+08 6.62527e+08 3.20645e+08 1.86676e+09 4.36418e+06 1.39649e+09 1.88396e+09 7.91253e+08 107767
2.46864e+10 8.28596e+08 2.30301e+06 6.05234e+08 6.76918e+08 2.54786e+08 1.72004e+09 5.30071e+06 1.25748e+09 1.66238e+09 6.52244e+08 71616
3.92e+10 8.20888e+08 2.80313e+06 5.95618e+08 6.84699e+08 2.476e+08 1.58849e+09 6.25144e+06 1.16825e+09 1.39422e+09 5.63017e+08 49114
6.23614e+10 8.53218e+08 3.47142e+06 6.05234e+08 7.58842e+08 2.5599e+08 1.53861e+09 7.16085e+06 1.16825e+09 1.27584e+09 5.63017e+08 36029
9.91388e+10 9.10465e+08 4.27934e+06 6.82122e+08 7.80743e+08 3.30476e+08 1.54952e+09 8.39175e+06 1.16825e+09 1.27584e+09 5.63017e+08 27762
1.57341e+11 9.73267e+08 5.22411e+06 6.99664e+08 9.0946e+08 3.44522e+08 1.60472e+09 9.57492e+06 1.16825e+09 1.39422e+09 5.63017e+08 22091
2.49362e+11 1.03012e+09 6.0831e+06 7.24166e+08 9.5533e+08 3.62548e+08 1.71922e+09 1.12349e+07 1.28215e+09 1.51394e+09 6.76918e+08 18605
3.95477e+11 1.13454e+09 7.33901e+06 8.2046e+08 1.06962e+09 4.47062e+08 1.86246e+09 1.28237e+07 1.39649e+09 1.64322e+09 7.91253e+08 15891
6.27109e+11 1.26399e+09 9.19733e+06 9.02545e+08 1.19125e+09 4.52999e+08 2.08703e+09 1.53418e+07 1.62642e+09 1.77491e+09 9.0946e+08 13736
9.92295e+11 1.40869e+09 1.14737e+07 9.69076e+08 1.41486e+09 5.09219e+08 2.39232e+09 1.84643e+07 1.85802e+09 2.15234e+09 1.14106e+09 11485
1.57079e+12 1.67747e+09 1.5556e+07 1.14106e+09 1.82371e+09 6.62663e+08 2.67293e+09 2.16969e+07 2.09125e+09 2.53496e+09 1.26213e+09 9480
2.46753e+12 2.04901e+09 2.20967e+07 1.33625e+09 2.53927e+09 7.6889e+08 2.85384e+09 2.48124e+07 2.31041e+09 2.79169e+09 1.48128e+09 7234
3.91859e+12 2.66867e+09 3.54848e+07 1.6645e+09 3.7371e+09 1.06018e+09 2.69674e+09 2.90781e+07 2.17068e+09 2.70347e+09 1.34156e+09 4714
6.1377e+12 3.29707e+09 5.43692e+07 2.12603e+09 4.82679e+09 1.42637e+09 2.62148e+09 3.53693e+07 2.09125e+09 2.53496e+09 1.26213e+09 2760
9.75015e+12 4.0165e+09 8.13538e+07 2.9998e+09 5.08557e+09 2.2797e+09 2.30452e+09 4.28508e+07 1.85802e+09 2.15234e+09 1.12811e+09 1551
1.55848e+13 5.13335e+09 1.2633e+08 5.26813e+09 4.00873e+09 4.3264e+09 2.06954e+09 5.23866e+07 1.62642e+09 2.01761e+09 9.0946e+08 793
2.43128e+13 5.20661e+09 1.98983e+08 5.53937e+09 3.90194e+09 4.62164e+09 2.01204e+09 8.33747e+07 1.51125e+09 1.89008e+09 7.94287e+08 347
3.87479e+13 5.4846e+09 2.9845e+08 6.35636e+09 3.60538e+09 5.42714e+09 1.74682e+09 9.83613e+07 1.28215e+09 1.63771e+09 6.68071e+08 170
5.99178e+13 5.65736e+09 4.41256e+08 6.22682e+09 3.66938e+09 4.94466e+09 1.54714e+09 1.46691e+08 1.16194e+09 1.16415e+09 5.56703e+08 76
9.5459e+13 5.91611e+09 7.34803e+08 7.45519e+09 1.9576e+09 6.51345e+09 1.37606e+09 1.2403e+08 1.28215e+09 6.92286e+08 4.53027e+08 26
1.61659e+14 6.67424e+09 1.18732e+09 7.88776e+09 3.0644e+09 6.58588e+09 1.7408e+09 4.05313e+08 1.28215e+09 1.39907e+09 5.65192e+08 11
2.32153e+14 8.72595e+09 1.91954e+09 9.21138e+09 2.56991e+09 4.0262e+09 1.2575e+09 2.53985e+08 1.37544e+09 2.50981e+08 6.04806e+08 3
3.85187e+14 7.31235e+09 4.0775e+09 1.13898e+10 0 8.15499e+09 3.51773e+09 3.12629e+09 6.64402e+09 0 6.25258e+09 2
5.06765e+14 1.16825e+09 1.16825e+09 1.16825e+09 0 0 3.42996e+08 3.42996e+08 3.42996e+08 0 0 1
