#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#mpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
8.11674e+09 1.05582e+09 1.69167e+06 7.94287e+08 9.26562e+08 4.24032e+08 2.19047e+09 3.08359e+06 1.74201e+09 2.14595e+09 1.02505e+09 235205
1.56147e+10 8.45242e+08 2.0494e+06 6.74308e+08 6.19132e+08 3.18036e+08 1.9014e+09 4.83485e+06 1.39649e+09 2.00484e+09 7.91253e+08 89525
2.46415e+10 8.00346e+08 2.44401e+06 5.99529e+08 6.48538e+08 2.50285e+08 1.7556e+09 6.06743e+06 1.28215e+09 1.75756e+09 6.76918e+08 56501
3.91452e+10 7.83455e+08 2.99872e+06 5.82048e+08 5.95803e+08 2.35276e+08 1.61645e+09 7.25291e+06 1.16825e+09 1.51297e+09 5.63017e+08 37003
6.22446e+10 7.89486e+08 3.60665e+06 5.82048e+08 6.27948e+08 2.3403e+08 1.54908e+09 8.40676e+06 1.16825e+09 1.27584e+09 5.88245e+08 26109
9.90691e+10 8.34976e+08 4.53165e+06 6.05234e+08 6.76918e+08 2.5599e+08 1.5475e+09 9.96584e+06 1.16825e+09 1.27584e+09 5.63017e+08 19473
1.57386e+11 8.91894e+08 5.43691e+06 6.79528e+08 7.38366e+08 3.26692e+08 1.58386e+09 1.10703e+07 1.16825e+09 1.39422e+09 5.63017e+08 15673
2.49945e+11 9.45424e+08 6.21399e+06 7.0445e+08 8.06797e+08 3.45969e+08 1.69734e+09 1.30411e+07 1.28215e+09 1.39907e+09 6.76918e+08 13515
3.95919e+11 1.05198e+09 7.50911e+06 7.94287e+08 9.47722e+08 4.26288e+08 1.83763e+09 1.44239e+07 1.39649e+09 1.52337e+09 7.91253e+08 11982
6.28315e+11 1.18315e+09 9.2216e+06 8.41292e+08 1.12297e+09 3.91746e+08 2.0567e+09 1.69174e+07 1.62642e+09 1.65403e+09 9.0946e+08 10783
9.92968e+11 1.32438e+09 1.15497e+07 9.41735e+08 1.26673e+09 4.85268e+08 2.38276e+09 2.0325e+07 1.85802e+09 2.15234e+09 1.14106e+09 9364
1.57305e+12 1.59386e+09 1.59107e+07 1.08404e+09 1.68415e+09 6.09767e+08 2.65861e+09 2.35283e+07 2.09125e+09 2.53496e+09 1.26213e+09 7888
2.46928e+12 2.00243e+09 2.3219e+07 1.33365e+09 2.42837e+09 7.70633e+08 2.85523e+09 2.67416e+07 2.31463e+09 2.68377e+09 1.4855e+09 6215
3.92182e+12 2.61996e+09 3.7446e+07 1.62642e+09 3.66136e+09 1.03264e+09 2.70227e+09 3.09937e+07 2.20847e+09 2.54162e+09 1.37934e+09 4121
6.14224e+12 3.28931e+09 5.73483e+07 2.10118e+09 4.8468e+09 1.39673e+09 2.63656e+09 3.74997e+07 2.09797e+09 2.52825e+09 1.26885e+09 2474
9.74939e+12 4.04033e+09 8.5928e+07 3.03971e+09 5.04566e+09 2.31165e+09 2.33848e+09 4.56971e+07 1.85802e+09 2.15234e+09 1.06677e+09 1393
1.5551e+13 5.25649e+09 1.31015e+08 5.73432e+09 3.54255e+09 4.77152e+09 2.08338e+09 5.48003e+07 1.68427e+09 1.95975e+09 9.67313e+08 726
2.42516e+13 5.20889e+09 2.08269e+08 5.53937e+09 3.90194e+09 4.70813e+09 2.02431e+09 8.78671e+07 1.51125e+09 1.89008e+09 7.94287e+08 320
3.88086e+13 5.54622e+09 3.127e+08 6.53992e+09 3.44653e+09 5.6107e+09 1.74941e+09 1.04961e+08 1.28215e+09 1.63771e+09 6.68071e+08 156
5.97569e+13 5.63442e+09 4.75527e+08 6.05989e+09 4.31367e+09 4.77774e+09 1.48733e+09 1.60883e+08 1.05478e+09 1.26797e+09 4.70849e+08 67
9.59535e+13 5.66481e+09 7.74648e+08 7.39254e+09 2.2058e+09 6.45333e+09 1.35027e+09 1.32046e+08 1.16825e+09 9.23002e+08 4.17889e+08 24
1.59858e+14 7.89223e+09 1.06466e+09 8.83692e+09 2.11525e+09 3.83852e+09 1.62328e+09 4.86601e+08 1.14496e+09 9.46297e+08 4.27996e+08 9
2.41805e+14 7.12598e+09 2.09814e+09 9.21138e+09 2.56991e+09 6.88529e+09 1.21193e+09 1.85285e+08 1.37544e+09 2.50981e+08 6.04806e+08 4
3.85187e+14 7.31235e+09 4.0775e+09 1.13898e+10 0 8.15499e+09 3.51773e+09 3.12629e+09 6.64402e+09 0 6.25258e+09 2
5.06765e+14 1.16825e+09 1.16825e+09 1.16825e+09 0 0 3.42996e+08 3.42996e+08 3.42996e+08 0 0 1
