#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#sm <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
7.73217e+07 1.04289e+09 3.03871e+07 7.94287e+08 8.99206e+08 3.42996e+08 1.18334e+09 3.8113e+07 9.02545e+08 9.68911e+08 4.08602e+08 644
1.57544e+08 1.04963e+09 4.74502e+07 8.00274e+08 9.41735e+08 3.48983e+08 1.10451e+09 4.32712e+07 9.16284e+08 7.10135e+08 3.55447e+08 281
2.53495e+08 1.22685e+09 6.17789e+07 9.12884e+08 1.29558e+09 4.56417e+08 1.15097e+09 6.75971e+07 9.06013e+08 7.82923e+08 4.1207e+08 228
3.97441e+08 1.24671e+09 5.6622e+07 9.41735e+08 1.0155e+09 4.47792e+08 1.07313e+09 4.76375e+07 8.29125e+08 6.8385e+08 3.35182e+08 265
6.26987e+08 1.10175e+09 4.51814e+07 9.12884e+08 8.29125e+08 4.18941e+08 1.28653e+09 8.46573e+07 9.41735e+08 9.10366e+08 3.70096e+08 233
9.96764e+08 1.37062e+09 6.86321e+07 1.05478e+09 1.25985e+09 4.91763e+08 1.25717e+09 7.53404e+07 9.41735e+08 1.0327e+09 4.47792e+08 208
1.57166e+09 1.09247e+09 6.76155e+07 8.29125e+08 9.12884e+08 3.77834e+08 1.29498e+09 8.833e+07 9.41735e+08 9.16891e+08 3.59687e+08 168
2.50566e+09 1.25115e+09 6.47009e+07 9.41735e+08 1.0327e+09 4.47792e+08 1.22136e+09 7.64688e+07 9.41735e+08 9.16284e+08 4.47792e+08 206
3.97267e+09 1.33964e+09 8.04642e+07 9.77827e+08 1.3037e+09 4.83884e+08 1.41912e+09 1.08007e+08 1.05478e+09 1.15369e+09 5.60837e+08 159
6.36543e+09 1.40027e+09 8.74333e+07 1.04393e+09 1.32657e+09 5.58532e+08 1.43778e+09 8.30071e+07 1.05478e+09 1.38931e+09 4.62886e+08 162
1.0182e+10 1.41439e+09 1.11081e+08 9.41735e+08 1.62073e+09 4.70519e+08 1.55501e+09 1.32689e+08 1.20338e+09 1.12271e+09 6.31739e+08 137
1.56034e+10 1.86663e+09 1.63603e+08 1.25278e+09 1.78692e+09 6.74834e+08 1.41817e+09 1.08903e+08 9.41735e+08 1.62073e+09 3.78718e+08 127
2.45992e+10 1.65282e+09 1.27557e+08 1.05478e+09 2.22567e+09 5.60837e+08 1.74226e+09 1.30187e+08 1.39649e+09 1.63209e+09 8.2062e+08 130
3.99202e+10 2.32536e+09 1.71662e+08 1.62642e+09 2.75872e+09 9.52111e+08 1.85752e+09 1.5679e+08 1.37429e+09 1.90615e+09 8.8035e+08 130
6.34384e+10 2.32463e+09 1.87946e+08 1.48049e+09 2.40747e+09 7.80831e+08 1.65071e+09 1.44879e+08 1.16825e+09 1.29949e+09 6.74128e+08 132
9.89126e+10 2.02967e+09 1.90678e+08 1.16825e+09 2.82838e+09 5.63017e+08 2.52333e+09 2.1565e+08 1.89008e+09 2.73614e+09 1.22307e+09 101
1.61215e+11 2.20027e+09 2.02404e+08 1.37429e+09 3.0299e+09 7.92245e+08 2.53335e+09 2.12048e+08 1.74201e+09 2.76056e+09 1.13677e+09 107
2.44138e+11 2.77071e+09 3.41086e+08 1.51125e+09 4.04833e+09 1.0173e+09 2.45453e+09 2.22028e+08 1.74201e+09 3.35917e+09 1.02505e+09 68
3.82205e+11 3.74219e+09 6.34251e+08 2.56247e+09 5.24305e+09 1.62073e+09 1.59269e+09 2.9039e+08 1.14556e+09 1.52978e+09 6.90808e+08 26
5.88209e+11 2.80036e+09 2.80036e+09 2.80036e+09 0 0 3.59542e+08 3.59542e+08 3.59542e+08 0 0 1
