#Only galaxies that have rejuvenated at least once and are currently obs. star-forming
#vmpeak <QTime> AvgErr Median_QTime 1Sig+ 1Sig- <SFTime> AvgErr Median_SFTime 1Sig+ 1Sig- Counts
44.3543 9.12677e+08 1.25193e+06 6.89768e+08 7.41497e+08 3.30226e+08 1.90889e+09 2.59708e+06 1.39649e+09 2.00484e+09 7.91253e+08 306784
62.2958 8.23208e+08 2.19294e+06 5.95618e+08 6.86534e+08 2.476e+08 1.53419e+09 4.65007e+06 1.05478e+09 1.38931e+09 4.87418e+08 81881
78.9972 9.07786e+08 3.17612e+06 6.82122e+08 7.90705e+08 3.30476e+08 1.51278e+09 6.06809e+06 1.16825e+09 1.27584e+09 5.63017e+08 49023
99.4093 1.01795e+09 4.23151e+06 7.17979e+08 9.70957e+08 3.57391e+08 1.65176e+09 7.82327e+06 1.28215e+09 1.28032e+09 6.76918e+08 35233
125.167 1.17065e+09 5.87221e+06 8.29125e+08 1.149e+09 4.28088e+08 1.91973e+09 1.0351e+07 1.51125e+09 1.55738e+09 8.36939e+08 26199
157.488 1.41533e+09 8.71379e+06 9.79648e+08 1.4633e+09 5.19791e+08 2.35521e+09 1.42753e+07 1.82165e+09 2.1887e+09 1.10469e+09 19218
197.746 1.88656e+09 1.46635e+07 1.26213e+09 2.26039e+09 7.68185e+08 2.83184e+09 1.88037e+07 2.20847e+09 2.78993e+09 1.37934e+09 13429
247.499 2.80875e+09 3.01949e+07 1.79671e+09 3.98511e+09 1.19148e+09 2.74097e+09 2.41814e+07 2.20847e+09 2.78993e+09 1.37934e+09 6963
309.757 4.07356e+09 6.06867e+07 3.097e+09 4.998e+09 2.29673e+09 2.40454e+09 3.30574e+07 1.95015e+09 2.30582e+09 1.12102e+09 2743
389.508 5.34328e+09 1.2141e+08 5.95538e+09 3.52669e+09 5.03573e+09 1.98509e+09 4.72522e+07 1.62642e+09 1.77491e+09 9.0946e+08 922
491.58 5.51116e+09 2.42242e+08 6.05989e+09 3.8363e+09 5.01229e+09 1.6969e+09 7.85632e+07 1.28215e+09 1.51821e+09 5.94923e+08 252
605.763 6.01653e+09 4.82552e+08 7.14361e+09 2.81133e+09 5.86146e+09 1.47181e+09 1.37805e+08 1.14952e+09 9.41735e+08 3.99156e+08 64
774.434 7.17931e+09 9.10048e+08 8.83692e+09 2.11525e+09 7.10979e+09 1.69533e+09 2.8727e+08 1.37544e+09 1.30579e+09 6.04806e+08 16
1055.38 6.27905e+09 5.1108e+09 1.13898e+10 0 1.02216e+10 3.67218e+08 2.42224e+07 3.91441e+08 0 4.84449e+07 2
1132.3 3.23486e+09 3.23485e+09 3.23485e+09 0 0 6.64402e+09 6.64402e+09 6.64402e+09 0 0 1
