#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 9.75 - 10.25
#HM   Stats: 7.976470e+09 (median) + 4.557330e+09  / - 1.595590e+09
#SM   Stats: 1.631230e+07 (median) + 2.500630e+07  / - 8.895210e+06
#VMP  Stats: 4.299000e+01 (median) + 7.259998e+00  / - 3.930000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.495567e-11 (median) + 9.018349e-12  / - 6.415818e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 153
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 153
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 153
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 153
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 153
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 153
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 153
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 153
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 153
sfh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 153
sfh 0.080373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 153
sfh 0.082623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 153
sfh 0.085998 0 0 0 #avg: 6.17929e-05; avg_err: 6.17929e-05; sd: 0.000761834; counts: 153
sfh 0.089373 0 0 0 #avg: 0.000471333; avg_err: 0.000285089; sd: 0.00351481; counts: 153
sfh 0.092748 0 0 0 #avg: 0.00041855; avg_err: 0.000244496; sd: 0.00301435; counts: 153
sfh 0.096123 0 0 0 #avg: 0.00125016; avg_err: 0.000608561; sd: 0.00750284; counts: 153
