#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 9.75 - 10.25
#HM   Stats: 9.344120e+09 (median) + 7.067680e+09  / - 2.963240e+09
#SM   Stats: 1.639420e+07 (median) + 1.493458e+08  / - 9.155050e+06
#VMP  Stats: 4.872000e+01 (median) + 2.492000e+01  / - 9.510002e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.400964e-11 (median) + 1.205910e-11  / - 1.119935e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 30
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 30
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 30
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 30
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 30
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 30
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 30
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 30
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 30
sfh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 30
sfh 0.080373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 30
sfh 0.082623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 30
sfh 0.085998 0 0 0 #avg: 0.000315144; avg_err: 0.000315144; sd: 0.0016971; counts: 30
sfh 0.089373 0 0 0 #avg: 0.00187868; avg_err: 0.00134339; sd: 0.00723436; counts: 30
sfh 0.092748 0 0 0 #avg: 0.00163218; avg_err: 0.00118459; sd: 0.0063792; counts: 30
sfh 0.096123 0 0 0 #avg: 0.00409103; avg_err: 0.00256239; sd: 0.0137989; counts: 30
sfh 0.099498 0 0.00966716 0 #avg: 0.00691558; avg_err: 0.00414658; sd: 0.02233; counts: 30
sfh 0.102873 0 0.0352881 0 #avg: 0.00959975; avg_err: 0.00416618; sd: 0.0224356; counts: 30
sfh 0.106248 0 0.0213334 0 #avg: 0.00898726; avg_err: 0.00448808; sd: 0.0241691; counts: 30
sfh 0.109623 0 0.0188123 0 #avg: 0.00861764; avg_err: 0.00435459; sd: 0.0234502; counts: 30
sfh 0.112998 0 0.00707946 0 #avg: 0.0165928; avg_err: 0.0092931; sd: 0.0500449; counts: 30
sfh 0.116373 0 0.00871616 0 #avg: 0.0185583; avg_err: 0.0113258; sd: 0.0609911; counts: 30
sfh 0.119748 0 0.0130795 0 #avg: 0.0287856; avg_err: 0.0202077; sd: 0.108822; counts: 30
sfh 0.123123 0 0.0195762 0 #avg: 0.0320416; avg_err: 0.0248817; sd: 0.133992; counts: 30
sfh 0.126498 9.50439e-05 0.0235281 9.50439e-05 #avg: 0.0192307; avg_err: 0.00946475; sd: 0.0509692; counts: 30
sfh 0.129873 0.00108391 0.0314426 0.00108391 #avg: 0.0235627; avg_err: 0.0103829; sd: 0.0559137; counts: 30
sfh 0.133248 0.00265728 0.0267281 0.00265728 #avg: 0.0203825; avg_err: 0.00729836; sd: 0.0393028; counts: 30
sfh 0.136623 0.00247693 0.0377155 0.00247693 #avg: 0.0212717; avg_err: 0.00663853; sd: 0.0357496; counts: 30
sfh 0.141685 0.00610944 0.0679563 0.00610944 #avg: 0.0277159; avg_err: 0.00820467; sd: 0.0441835; counts: 30
sfh 0.146748 0.00554348 0.0517236 0.00553265 #avg: 0.0338712; avg_err: 0.0138929; sd: 0.0748158; counts: 30
sfh 0.15181 0.012431 0.037019 0.0121187 #avg: 0.0473341; avg_err: 0.0182131; sd: 0.0980804; counts: 30
sfh 0.156873 0.0153574 0.126495 0.0123683 #avg: 0.0674736; avg_err: 0.0264027; sd: 0.142183; counts: 30
sfh 0.161935 0.0180112 0.166074 0.0176872 #avg: 0.083456; avg_err: 0.028445; sd: 0.153181; counts: 30
sfh 0.166998 0.0249075 0.122337 0.0246981 #avg: 0.113984; avg_err: 0.0385943; sd: 0.207837; counts: 30
sfh 0.17206 0.0276178 0.0734912 0.0247302 #avg: 0.0668834; avg_err: 0.0237537; sd: 0.127918; counts: 30
sfh 0.177123 0.0139793 0.0885427 0.0122045 #avg: 0.063015; avg_err: 0.02618; sd: 0.140984; counts: 30
sfh 0.182185 0.00872846 0.100812 0.00797525 #avg: 0.0754918; avg_err: 0.0397658; sd: 0.214145; counts: 30
