#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.25 - 12.75
#HM   Stats: 2.422060e+12 (median) + 1.200000e+12  / - 4.941201e+11
#SM   Stats: 8.673000e+10 (median) + 8.367301e+10  / - 4.542090e+10
#VMP  Stats: 2.848300e+02 (median) + 4.153000e+01  / - 2.390997e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.088400e-09 (median) + 3.086317e-09  / - 1.508323e-09
sfh 0.055623 0 0 0 #avg: 0.00110982; avg_err: 0.000528837; sd: 0.0603477; counts: 13023
sfh 0.060123 0 0 0 #avg: 0.0127748; avg_err: 0.00318299; sd: 0.363223; counts: 13023
sfh 0.062373 0 0 0 #avg: 0.0305043; avg_err: 0.00594105; sd: 0.677956; counts: 13023
sfh 0.064623 0 0 0 #avg: 0.0619561; avg_err: 0.00986499; sd: 1.12573; counts: 13023
sfh 0.066873 0 0 0 #avg: 0.117602; avg_err: 0.0175882; sd: 2.00706; counts: 13023
sfh 0.069123 0 0 0 #avg: 0.169034; avg_err: 0.0195881; sd: 2.23527; counts: 13023
sfh 0.071373 0 0 0 #avg: 0.21532; avg_err: 0.0185892; sd: 2.12129; counts: 13023
sfh 0.073623 0 0.0625788 0 #avg: 0.274732; avg_err: 0.0238817; sd: 2.72524; counts: 13023
sfh 0.075873 0 0.166232 0 #avg: 0.326341; avg_err: 0.018697; sd: 2.13359; counts: 13023
sfh 0.078123 0 0.316714 0 #avg: 0.395282; avg_err: 0.0179556; sd: 2.04898; counts: 13023
sfh 0.080373 0 0.484042 0 #avg: 0.474293; avg_err: 0.0211879; sd: 2.41783; counts: 13023
sfh 0.082623 0.00557767 0.580906 0.00557767 #avg: 0.50491; avg_err: 0.0216832; sd: 2.47435; counts: 13023
sfh 0.085998 0.039974 0.844156 0.039974 #avg: 0.809406; avg_err: 0.057228; sd: 6.53052; counts: 13023
sfh 0.089373 0.0973787 1.05547 0.0973787 #avg: 0.939958; avg_err: 0.0374092; sd: 4.26891; counts: 13023
sfh 0.092748 0.161455 1.20499 0.161455 #avg: 1.15108; avg_err: 0.0455592; sd: 5.19894; counts: 13023
sfh 0.096123 0.239436 1.46699 0.237572 #avg: 1.35347; avg_err: 0.0485692; sd: 5.54243; counts: 13023
sfh 0.099498 0.305848 1.68022 0.292977 #avg: 1.61239; avg_err: 0.0533023; sd: 6.08253; counts: 13023
sfh 0.102873 0.383639 2.05582 0.356188 #avg: 1.91832; avg_err: 0.0588395; sd: 6.71441; counts: 13023
sfh 0.106248 0.451335 2.53019 0.406469 #avg: 2.31388; avg_err: 0.0752196; sd: 8.58361; counts: 13023
sfh 0.109623 0.54197 3.06681 0.477729 #avg: 2.72975; avg_err: 0.088666; sd: 10.118; counts: 13023
sfh 0.112998 0.650628 3.4297 0.568794 #avg: 3.13101; avg_err: 0.0897709; sd: 10.2441; counts: 13023
sfh 0.116373 0.762314 3.97874 0.657741 #avg: 3.58329; avg_err: 0.105251; sd: 12.0106; counts: 13023
sfh 0.119748 0.903187 4.50769 0.775329 #avg: 4.13608; avg_err: 0.133023; sd: 15.1798; counts: 13023
sfh 0.123123 1.05698 5.11375 0.904402 #avg: 4.56885; avg_err: 0.130445; sd: 14.8856; counts: 13023
sfh 0.126498 1.22255 5.96802 1.04498 #avg: 5.25817; avg_err: 0.153481; sd: 17.5144; counts: 13023
sfh 0.129873 1.43741 6.59042 1.22832 #avg: 5.91725; avg_err: 0.167542; sd: 19.1189; counts: 13023
sfh 0.133248 1.59301 7.46366 1.35789 #avg: 6.5016; avg_err: 0.179472; sd: 20.4803; counts: 13023
sfh 0.136623 1.85031 8.28229 1.58136 #avg: 7.22018; avg_err: 0.211806; sd: 24.17; counts: 13023
sfh 0.141685 2.22008 9.92802 1.89555 #avg: 8.23157; avg_err: 0.250404; sd: 28.5746; counts: 13023
sfh 0.146748 2.58193 11.3855 2.18146 #avg: 9.17551; avg_err: 0.198715; sd: 22.6762; counts: 13023
sfh 0.15181 3.09489 13.0302 2.62018 #avg: 10.587; avg_err: 0.227434; sd: 25.9534; counts: 13023
sfh 0.156873 3.62912 14.6851 3.05442 #avg: 12.0414; avg_err: 0.246167; sd: 28.091; counts: 13023
sfh 0.161935 4.22418 16.8901 3.52872 #avg: 13.9206; avg_err: 0.289997; sd: 33.0927; counts: 13023
sfh 0.166998 4.8991 19.7708 4.10862 #avg: 15.6401; avg_err: 0.322648; sd: 36.8187; counts: 13023
sfh 0.17206 5.54243 21.8967 4.62521 #avg: 17.5543; avg_err: 0.364247; sd: 41.5656; counts: 13023
sfh 0.177123 6.2583 24.1366 5.21236 #avg: 19.7103; avg_err: 0.405986; sd: 46.3287; counts: 13023
sfh 0.182185 7.14364 27.2075 5.96521 #avg: 21.7962; avg_err: 0.446632; sd: 50.9669; counts: 13023
sfh 0.187248 8.00848 30.5245 6.69933 #avg: 24.0814; avg_err: 0.460445; sd: 52.5432; counts: 13023
sfh 0.19231 9.09854 33.5223 7.61638 #avg: 26.5227; avg_err: 0.488297; sd: 55.7215; counts: 13023
sfh 0.197373 10.1264 37.8493 8.42911 #avg: 29.3841; avg_err: 0.526179; sd: 60.0443; counts: 13023
sfh 0.202435 11.3323 41.1702 9.43808 #avg: 32.1177; avg_err: 0.566521; sd: 64.6479; counts: 13023
sfh 0.207498 12.6961 45.0769 10.5507 #avg: 34.7119; avg_err: 0.593956; sd: 67.7787; counts: 13023
sfh 0.21256 14.206 48.5082 11.7756 #avg: 37.8495; avg_err: 0.638625; sd: 72.876; counts: 13023
sfh 0.217623 15.752 53.6418 13.0614 #avg: 40.8413; avg_err: 0.662858; sd: 75.6414; counts: 13023
sfh 0.222685 17.4413 57.843 14.4746 #avg: 43.6013; avg_err: 0.684293; sd: 78.0874; counts: 13023
sfh 0.227748 19.4122 62.5732 16.0693 #avg: 47.0555; avg_err: 0.712576; sd: 81.3149; counts: 13023
