#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.25 - 12.75
#HM   Stats: 2.388240e+12 (median) + 1.136760e+12  / - 4.661801e+11
#SM   Stats: 8.890490e+10 (median) + 8.345611e+10  / - 4.618140e+10
#VMP  Stats: 2.834200e+02 (median) + 3.997000e+01  / - 2.303000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.331517e-09 (median) + 3.077397e-09  / - 1.402018e-09
sfh 0.055623 0 0 0 #avg: 0.00121763; avg_err: 0.000580199; sd: 0.0632097; counts: 11870
sfh 0.060123 0 0 0 #avg: 0.0126177; avg_err: 0.00344798; sd: 0.37564; counts: 11870
sfh 0.062373 0 0 0 #avg: 0.0304489; avg_err: 0.00647354; sd: 0.705259; counts: 11870
sfh 0.064623 0 0 0 #avg: 0.0592117; avg_err: 0.0106336; sd: 1.15848; counts: 11870
sfh 0.066873 0 0 0 #avg: 0.110534; avg_err: 0.0189407; sd: 2.06349; counts: 11870
sfh 0.069123 0 0 0 #avg: 0.157926; avg_err: 0.0206862; sd: 2.25366; counts: 11870
sfh 0.071373 0 0 0 #avg: 0.202418; avg_err: 0.019295; sd: 2.1021; counts: 11870
sfh 0.073623 0 0.053234 0 #avg: 0.260668; avg_err: 0.0256879; sd: 2.79857; counts: 11870
sfh 0.075873 0 0.147658 0 #avg: 0.308587; avg_err: 0.019713; sd: 2.14763; counts: 11870
sfh 0.078123 0 0.290589 0 #avg: 0.363005; avg_err: 0.0175807; sd: 1.91533; counts: 11870
sfh 0.080373 0 0.450716 0 #avg: 0.443424; avg_err: 0.021645; sd: 2.35811; counts: 11870
sfh 0.082623 0.00401312 0.544925 0.00401312 #avg: 0.479632; avg_err: 0.0224941; sd: 2.45062; counts: 11870
sfh 0.085998 0.036383 0.814963 0.036383 #avg: 0.775248; avg_err: 0.0616337; sd: 6.71468; counts: 11870
sfh 0.089373 0.0902926 1.00054 0.0902926 #avg: 0.878292; avg_err: 0.0375017; sd: 4.08562; counts: 11870
sfh 0.092748 0.154048 1.13536 0.154048 #avg: 1.06086; avg_err: 0.0415914; sd: 4.53118; counts: 11870
sfh 0.096123 0.226808 1.38465 0.225614 #avg: 1.2576; avg_err: 0.0428385; sd: 4.66704; counts: 11870
sfh 0.099498 0.290723 1.57128 0.279384 #avg: 1.50144; avg_err: 0.0495871; sd: 5.40227; counts: 11870
sfh 0.102873 0.367322 1.89433 0.34188 #avg: 1.79742; avg_err: 0.0568811; sd: 6.1969; counts: 11870
sfh 0.106248 0.4305 2.33362 0.388508 #avg: 2.19335; avg_err: 0.0733979; sd: 7.99633; counts: 11870
sfh 0.109623 0.513534 2.82286 0.452995 #avg: 2.59077; avg_err: 0.087252; sd: 9.50567; counts: 11870
sfh 0.112998 0.615479 3.24881 0.537326 #avg: 2.9851; avg_err: 0.0903932; sd: 9.84788; counts: 11870
sfh 0.116373 0.720623 3.74081 0.621291 #avg: 3.44562; avg_err: 0.109389; sd: 11.9173; counts: 11870
sfh 0.119748 0.857647 4.24426 0.733269 #avg: 3.98313; avg_err: 0.140147; sd: 15.2683; counts: 11870
sfh 0.123123 1.00743 4.82238 0.86089 #avg: 4.39137; avg_err: 0.13579; sd: 14.7936; counts: 11870
sfh 0.126498 1.16087 5.58811 0.991771 #avg: 5.02711; avg_err: 0.157316; sd: 17.1388; counts: 11870
sfh 0.129873 1.36908 6.27801 1.16917 #avg: 5.6303; avg_err: 0.170384; sd: 18.5624; counts: 11870
sfh 0.133248 1.51542 7.10268 1.29009 #avg: 6.18487; avg_err: 0.184035; sd: 20.0497; counts: 11870
sfh 0.136623 1.75179 7.85945 1.49336 #avg: 6.80612; avg_err: 0.210495; sd: 22.9324; counts: 11870
sfh 0.141685 2.11891 9.32329 1.81077 #avg: 7.81341; avg_err: 0.261809; sd: 28.5227; counts: 11870
sfh 0.146748 2.46754 10.7859 2.08088 #avg: 8.71672; avg_err: 0.199943; sd: 21.7828; counts: 11870
sfh 0.15181 2.96272 12.1935 2.50533 #avg: 10.1073; avg_err: 0.231885; sd: 25.2627; counts: 11870
sfh 0.156873 3.47683 13.9852 2.92408 #avg: 11.4301; avg_err: 0.244464; sd: 26.6331; counts: 11870
sfh 0.161935 4.04887 16.1764 3.37891 #avg: 13.1657; avg_err: 0.285059; sd: 31.0557; counts: 11870
sfh 0.166998 4.73029 18.7589 3.95743 #avg: 14.769; avg_err: 0.304418; sd: 33.1648; counts: 11870
sfh 0.17206 5.34755 20.8295 4.44626 #avg: 16.5934; avg_err: 0.344201; sd: 37.499; counts: 11870
sfh 0.177123 6.08033 23.0305 5.04813 #avg: 18.8815; avg_err: 0.409301; sd: 44.5913; counts: 11870
sfh 0.182185 6.93263 26 5.77447 #avg: 20.897; avg_err: 0.453468; sd: 49.403; counts: 11870
sfh 0.187248 7.70269 29.1622 6.41067 #avg: 23.0921; avg_err: 0.464122; sd: 50.5638; counts: 11870
sfh 0.19231 8.84895 32.4906 7.39111 #avg: 25.5428; avg_err: 0.489526; sd: 53.3314; counts: 11870
sfh 0.197373 9.84146 36.6071 8.1792 #avg: 28.2967; avg_err: 0.524997; sd: 57.1957; counts: 11870
sfh 0.202435 11.0228 39.9175 9.16298 #avg: 30.9349; avg_err: 0.567113; sd: 61.7841; counts: 11870
sfh 0.207498 12.3951 43.4037 10.2972 #avg: 33.4064; avg_err: 0.588948; sd: 64.1629; counts: 11870
sfh 0.21256 13.8361 46.8538 11.4211 #avg: 36.3932; avg_err: 0.626789; sd: 68.2855; counts: 11870
sfh 0.217623 15.4228 52.2768 12.73 #avg: 39.3707; avg_err: 0.657118; sd: 71.5897; counts: 11870
