#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.75 - 10.25
#HM   Stats: 6.297060e+11 (median) + 3.001470e+11  / - 1.942650e+11
#SM   Stats: 9.151870e+09 (median) + 4.939031e+09  / - 2.677170e+09
#VMP  Stats: 1.857600e+02 (median) + 2.345001e+01  / - 1.767999e+01
#ICL  Stats: 6.397690e+07 (median) + 1.954911e+08  / - 5.302450e+07
#SSFR Stats: 2.024182e-09 (median) + 3.052361e-09  / - 1.299427e-09
sfh 0.055623 0 0 0 #avg: 0.000109904; avg_err: 9.17858e-05; sd: 0.0235857; counts: 66032
sfh 0.060123 0 0 0 #avg: 0.00168066; avg_err: 0.00048603; sd: 0.124893; counts: 66032
sfh 0.062373 0 0 0 #avg: 0.00615641; avg_err: 0.00154068; sd: 0.3959; counts: 66032
sfh 0.064623 0 0 0 #avg: 0.0109566; avg_err: 0.00165242; sd: 0.424615; counts: 66032
sfh 0.066873 0 0 0 #avg: 0.0176274; avg_err: 0.00257796; sd: 0.662446; counts: 66032
sfh 0.069123 0 0 0 #avg: 0.0240553; avg_err: 0.00198584; sd: 0.510292; counts: 66032
sfh 0.071373 0 0 0 #avg: 0.0363878; avg_err: 0.00258541; sd: 0.66436; counts: 66032
sfh 0.073623 0 0 0 #avg: 0.0504962; avg_err: 0.00223184; sd: 0.573504; counts: 66032
sfh 0.075873 0 0 0 #avg: 0.0687442; avg_err: 0.00226743; sd: 0.58265; counts: 66032
sfh 0.078123 0 0.00276134 0 #avg: 0.092859; avg_err: 0.00322634; sd: 0.829055; counts: 66032
sfh 0.080373 0 0.0279336 0 #avg: 0.112723; avg_err: 0.00303748; sd: 0.780526; counts: 66032
sfh 0.082623 0 0.0682927 0 #avg: 0.121344; avg_err: 0.00318515; sd: 0.818471; counts: 66032
sfh 0.085998 0 0.149478 0 #avg: 0.171177; avg_err: 0.00401872; sd: 1.03267; counts: 66032
