#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 10.25 - 10.75
#HM   Stats: 1.120590e+12 (median) + 5.279401e+11  / - 3.120610e+11
#SM   Stats: 2.901230e+10 (median) + 1.533230e+10  / - 8.462399e+09
#VMP  Stats: 2.199300e+02 (median) + 2.959001e+01  / - 2.117999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.717859e-09 (median) + 3.323069e-09  / - 1.515835e-09
sfh 0.055623 0 0 0 #avg: 6.18569e-05; avg_err: 4.15454e-05; sd: 0.00666192; counts: 25714
sfh 0.060123 0 0 0 #avg: 0.00267267; avg_err: 0.00100302; sd: 0.160837; counts: 25714
sfh 0.062373 0 0 0 #avg: 0.00683646; avg_err: 0.00215014; sd: 0.344781; counts: 25714
sfh 0.064623 0 0 0 #avg: 0.0165034; avg_err: 0.00347442; sd: 0.557133; counts: 25714
sfh 0.066873 0 0 0 #avg: 0.0295112; avg_err: 0.00367882; sd: 0.589909; counts: 25714
sfh 0.069123 0 0 0 #avg: 0.0400065; avg_err: 0.00314809; sd: 0.504805; counts: 25714
sfh 0.071373 0 0 0 #avg: 0.059686; avg_err: 0.00402427; sd: 0.645302; counts: 25714
sfh 0.073623 0 0 0 #avg: 0.0902498; avg_err: 0.0065228; sd: 1.04595; counts: 25714
sfh 0.075873 0 0.00850016 0 #avg: 0.123412; avg_err: 0.00701611; sd: 1.12505; counts: 25714
sfh 0.078123 0 0.0442721 0 #avg: 0.164651; avg_err: 0.00760146; sd: 1.21891; counts: 25714
sfh 0.080373 0 0.107899 0 #avg: 0.192996; avg_err: 0.0092779; sd: 1.48774; counts: 25714
sfh 0.082623 0 0.180843 0 #avg: 0.198616; avg_err: 0.0061811; sd: 0.991156; counts: 25714
sfh 0.085998 0 0.304213 0 #avg: 0.289426; avg_err: 0.0085082; sd: 1.36431; counts: 25714
sfh 0.089373 0.0105786 0.426459 0.0105786 #avg: 0.359187; avg_err: 0.00946734; sd: 1.51811; counts: 25714
sfh 0.092748 0.036615 0.517928 0.036615 #avg: 0.445054; avg_err: 0.01288; sd: 2.06535; counts: 25714
sfh 0.096123 0.0695427 0.63627 0.0695427 #avg: 0.536653; avg_err: 0.0153343; sd: 2.45889; counts: 25714
sfh 0.099498 0.106431 0.713485 0.106431 #avg: 0.631511; avg_err: 0.0151762; sd: 2.43355; counts: 25714
sfh 0.102873 0.140749 0.843067 0.140136 #avg: 0.735281; avg_err: 0.0156921; sd: 2.51627; counts: 25714
sfh 0.106248 0.176268 0.981362 0.169097 #avg: 0.848695; avg_err: 0.0183829; sd: 2.94775; counts: 25714
sfh 0.109623 0.214805 1.11582 0.199169 #avg: 0.973083; avg_err: 0.0200187; sd: 3.21005; counts: 25714
sfh 0.112998 0.259831 1.29962 0.235906 #avg: 1.11572; avg_err: 0.0231352; sd: 3.7098; counts: 25714
sfh 0.116373 0.301983 1.49047 0.268271 #avg: 1.24264; avg_err: 0.0247482; sd: 3.96844; counts: 25714
sfh 0.119748 0.350092 1.69595 0.307642 #avg: 1.39161; avg_err: 0.0271297; sd: 4.35032; counts: 25714
sfh 0.123123 0.405203 1.92326 0.352624 #avg: 1.53179; avg_err: 0.0257063; sd: 4.12207; counts: 25714
sfh 0.126498 0.461748 2.1594 0.39786 #avg: 1.69386; avg_err: 0.0267436; sd: 4.28841; counts: 25714
sfh 0.129873 0.525619 2.39932 0.448324 #avg: 1.86958; avg_err: 0.0287823; sd: 4.61532; counts: 25714
sfh 0.133248 0.594255 2.71385 0.503507 #avg: 2.11168; avg_err: 0.0335519; sd: 5.38014; counts: 25714
sfh 0.136623 0.680105 2.9545 0.574998 #avg: 2.32813; avg_err: 0.0374034; sd: 5.99774; counts: 25714
sfh 0.141685 0.800505 3.35882 0.674256 #avg: 2.63394; avg_err: 0.0392968; sd: 6.30134; counts: 25714
sfh 0.146748 0.968843 3.80479 0.808863 #avg: 2.96432; avg_err: 0.0415813; sd: 6.66767; counts: 25714
sfh 0.15181 1.13135 4.22426 0.939741 #avg: 3.30559; avg_err: 0.0440267; sd: 7.0598; counts: 25714
sfh 0.156873 1.31003 4.71431 1.08482 #avg: 3.71426; avg_err: 0.0494; sd: 7.92143; counts: 25714
sfh 0.161935 1.53825 5.25866 1.27286 #avg: 4.10816; avg_err: 0.0513884; sd: 8.24028; counts: 25714
sfh 0.166998 1.76418 5.65721 1.44927 #avg: 4.52434; avg_err: 0.0541483; sd: 8.68283; counts: 25714
sfh 0.17206 1.99425 6.22569 1.62646 #avg: 4.95912; avg_err: 0.058377; sd: 9.36091; counts: 25714
sfh 0.177123 2.27309 6.85687 1.84235 #avg: 5.43333; avg_err: 0.0626575; sd: 10.0473; counts: 25714
sfh 0.182185 2.58259 7.67741 2.08311 #avg: 5.94052; avg_err: 0.0629113; sd: 10.088; counts: 25714
sfh 0.187248 2.88956 8.40694 2.32797 #avg: 6.47568; avg_err: 0.0667753; sd: 10.7076; counts: 25714
sfh 0.19231 3.24327 9.11623 2.60355 #avg: 7.02565; avg_err: 0.0706456; sd: 11.3282; counts: 25714
sfh 0.197373 3.64124 9.70216 2.90817 #avg: 7.60034; avg_err: 0.0754201; sd: 12.0938; counts: 25714
sfh 0.202435 4.11238 10.0067 3.27555 #avg: 8.18281; avg_err: 0.0785007; sd: 12.5878; counts: 25714
sfh 0.207498 4.51822 10.679 3.56099 #avg: 8.7359; avg_err: 0.0806927; sd: 12.9393; counts: 25714
