#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 10.75 - 11.25
#HM   Stats: 2.235290e+12 (median) + 2.335300e+12  / - 8.472001e+11
#SM   Stats: 8.835510e+10 (median) + 4.632490e+10  / - 2.435660e+10
#VMP  Stats: 2.797100e+02 (median) + 7.358002e+01  / - 3.859999e+01
#ICL  Stats: 4.071810e+08 (median) + 1.696259e+09  / - 3.339900e+08
#SSFR Stats: 1.287238e-09 (median) + 2.366675e-09  / - 1.283625e-09
sfh 0.055623 0 0 0 #avg: 0.00240802; avg_err: 0.000674923; sd: 0.0939793; counts: 19390
sfh 0.060123 0 0 0 #avg: 0.0272234; avg_err: 0.00493863; sd: 0.687677; counts: 19390
sfh 0.062373 0 0 0 #avg: 0.0453384; avg_err: 0.00513161; sd: 0.714548; counts: 19390
sfh 0.064623 0 0 0 #avg: 0.101095; avg_err: 0.0111569; sd: 1.55354; counts: 19390
sfh 0.066873 0 0 0 #avg: 0.176309; avg_err: 0.0203813; sd: 2.83798; counts: 19390
sfh 0.069123 0 0 0 #avg: 0.230896; avg_err: 0.0159207; sd: 2.21687; counts: 19390
sfh 0.071373 0 0.0318789 0 #avg: 0.311115; avg_err: 0.0170057; sd: 2.36795; counts: 19390
sfh 0.073623 0 0.116882 0 #avg: 0.405512; avg_err: 0.0203831; sd: 2.83823; counts: 19390
sfh 0.075873 0 0.275514 0 #avg: 0.516046; avg_err: 0.0271009; sd: 3.77364; counts: 19390
sfh 0.078123 0 0.478043 0 #avg: 0.647208; avg_err: 0.0279225; sd: 3.88805; counts: 19390
sfh 0.080373 0 0.70546 0 #avg: 0.752371; avg_err: 0.0325112; sd: 4.527; counts: 19390
sfh 0.082623 0.0178676 0.809718 0.0178676 #avg: 0.765761; avg_err: 0.0263236; sd: 3.66541; counts: 19390
