#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 11.25 - 11.75
#HM   Stats: 4.580880e+12 (median) + 6.257320e+12  / - 2.033820e+12
#SM   Stats: 2.331320e+11 (median) + 9.927400e+10  / - 4.219100e+10
#VMP  Stats: 3.511000e+02 (median) + 1.168200e+02  / - 6.061002e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 4.692517e-10 (median) + 1.461900e-09  / - 4.654439e-10
sfh 0.055623 0 0 0 #avg: 0.00823537; avg_err: 0.00334295; sd: 0.193891; counts: 3365
sfh 0.060123 0 0 0 #avg: 0.101353; avg_err: 0.0249831; sd: 1.44902; counts: 3365
sfh 0.062373 0 0 0 #avg: 0.277335; avg_err: 0.052674; sd: 3.05509; counts: 3365
sfh 0.064623 0 0 0 #avg: 0.428182; avg_err: 0.0716536; sd: 4.15591; counts: 3365
sfh 0.066873 0 0.0351177 0 #avg: 0.614035; avg_err: 0.0945108; sd: 5.48163; counts: 3365
sfh 0.069123 0 0.164766 0 #avg: 0.788571; avg_err: 0.159191; sd: 9.23307; counts: 3365
sfh 0.071373 0 0.443385 0 #avg: 0.875139; avg_err: 0.0776458; sd: 4.50346; counts: 3365
sfh 0.073623 0 0.803076 0 #avg: 1.34355; avg_err: 0.149583; sd: 8.67584; counts: 3365
sfh 0.075873 0.00854337 1.25546 0.00854337 #avg: 1.7262; avg_err: 0.164037; sd: 9.51412; counts: 3365
sfh 0.078123 0.0446379 1.70322 0.0446379 #avg: 1.99556; avg_err: 0.183134; sd: 10.6218; counts: 3365
sfh 0.080373 0.117316 2.27666 0.117316 #avg: 2.42198; avg_err: 0.220524; sd: 12.7904; counts: 3365
sfh 0.082623 0.216256 2.44623 0.216256 #avg: 2.40937; avg_err: 0.232933; sd: 13.5101; counts: 3365
sfh 0.085998 0.414048 3.25536 0.414048 #avg: 3.98247; avg_err: 0.419; sd: 24.302; counts: 3365
sfh 0.089373 0.627176 4.06189 0.617898 #avg: 4.529; avg_err: 0.386732; sd: 22.4304; counts: 3365
sfh 0.092748 0.766798 5.38036 0.726946 #avg: 5.80204; avg_err: 0.579868; sd: 33.6323; counts: 3365
sfh 0.096123 0.996639 6.45516 0.916755 #avg: 6.74316; avg_err: 0.487901; sd: 28.2982; counts: 3365
sfh 0.099498 1.2206 8.67587 1.09792 #avg: 8.68138; avg_err: 0.596923; sd: 34.6215; counts: 3365
sfh 0.102873 1.59916 9.94714 1.42444 #avg: 10.4883; avg_err: 0.634539; sd: 36.8033; counts: 3365
sfh 0.106248 2.07035 11.9979 1.85996 #avg: 12.7249; avg_err: 0.77323; sd: 44.8473; counts: 3365
sfh 0.109623 2.45077 15.0725 2.18526 #avg: 15.5465; avg_err: 1.1127; sd: 64.5367; counts: 3365
sfh 0.112998 2.81193 17.8002 2.47792 #avg: 17.7436; avg_err: 1.15193; sd: 66.8122; counts: 3365
sfh 0.116373 3.28339 20.7929 2.87494 #avg: 20.1602; avg_err: 1.30734; sd: 75.8255; counts: 3365
sfh 0.119748 3.98413 24.1864 3.49681 #avg: 23.1384; avg_err: 1.305; sd: 75.6898; counts: 3365
sfh 0.123123 4.60212 29.5733 3.98266 #avg: 26.3352; avg_err: 1.51212; sd: 87.7028; counts: 3365
sfh 0.126498 5.44375 33.9407 4.72211 #avg: 29.871; avg_err: 1.54924; sd: 89.8559; counts: 3365
