#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 11.25 - 11.75
#HM   Stats: 7.510290e+12 (median) + 8.666211e+12  / - 3.610290e+12
#SM   Stats: 2.354560e+11 (median) + 9.941100e+10  / - 4.454200e+10
#VMP  Stats: 4.152500e+02 (median) + 1.224600e+02  / - 7.329001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 3.609080e-12 (median) + 3.321432e-12  / - 2.086993e-12
sfh 0.055623 0 0 0 #avg: 0.0147116; avg_err: 0.00757204; sd: 0.270057; counts: 1273
sfh 0.060123 0 0 0 #avg: 0.210358; avg_err: 0.0611446; sd: 2.18073; counts: 1273
sfh 0.062373 0 0 0 #avg: 0.489955; avg_err: 0.101554; sd: 3.62195; counts: 1273
sfh 0.064623 0 0.116014 0 #avg: 1.00075; avg_err: 0.202017; sd: 7.20496; counts: 1273
sfh 0.066873 0 0.323194 0 #avg: 1.23518; avg_err: 0.210366; sd: 7.50274; counts: 1273
sfh 0.069123 0 0.846204 0 #avg: 1.61574; avg_err: 0.405247; sd: 14.4532; counts: 1273
sfh 0.071373 0 1.6649 0 #avg: 1.70937; avg_err: 0.179317; sd: 6.39536; counts: 1273
sfh 0.073623 0.0406117 2.39822 0.0406117 #avg: 2.71268; avg_err: 0.355894; sd: 12.693; counts: 1273
sfh 0.075873 0.134532 3.20123 0.134532 #avg: 3.67746; avg_err: 0.477223; sd: 17.0202; counts: 1273
sfh 0.078123 0.301322 4.09234 0.301322 #avg: 4.28911; avg_err: 0.522434; sd: 18.6327; counts: 1273
sfh 0.080373 0.442237 4.79961 0.442237 #avg: 4.94957; avg_err: 0.583279; sd: 20.8027; counts: 1273
sfh 0.082623 0.652893 4.62541 0.65151 #avg: 4.59167; avg_err: 0.592758; sd: 21.1408; counts: 1273
sfh 0.085998 1.05051 6.68003 1.01661 #avg: 7.16608; avg_err: 0.955332; sd: 34.072; counts: 1273
sfh 0.089373 1.45109 8.52891 1.36183 #avg: 8.37092; avg_err: 0.963024; sd: 34.3464; counts: 1273
sfh 0.092748 1.85408 11.1624 1.6769 #avg: 11.0057; avg_err: 1.4803; sd: 52.7949; counts: 1273
sfh 0.096123 2.39549 14.4535 2.12636 #avg: 13.2938; avg_err: 1.53832; sd: 54.8645; counts: 1273
sfh 0.099498 2.99989 20.0652 2.66195 #avg: 16.3145; avg_err: 1.46302; sd: 52.1788; counts: 1273
sfh 0.102873 3.74967 24.8813 3.27975 #avg: 20.2383; avg_err: 1.58762; sd: 56.6225; counts: 1273
sfh 0.106248 4.67038 28.709 4.12319 #avg: 24.8024; avg_err: 1.89576; sd: 67.6126; counts: 1273
sfh 0.109623 5.6602 36.0878 4.94804 #avg: 30.2443; avg_err: 2.61947; sd: 93.4235; counts: 1273
sfh 0.112998 6.8999 39.2891 6.01926 #avg: 34.0407; avg_err: 2.69816; sd: 96.2301; counts: 1273
sfh 0.116373 8.4885 42.9764 7.36192 #avg: 38.7427; avg_err: 3.27077; sd: 116.652; counts: 1273
sfh 0.119748 9.81224 48.3115 8.47208 #avg: 42.7606; avg_err: 3.09849; sd: 110.508; counts: 1273
sfh 0.123123 11.5861 56.8951 9.96292 #avg: 50.7054; avg_err: 3.80592; sd: 135.738; counts: 1273
sfh 0.126498 14.2295 69.8119 12.2523 #avg: 57.0309; avg_err: 3.80431; sd: 135.681; counts: 1273
sfh 0.129873 17.4381 84.4989 15.2185 #avg: 63.0565; avg_err: 3.97625; sd: 141.813; counts: 1273
sfh 0.133248 19.7572 100.57 17.2222 #avg: 74.052; avg_err: 4.74827; sd: 169.348; counts: 1273
sfh 0.136623 22.8645 113.662 19.8773 #avg: 83.3602; avg_err: 4.99825; sd: 178.263; counts: 1273
sfh 0.141685 27.2902 132.844 23.5769 #avg: 95.8021; avg_err: 5.13791; sd: 183.244; counts: 1273
sfh 0.146748 34.4403 160.257 29.7063 #avg: 109.29; avg_err: 5.88019; sd: 209.718; counts: 1273
sfh 0.15181 42.4663 199.584 36.3044 #avg: 122.399; avg_err: 5.94735; sd: 212.113; counts: 1273
sfh 0.156873 50.156 201.272 42.9979 #avg: 134.485; avg_err: 6.56643; sd: 234.192; counts: 1273
sfh 0.161935 60.7573 217.384 52.5968 #avg: 146.182; avg_err: 6.6077; sd: 235.664; counts: 1273
sfh 0.166998 72.1547 244.774 61.3905 #avg: 162.078; avg_err: 6.97897; sd: 248.906; counts: 1273
sfh 0.17206 90.1856 253.147 77.7833 #avg: 178.945; avg_err: 6.73286; sd: 240.128; counts: 1273
sfh 0.177123 108.071 281.008 91.3162 #avg: 196.131; avg_err: 6.78705; sd: 242.061; counts: 1273
sfh 0.182185 123.2 287.341 103.185 #avg: 208.527; avg_err: 6.73367; sd: 240.157; counts: 1273
sfh 0.187248 140.209 291.922 116.665 #avg: 219.398; avg_err: 6.77963; sd: 241.796; counts: 1273
sfh 0.19231 152.368 285.355 125.195 #avg: 227.171; avg_err: 6.74683; sd: 240.626; counts: 1273
sfh 0.197373 163.353 278.046 131.817 #avg: 238.632; avg_err: 7.06965; sd: 252.14; counts: 1273
sfh 0.202435 182.251 262.311 146.018 #avg: 251.626; avg_err: 7.14153; sd: 254.703; counts: 1273
sfh 0.207498 189.015 283.444 147.855 #avg: 256.24; avg_err: 6.93904; sd: 247.481; counts: 1273
sfh 0.21256 193.02 276.545 145.463 #avg: 259.638; avg_err: 6.9663; sd: 248.454; counts: 1273
sfh 0.217623 194.012 252.188 144.285 #avg: 253.587; avg_err: 6.66621; sd: 237.751; counts: 1273
sfh 0.222685 192.754 250.358 137.404 #avg: 250.013; avg_err: 6.17992; sd: 220.407; counts: 1273
sfh 0.227748 195.167 218.783 137.403 #avg: 241.161; avg_err: 5.84838; sd: 208.583; counts: 1273
sfh 0.23281 191.223 214.163 128.919 #avg: 236.752; avg_err: 5.70299; sd: 203.398; counts: 1273
sfh 0.237873 187.499 206.672 129.457 #avg: 228.912; avg_err: 5.54166; sd: 197.644; counts: 1273
sfh 0.242935 187.579 205.454 140.972 #avg: 227.387; avg_err: 5.61009; sd: 200.085; counts: 1273
sfh 0.247998 181.189 204.1 149.082 #avg: 220.744; avg_err: 5.38421; sd: 192.028; counts: 1273
sfh 0.25306 174.566 200.838 162.671 #avg: 210.702; avg_err: 5.31193; sd: 189.45; counts: 1273
