#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 7.75 - 8.25
#HM   Stats: 1.073380e+11 (median) + 6.486800e+10  / - 4.557330e+10
#SM   Stats: 1.160090e+08 (median) + 4.458300e+07  / - 3.938430e+07
#VMP  Stats: 1.166900e+02 (median) + 1.634999e+01  / - 1.170000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.820056e-12 (median) + 2.971343e-12  / - 1.616242e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 508
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 508
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 508
sfh 0.064623 0 0 0 #avg: 0.000101914; avg_err: 0.000101914; sd: 0.00229476; counts: 508
sfh 0.066873 0 0 0 #avg: 9.83405e-05; avg_err: 7.55132e-05; sd: 0.00170031; counts: 508
sfh 0.069123 0 0 0 #avg: 0.000279232; avg_err: 0.000211628; sd: 0.00476515; counts: 508
sfh 0.071373 0 0 0 #avg: 0.00051117; avg_err: 0.000395146; sd: 0.00889737; counts: 508
sfh 0.073623 0 0 0 #avg: 0.000810254; avg_err: 0.00058586; sd: 0.0131916; counts: 508
sfh 0.075873 0 0 0 #avg: 0.00111516; avg_err: 0.000633749; sd: 0.0142699; counts: 508
sfh 0.078123 0 0 0 #avg: 0.00148477; avg_err: 0.000596974; sd: 0.0134419; counts: 508
sfh 0.080373 0 0 0 #avg: 0.00209166; avg_err: 0.000646163; sd: 0.0145494; counts: 508
sfh 0.082623 0 0 0 #avg: 0.00426653; avg_err: 0.00123266; sd: 0.0277554; counts: 508
sfh 0.085998 0 0 0 #avg: 0.00997023; avg_err: 0.00328531; sd: 0.0739743; counts: 508
sfh 0.089373 0 0 0 #avg: 0.0154287; avg_err: 0.00495805; sd: 0.111639; counts: 508
sfh 0.092748 0 0.00294801 0 #avg: 0.0168219; avg_err: 0.0033498; sd: 0.0754263; counts: 508
sfh 0.096123 0 0.0110451 0 #avg: 0.0216347; avg_err: 0.00359704; sd: 0.0809934; counts: 508
sfh 0.099498 0 0.025342 0 #avg: 0.0235161; avg_err: 0.00331539; sd: 0.0746516; counts: 508
sfh 0.102873 0 0.0346096 0 #avg: 0.0273175; avg_err: 0.00384255; sd: 0.0865213; counts: 508
sfh 0.106248 0 0.0463892 0 #avg: 0.0292187; avg_err: 0.00450552; sd: 0.101449; counts: 508
sfh 0.109623 0.00108155 0.0538555 0.00108155 #avg: 0.0315911; avg_err: 0.00479621; sd: 0.107995; counts: 508
sfh 0.112998 0.00356236 0.0586368 0.00356236 #avg: 0.0349936; avg_err: 0.00375545; sd: 0.0845603; counts: 508
sfh 0.116373 0.00613935 0.0606874 0.00613935 #avg: 0.0353105; avg_err: 0.00324347; sd: 0.0730321; counts: 508
sfh 0.119748 0.0104185 0.0612182 0.0104185 #avg: 0.0386939; avg_err: 0.00355776; sd: 0.0801089; counts: 508
sfh 0.123123 0.0139572 0.0563124 0.0139572 #avg: 0.0390989; avg_err: 0.00294204; sd: 0.0662449; counts: 508
sfh 0.126498 0.0151572 0.0596072 0.0151572 #avg: 0.0441187; avg_err: 0.00361504; sd: 0.0813987; counts: 508
sfh 0.129873 0.0179792 0.0729289 0.0179732 #avg: 0.0507542; avg_err: 0.00450578; sd: 0.101455; counts: 508
sfh 0.133248 0.021771 0.0687882 0.0216303 #avg: 0.0553927; avg_err: 0.00476553; sd: 0.107304; counts: 508
sfh 0.136623 0.0246857 0.0765623 0.0246038 #avg: 0.0562616; avg_err: 0.00427554; sd: 0.0962709; counts: 508
sfh 0.141685 0.029901 0.081988 0.0287941 #avg: 0.0633826; avg_err: 0.00443876; sd: 0.099946; counts: 508
sfh 0.146748 0.0352616 0.0787484 0.033319 #avg: 0.070944; avg_err: 0.00567873; sd: 0.127866; counts: 508
sfh 0.15181 0.0335764 0.0980106 0.0314777 #avg: 0.0730605; avg_err: 0.00613061; sd: 0.138041; counts: 508
sfh 0.156873 0.0348493 0.112541 0.0316624 #avg: 0.0743454; avg_err: 0.00493557; sd: 0.111132; counts: 508
sfh 0.161935 0.034212 0.109337 0.031009 #avg: 0.0724292; avg_err: 0.00440883; sd: 0.099272; counts: 508
sfh 0.166998 0.0411047 0.115936 0.0361109 #avg: 0.0818183; avg_err: 0.00495379; sd: 0.111543; counts: 508
sfh 0.17206 0.0442545 0.106861 0.0389218 #avg: 0.0835305; avg_err: 0.00547898; sd: 0.123368; counts: 508
sfh 0.177123 0.0423755 0.140014 0.0364638 #avg: 0.0909095; avg_err: 0.00572463; sd: 0.1289; counts: 508
sfh 0.182185 0.0467929 0.133839 0.0412943 #avg: 0.092438; avg_err: 0.00555096; sd: 0.124989; counts: 508
sfh 0.187248 0.0529373 0.133364 0.0463023 #avg: 0.0994216; avg_err: 0.00668242; sd: 0.150466; counts: 508
sfh 0.19231 0.0505257 0.11985 0.0450742 #avg: 0.0941764; avg_err: 0.00566119; sd: 0.127471; counts: 508
sfh 0.197373 0.0565289 0.129159 0.0494652 #avg: 0.0987027; avg_err: 0.0054956; sd: 0.123743; counts: 508
sfh 0.202435 0.0590198 0.121657 0.0557839 #avg: 0.096796; avg_err: 0.00526614; sd: 0.118576; counts: 508
sfh 0.207498 0.0633417 0.107061 0.0517188 #avg: 0.0986866; avg_err: 0.00518222; sd: 0.116686; counts: 508
sfh 0.21256 0.0674697 0.118716 0.059438 #avg: 0.0999975; avg_err: 0.00502557; sd: 0.113159; counts: 508
sfh 0.217623 0.0604411 0.128786 0.0597356 #avg: 0.0981854; avg_err: 0.00524718; sd: 0.118149; counts: 508
