#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 7.75 - 8.25
#HM   Stats: 1.000440e+11 (median) + 5.554400e+10  / - 3.897050e+10
#SM   Stats: 1.138750e+08 (median) + 4.680500e+07  / - 3.725030e+07
#VMP  Stats: 1.162800e+02 (median) + 1.443001e+01  / - 1.129000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.741309e-12 (median) + 3.124068e-12  / - 1.537496e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 425
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 425
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 425
sfh 0.064623 0 0 0 #avg: 0.000121817; avg_err: 0.000121817; sd: 0.00250836; counts: 425
sfh 0.066873 0 0 0 #avg: 0.000117546; avg_err: 9.02484e-05; sd: 0.00185833; counts: 425
sfh 0.069123 0 0 0 #avg: 0.000333764; avg_err: 0.000252921; sd: 0.00520797; counts: 425
sfh 0.071373 0 0 0 #avg: 0.000610999; avg_err: 0.000472255; sd: 0.00972432; counts: 425
sfh 0.073623 0 0 0 #avg: 0.000968492; avg_err: 0.000700152; sd: 0.014417; counts: 425
sfh 0.075873 0 0 0 #avg: 0.00133295; avg_err: 0.00075721; sd: 0.0155919; counts: 425
sfh 0.078123 0 0 0 #avg: 0.00177474; avg_err: 0.000712846; sd: 0.0146784; counts: 425
sfh 0.080373 0 0 0 #avg: 0.00250015; avg_err: 0.000770943; sd: 0.0158747; counts: 425
sfh 0.082623 0 0 0 #avg: 0.00509976; avg_err: 0.00147027; sd: 0.0302748; counts: 425
