#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.25 - 8.75
#HM   Stats: 3.050000e+11 (median) + 2.525000e+11  / - 1.167650e+11
#SM   Stats: 3.935440e+08 (median) + 1.251290e+08  / - 1.333390e+08
#VMP  Stats: 1.452600e+02 (median) + 2.883000e+01  / - 1.512999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.582647e-12 (median) + 2.695455e-12  / - 1.606174e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 218
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 218
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 218
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 218
sfh 0.066873 0 0 0 #avg: 7.91587e-05; avg_err: 7.91587e-05; sd: 0.00116608; counts: 218
sfh 0.069123 0 0 0 #avg: 0.000328459; avg_err: 0.000239727; sd: 0.0035314; counts: 218
sfh 0.071373 0 0 0 #avg: 0.000859282; avg_err: 0.000661061; sd: 0.00973804; counts: 218
sfh 0.073623 0 0 0 #avg: 0.00150165; avg_err: 0.00120669; sd: 0.0177757; counts: 218
sfh 0.075873 0 0 0 #avg: 0.00262121; avg_err: 0.00154702; sd: 0.0227891; counts: 218
sfh 0.078123 0 0 0 #avg: 0.00394197; avg_err: 0.00187032; sd: 0.0275515; counts: 218
sfh 0.080373 0 0 0 #avg: 0.0089105; avg_err: 0.00412687; sd: 0.0607926; counts: 218
sfh 0.082623 0 0 0 #avg: 0.0168973; avg_err: 0.00980131; sd: 0.144382; counts: 218
sfh 0.085998 0 0 0 #avg: 0.0322448; avg_err: 0.0100226; sd: 0.147642; counts: 218
sfh 0.089373 0 0.00533407 0 #avg: 0.025608; avg_err: 0.0064392; sd: 0.0948554; counts: 218
sfh 0.092748 0 0.0182316 0 #avg: 0.0320646; avg_err: 0.00794253; sd: 0.117001; counts: 218
