#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.25 - 8.75
#HM   Stats: 1.171320e+11 (median) + 5.110301e+10  / - 3.508790e+10
#SM   Stats: 2.896430e+08 (median) + 1.542070e+08  / - 8.480000e+07
#VMP  Stats: 1.059600e+02 (median) + 1.199000e+01  / - 1.018000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.543244e-09 (median) + 1.985077e-09  / - 7.782601e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 323437
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 323437
sfh 0.062373 0 0 0 #avg: 4.23265e-07; avg_err: 3.3506e-07; sd: 0.000190554; counts: 323437
sfh 0.064623 0 0 0 #avg: 4.0205e-06; avg_err: 1.29659e-06; sd: 0.000737387; counts: 323437
sfh 0.066873 0 0 0 #avg: 1.80324e-05; avg_err: 3.96228e-06; sd: 0.0022534; counts: 323437
sfh 0.069123 0 0 0 #avg: 6.8222e-05; avg_err: 1.13061e-05; sd: 0.00642993; counts: 323437
sfh 0.071373 0 0 0 #avg: 0.000201202; avg_err: 3.2911e-05; sd: 0.0187169; counts: 323437
sfh 0.073623 0 0 0 #avg: 0.000394552; avg_err: 5.09087e-05; sd: 0.0289525; counts: 323437
sfh 0.075873 0 0 0 #avg: 0.000668704; avg_err: 4.82458e-05; sd: 0.0274381; counts: 323437
sfh 0.078123 0 0 0 #avg: 0.00107687; avg_err: 5.11315e-05; sd: 0.0290792; counts: 323437
sfh 0.080373 0 0 0 #avg: 0.0017802; avg_err: 6.2733e-05; sd: 0.0356772; counts: 323437
sfh 0.082623 0 0 0 #avg: 0.00267565; avg_err: 7.45689e-05; sd: 0.0424084; counts: 323437
sfh 0.085998 0 0 0 #avg: 0.00478767; avg_err: 9.91311e-05; sd: 0.0563773; counts: 323437
sfh 0.089373 0 0 0 #avg: 0.00763259; avg_err: 0.000125472; sd: 0.0713575; counts: 323437
sfh 0.092748 0 0 0 #avg: 0.0110968; avg_err: 0.000136; sd: 0.0773453; counts: 323437
sfh 0.096123 0 0.00287756 0 #avg: 0.0148828; avg_err: 0.000153589; sd: 0.0873482; counts: 323437
sfh 0.099498 0 0.0120956 0 #avg: 0.0187698; avg_err: 0.000156406; sd: 0.0889503; counts: 323437
sfh 0.102873 0 0.0241957 0 #avg: 0.0229331; avg_err: 0.000167579; sd: 0.0953048; counts: 323437
sfh 0.106248 0 0.0357517 0 #avg: 0.0270385; avg_err: 0.000179322; sd: 0.101983; counts: 323437
sfh 0.109623 0 0.0465212 0 #avg: 0.031194; avg_err: 0.000187314; sd: 0.106528; counts: 323437
sfh 0.112998 0.000875191 0.0543543 0.000875191 #avg: 0.0346797; avg_err: 0.000184492; sd: 0.104923; counts: 323437
sfh 0.116373 0.0034776 0.0576457 0.0034776 #avg: 0.0376529; avg_err: 0.000190237; sd: 0.108191; counts: 323437
sfh 0.119748 0.00621205 0.0607949 0.00621205 #avg: 0.0405632; avg_err: 0.000194985; sd: 0.110891; counts: 323437
sfh 0.123123 0.00873769 0.0640394 0.00873769 #avg: 0.0435692; avg_err: 0.000195178; sd: 0.111; counts: 323437
