#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 8.25 - 8.75
#HM   Stats: 1.057350e+11 (median) + 5.132401e+10  / - 3.645560e+10
#SM   Stats: 2.882360e+08 (median) + 1.539640e+08  / - 8.381000e+07
#VMP  Stats: 1.063000e+02 (median) + 1.171000e+01  / - 1.007000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.335879e-09 (median) + 1.649072e-09  / - 6.753793e-10
sfh 0.055623 0 0 0 #avg: 3.33372e-07; avg_err: 3.32496e-07; sd: 0.000233342; counts: 492507
sfh 0.060123 0 0 0 #avg: 6.41868e-06; avg_err: 4.47462e-06; sd: 0.00314023; counts: 492507
sfh 0.062373 0 0 0 #avg: 1.55492e-05; avg_err: 8.92756e-06; sd: 0.00626525; counts: 492507
sfh 0.064623 0 0 0 #avg: 2.42585e-05; avg_err: 9.1462e-06; sd: 0.00641869; counts: 492507
sfh 0.066873 0 0 0 #avg: 6.29563e-05; avg_err: 1.54795e-05; sd: 0.0108633; counts: 492507
sfh 0.069123 0 0 0 #avg: 0.000152685; avg_err: 2.3497e-05; sd: 0.0164899; counts: 492507
sfh 0.071373 0 0 0 #avg: 0.000326341; avg_err: 2.88278e-05; sd: 0.020231; counts: 492507
sfh 0.073623 0 0 0 #avg: 0.0006638; avg_err: 4.66269e-05; sd: 0.0327222; counts: 492507
sfh 0.075873 0 0 0 #avg: 0.00117521; avg_err: 6.71188e-05; sd: 0.0471031; counts: 492507
sfh 0.078123 0 0 0 #avg: 0.00194444; avg_err: 6.37396e-05; sd: 0.0447317; counts: 492507
sfh 0.080373 0 0 0 #avg: 0.00307709; avg_err: 7.79732e-05; sd: 0.0547207; counts: 492507
sfh 0.082623 0 0 0 #avg: 0.00423198; avg_err: 8.12401e-05; sd: 0.0570133; counts: 492507
sfh 0.085998 0 0 0 #avg: 0.00724629; avg_err: 0.000109468; sd: 0.076823; counts: 492507
sfh 0.089373 0 0 0 #avg: 0.0109509; avg_err: 0.000130514; sd: 0.0915933; counts: 492507
sfh 0.092748 0 0 0 #avg: 0.015042; avg_err: 0.000137402; sd: 0.0964268; counts: 492507
sfh 0.096123 0 0.00762898 0 #avg: 0.019685; avg_err: 0.000149861; sd: 0.10517; counts: 492507
sfh 0.099498 0 0.0202401 0 #avg: 0.0244082; avg_err: 0.000157204; sd: 0.110324; counts: 492507
sfh 0.102873 0 0.0341331 0 #avg: 0.029144; avg_err: 0.000164889; sd: 0.115717; counts: 492507
sfh 0.106248 0 0.0469662 0 #avg: 0.033866; avg_err: 0.000175344; sd: 0.123054; counts: 492507
sfh 0.109623 0 0.0586283 0 #avg: 0.0385935; avg_err: 0.00018038; sd: 0.126589; counts: 492507
sfh 0.112998 0.00225127 0.0657016 0.00225127 #avg: 0.0427577; avg_err: 0.00018154; sd: 0.127403; counts: 492507
sfh 0.116373 0.00555887 0.0692277 0.00555887 #avg: 0.0463227; avg_err: 0.000183945; sd: 0.129091; counts: 492507
sfh 0.119748 0.00855518 0.0735563 0.00855518 #avg: 0.0500623; avg_err: 0.00019039; sd: 0.133614; counts: 492507
sfh 0.123123 0.0114112 0.0777941 0.0114112 #avg: 0.0539833; avg_err: 0.00019391; sd: 0.136084; counts: 492507
sfh 0.126498 0.0144349 0.0834512 0.0144349 #avg: 0.0583158; avg_err: 0.000197461; sd: 0.138576; counts: 492507
sfh 0.129873 0.0177033 0.0885657 0.0177033 #avg: 0.0630788; avg_err: 0.000205819; sd: 0.144441; counts: 492507
sfh 0.133248 0.0211585 0.0938145 0.0211585 #avg: 0.067927; avg_err: 0.00021283; sd: 0.149362; counts: 492507
