#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.25 - 9.75
#HM   Stats: 2.705880e+11 (median) + 1.320590e+11  / - 9.602900e+10
#SM   Stats: 2.781150e+09 (median) + 1.531830e+09  / - 7.664900e+08
#VMP  Stats: 1.536100e+02 (median) + 1.559000e+01  / - 1.368001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.291307e-09 (median) + 1.304863e-09  / - 6.538695e-10
sfh 0.055623 0 0 0 #avg: 1.8381e-05; avg_err: 1.68276e-05; sd: 0.00310099; counts: 33960
sfh 0.060123 0 0 0 #avg: 0.000422115; avg_err: 0.000140726; sd: 0.0259329; counts: 33960
sfh 0.062373 0 0 0 #avg: 0.00153232; avg_err: 0.000419841; sd: 0.0773682; counts: 33960
sfh 0.064623 0 0 0 #avg: 0.0047689; avg_err: 0.00131559; sd: 0.242437; counts: 33960
sfh 0.066873 0 0 0 #avg: 0.00832344; avg_err: 0.00176933; sd: 0.326051; counts: 33960
sfh 0.069123 0 0 0 #avg: 0.0116817; avg_err: 0.00143623; sd: 0.264669; counts: 33960
sfh 0.071373 0 0 0 #avg: 0.0173653; avg_err: 0.00194645; sd: 0.358691; counts: 33960
sfh 0.073623 0 0 0 #avg: 0.0241192; avg_err: 0.00180171; sd: 0.332018; counts: 33960
sfh 0.075873 0 0 0 #avg: 0.0339117; avg_err: 0.001944; sd: 0.35824; counts: 33960
sfh 0.078123 0 0 0 #avg: 0.0471735; avg_err: 0.00253178; sd: 0.466555; counts: 33960
sfh 0.080373 0 0 0 #avg: 0.0582896; avg_err: 0.00242166; sd: 0.446263; counts: 33960
sfh 0.082623 0 0.0145528 0 #avg: 0.0639415; avg_err: 0.00223597; sd: 0.412044; counts: 33960
