#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 9.25 - 9.75
#HM   Stats: 4.473530e+11 (median) + 2.405880e+11  / - 1.616180e+11
#SM   Stats: 3.234870e+09 (median) + 1.439550e+09  / - 1.113170e+09
#VMP  Stats: 1.841100e+02 (median) + 2.266000e+01  / - 1.748000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.738699e-12 (median) + 5.022659e-12  / - 1.785426e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3117
sfh 0.060123 0 0 0 #avg: 0.00211078; avg_err: 0.00102616; sd: 0.0572816; counts: 3117
sfh 0.062373 0 0 0 #avg: 0.00418126; avg_err: 0.00143965; sd: 0.0803631; counts: 3117
sfh 0.064623 0 0 0 #avg: 0.0125725; avg_err: 0.0042038; sd: 0.234661; counts: 3117
sfh 0.066873 0 0 0 #avg: 0.0220914; avg_err: 0.00641029; sd: 0.35783; counts: 3117
sfh 0.069123 0 0 0 #avg: 0.0361306; avg_err: 0.00837759; sd: 0.467647; counts: 3117
sfh 0.071373 0 0 0 #avg: 0.0452935; avg_err: 0.0101966; sd: 0.569186; counts: 3117
sfh 0.073623 0 0 0 #avg: 0.0521726; avg_err: 0.00765155; sd: 0.427118; counts: 3117
sfh 0.075873 0 0 0 #avg: 0.0748615; avg_err: 0.0100092; sd: 0.558727; counts: 3117
sfh 0.078123 0 0.0112371 0 #avg: 0.0945531; avg_err: 0.0106809; sd: 0.596217; counts: 3117
sfh 0.080373 0 0.0404246 0 #avg: 0.116539; avg_err: 0.0118765; sd: 0.66296; counts: 3117
sfh 0.082623 0 0.0897735 0 #avg: 0.12164; avg_err: 0.00974665; sd: 0.544069; counts: 3117
sfh 0.085998 0 0.188144 0 #avg: 0.198453; avg_err: 0.0226083; sd: 1.26202; counts: 3117
sfh 0.089373 5.67171e-06 0.269388 5.67171e-06 #avg: 0.241603; avg_err: 0.0241112; sd: 1.34592; counts: 3117
sfh 0.092748 0.0138649 0.338028 0.0138649 #avg: 0.291861; avg_err: 0.026894; sd: 1.50125; counts: 3117
sfh 0.096123 0.0351739 0.413388 0.0351739 #avg: 0.354683; avg_err: 0.0283059; sd: 1.58007; counts: 3117
sfh 0.099498 0.0572036 0.521417 0.0572036 #avg: 0.390279; avg_err: 0.0224503; sd: 1.2532; counts: 3117
sfh 0.102873 0.0815628 0.568982 0.0815628 #avg: 0.44063; avg_err: 0.0222833; sd: 1.24388; counts: 3117
sfh 0.106248 0.108226 0.653591 0.107633 #avg: 0.528477; avg_err: 0.0302607; sd: 1.68919; counts: 3117
sfh 0.109623 0.124834 0.78227 0.120778 #avg: 0.635693; avg_err: 0.033606; sd: 1.87593; counts: 3117
sfh 0.112998 0.153543 0.879007 0.143515 #avg: 0.707267; avg_err: 0.0328559; sd: 1.83406; counts: 3117
sfh 0.116373 0.183201 0.963069 0.167219 #avg: 0.771346; avg_err: 0.0369829; sd: 2.06443; counts: 3117
sfh 0.119748 0.209096 1.10114 0.188722 #avg: 0.847141; avg_err: 0.0397155; sd: 2.21696; counts: 3117
sfh 0.123123 0.251695 1.22614 0.229229 #avg: 0.913219; avg_err: 0.0391264; sd: 2.18408; counts: 3117
sfh 0.126498 0.277531 1.25348 0.245293 #avg: 0.978532; avg_err: 0.0395359; sd: 2.20694; counts: 3117
sfh 0.129873 0.321984 1.35237 0.284614 #avg: 1.04469; avg_err: 0.0399867; sd: 2.2321; counts: 3117
sfh 0.133248 0.362633 1.47514 0.318189 #avg: 1.13274; avg_err: 0.0444098; sd: 2.47901; counts: 3117
sfh 0.136623 0.412755 1.59363 0.359268 #avg: 1.18642; avg_err: 0.0423396; sd: 2.36345; counts: 3117
sfh 0.141685 0.489711 1.79184 0.426163 #avg: 1.33562; avg_err: 0.0456533; sd: 2.54842; counts: 3117
sfh 0.146748 0.599341 2.06362 0.513396 #avg: 1.51754; avg_err: 0.0499269; sd: 2.78697; counts: 3117
sfh 0.15181 0.671062 2.38075 0.56862 #avg: 1.70966; avg_err: 0.0521745; sd: 2.91244; counts: 3117
sfh 0.156873 0.77529 2.6878 0.648349 #avg: 1.86981; avg_err: 0.0545552; sd: 3.04533; counts: 3117
sfh 0.161935 0.883643 2.78965 0.739872 #avg: 2.04102; avg_err: 0.0584916; sd: 3.26507; counts: 3117
sfh 0.166998 0.979183 2.76364 0.816291 #avg: 2.10651; avg_err: 0.0567871; sd: 3.16992; counts: 3117
sfh 0.17206 1.07781 2.98086 0.894101 #avg: 2.22056; avg_err: 0.058113; sd: 3.24394; counts: 3117
