#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.61667 - 1.78333
#HM   Stats: 9.572060e+09 (median) + 6.148539e+09  / - 1.595590e+09
#SM   Stats: 4.464250e+07 (median) + 7.602750e+07  / - 2.529100e+07
#VMP  Stats: 4.593000e+01 (median) + 1.075000e+01  / - 2.250000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 7.450809e-12 (median) + 2.409520e-12  / - 5.135100e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.080373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.082623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.085998 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.089373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10
sfh 0.092748 0 0 0 #avg: 0.000638107; avg_err: 0.000638107; sd: 0.00191432; counts: 10
sfh 0.096123 0 0 0 #avg: 0.0022262; avg_err: 0.0022262; sd: 0.0066786; counts: 10
sfh 0.099498 0 0 0 #avg: 0.00324508; avg_err: 0.00324508; sd: 0.00973524; counts: 10
sfh 0.102873 0 0 0 #avg: 0.00142307; avg_err: 0.00142307; sd: 0.00426921; counts: 10
sfh 0.106248 0 0 0 #avg: 0.00885253; avg_err: 0.00885253; sd: 0.0265576; counts: 10
sfh 0.109623 0 0 0 #avg: 0.0091721; avg_err: 0.0091721; sd: 0.0275163; counts: 10
sfh 0.112998 0 0 0 #avg: 0.00373876; avg_err: 0.00373876; sd: 0.0112163; counts: 10
sfh 0.116373 0 0 0 #avg: 0.0161679; avg_err: 0.0161679; sd: 0.0485037; counts: 10
sfh 0.119748 0 0 0 #avg: 0.0104491; avg_err: 0.0104491; sd: 0.0313473; counts: 10
sfh 0.123123 0 0 0 #avg: 0.00591323; avg_err: 0.00591323; sd: 0.0177397; counts: 10
sfh 0.126498 0 0 0 #avg: 0.00406305; avg_err: 0.00406305; sd: 0.0121892; counts: 10
sfh 0.129873 0 0 0 #avg: 0.00398785; avg_err: 0.00398785; sd: 0.0119635; counts: 10
sfh 0.133248 0 0.000902082 0 #avg: 0.00509477; avg_err: 0.00499534; sd: 0.014986; counts: 10
sfh 0.136623 0 0.00327547 0 #avg: 0.00735722; avg_err: 0.00700085; sd: 0.0210025; counts: 10
sfh 0.141685 0 0.208581 0 #avg: 0.0429986; avg_err: 0.0281848; sd: 0.0845544; counts: 10
sfh 0.146748 0.000209566 0.476638 0.000209566 #avg: 0.162438; avg_err: 0.115943; sd: 0.34783; counts: 10
sfh 0.15181 0.000406049 0.783189 0.000406049 #avg: 0.30404; avg_err: 0.209747; sd: 0.629242; counts: 10
sfh 0.156873 0.00601115 0.37438 0.00601115 #avg: 0.177074; avg_err: 0.125195; sd: 0.375586; counts: 10
sfh 0.161935 0.0199477 0.364787 0.0198917 #avg: 0.153233; avg_err: 0.0934529; sd: 0.280359; counts: 10
sfh 0.166998 0.0500979 0.612415 0.0489611 #avg: 0.17108; avg_err: 0.0921545; sd: 0.276464; counts: 10
sfh 0.17206 0.231085 0.577581 0.227504 #avg: 0.351248; avg_err: 0.14631; sd: 0.438929; counts: 10
