#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.95 - 2.11667
#HM   Stats: 9.320590e+10 (median) + 5.855909e+10  / - 3.213240e+10
#SM   Stats: 2.028830e+08 (median) + 3.170910e+08  / - 1.125485e+08
#VMP  Stats: 1.016900e+02 (median) + 1.604000e+01  / - 9.350006e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.413583e-09 (median) + 1.864574e-09  / - 7.132295e-10
sfh 0.055623 0 0 0 #avg: 1.51529e-07; avg_err: 1.49417e-07; sd: 0.000156427; counts: 1096047
sfh 0.060123 0 0 0 #avg: 6.38183e-06; avg_err: 2.77886e-06; sd: 0.00290925; counts: 1096047
sfh 0.062373 0 0 0 #avg: 1.89807e-05; avg_err: 5.3516e-06; sd: 0.00560271; counts: 1096047
sfh 0.064623 0 0 0 #avg: 6.67088e-05; avg_err: 2.09411e-05; sd: 0.0219237; counts: 1096047
sfh 0.066873 0 0 0 #avg: 0.000133447; avg_err: 2.1493e-05; sd: 0.0225015; counts: 1096047
sfh 0.069123 0 0 0 #avg: 0.000274619; avg_err: 2.66827e-05; sd: 0.0279347; counts: 1096047
sfh 0.071373 0 0 0 #avg: 0.000493983; avg_err: 3.27526e-05; sd: 0.0342894; counts: 1096047
sfh 0.073623 0 0 0 #avg: 0.000913694; avg_err: 4.77877e-05; sd: 0.05003; counts: 1096047
sfh 0.075873 0 0 0 #avg: 0.00147558; avg_err: 6.22173e-05; sd: 0.0651367; counts: 1096047
sfh 0.078123 0 0 0 #avg: 0.00224072; avg_err: 6.31106e-05; sd: 0.0660718; counts: 1096047
sfh 0.080373 0 0 0 #avg: 0.00333457; avg_err: 7.03197e-05; sd: 0.0736193; counts: 1096047
sfh 0.082623 0 0 0 #avg: 0.00434659; avg_err: 7.79252e-05; sd: 0.0815816; counts: 1096047
sfh 0.085998 0 0 0 #avg: 0.00715456; avg_err: 9.54918e-05; sd: 0.0999725; counts: 1096047
sfh 0.089373 0 0 0 #avg: 0.0102615; avg_err: 0.000105071; sd: 0.110001; counts: 1096047
sfh 0.092748 0 0 0 #avg: 0.0136691; avg_err: 0.00010461; sd: 0.109519; counts: 1096047
sfh 0.096123 0 0.00297152 0 #avg: 0.0177217; avg_err: 0.000110929; sd: 0.116134; counts: 1096047
sfh 0.099498 0 0.0119913 0 #avg: 0.0219556; avg_err: 0.000121442; sd: 0.12714; counts: 1096047
sfh 0.102873 0 0.023715 0 #avg: 0.0261329; avg_err: 0.000136114; sd: 0.142501; counts: 1096047
sfh 0.106248 0 0.0346601 0 #avg: 0.0303717; avg_err: 0.000136698; sd: 0.143112; counts: 1096047
sfh 0.109623 0 0.0451304 0 #avg: 0.0347814; avg_err: 0.000141005; sd: 0.147622; counts: 1096047
sfh 0.112998 0.000172745 0.0535422 0.000172745 #avg: 0.0386868; avg_err: 0.000146763; sd: 0.15365; counts: 1096047
sfh 0.116373 0.0020913 0.057852 0.0020913 #avg: 0.0422243; avg_err: 0.000149365; sd: 0.156373; counts: 1096047
sfh 0.119748 0.00454643 0.0615746 0.00454643 #avg: 0.0458918; avg_err: 0.00015499; sd: 0.162262; counts: 1096047
sfh 0.123123 0.00674819 0.0658319 0.00674819 #avg: 0.0496154; avg_err: 0.000159901; sd: 0.167404; counts: 1096047
sfh 0.126498 0.00898004 0.071216 0.00898004 #avg: 0.0538502; avg_err: 0.000169501; sd: 0.177455; counts: 1096047
sfh 0.129873 0.0113395 0.0762406 0.0113395 #avg: 0.0584074; avg_err: 0.000177423; sd: 0.185748; counts: 1096047
sfh 0.133248 0.0138893 0.0813237 0.0138893 #avg: 0.0631095; avg_err: 0.000184446; sd: 0.1931; counts: 1096047
sfh 0.136623 0.0164959 0.0868121 0.0164959 #avg: 0.0681602; avg_err: 0.000190736; sd: 0.199686; counts: 1096047
sfh 0.141685 0.0203248 0.0949792 0.0200246 #avg: 0.0753129; avg_err: 0.000200785; sd: 0.210207; counts: 1096047
