#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.11667 - 2.28333
#HM   Stats: 3.463240e+11 (median) + 1.958820e+11  / - 9.426502e+10
#SM   Stats: 2.173990e+09 (median) + 3.619660e+09  / - 1.225607e+09
#VMP  Stats: 1.498200e+02 (median) + 2.350999e+01  / - 1.407001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.141870e-09 (median) + 3.080658e-09  / - 1.131390e-09
sfh 0.055623 0 0 0 #avg: 8.73859e-07; avg_err: 8.73859e-07; sd: 0.000392237; counts: 201473
sfh 0.060123 0 0 0 #avg: 9.03942e-05; avg_err: 2.50688e-05; sd: 0.0112523; counts: 201473
sfh 0.062373 0 0 0 #avg: 0.000642654; avg_err: 0.000253936; sd: 0.113981; counts: 201473
sfh 0.064623 0 0 0 #avg: 0.0014784; avg_err: 0.000224123; sd: 0.100599; counts: 201473
sfh 0.066873 0 0 0 #avg: 0.00278093; avg_err: 0.000283702; sd: 0.127341; counts: 201473
sfh 0.069123 0 0 0 #avg: 0.00462256; avg_err: 0.000325857; sd: 0.146263; counts: 201473
sfh 0.071373 0 0 0 #avg: 0.00738251; avg_err: 0.000371653; sd: 0.166819; counts: 201473
sfh 0.073623 0 0 0 #avg: 0.0115028; avg_err: 0.000539236; sd: 0.24204; counts: 201473
sfh 0.075873 0 0 0 #avg: 0.0162394; avg_err: 0.000516161; sd: 0.231682; counts: 201473
sfh 0.078123 0 0 0 #avg: 0.0224915; avg_err: 0.000583346; sd: 0.261839; counts: 201473
sfh 0.080373 0 0 0 #avg: 0.030405; avg_err: 0.000671164; sd: 0.301256; counts: 201473
sfh 0.082623 0 0 0 #avg: 0.0353302; avg_err: 0.000681503; sd: 0.305897; counts: 201473
sfh 0.085998 0 0.0116897 0 #avg: 0.0532982; avg_err: 0.000864104; sd: 0.387859; counts: 201473
sfh 0.089373 0 0.0401622 0 #avg: 0.069146; avg_err: 0.00103752; sd: 0.465699; counts: 201473
sfh 0.092748 0 0.0780211 0 #avg: 0.0861009; avg_err: 0.00114241; sd: 0.512777; counts: 201473
sfh 0.096123 0 0.11839 0 #avg: 0.103778; avg_err: 0.00119693; sd: 0.537252; counts: 201473
sfh 0.099498 0.00115865 0.153549 0.00115865 #avg: 0.12094; avg_err: 0.00118245; sd: 0.53075; counts: 201473
sfh 0.102873 0.00814086 0.178047 0.00814086 #avg: 0.141126; avg_err: 0.0014003; sd: 0.628534; counts: 201473
sfh 0.106248 0.0172921 0.199239 0.0172921 #avg: 0.158658; avg_err: 0.00137867; sd: 0.618824; counts: 201473
sfh 0.109623 0.0269992 0.219599 0.0269992 #avg: 0.179206; avg_err: 0.00145088; sd: 0.651237; counts: 201473
sfh 0.112998 0.0354287 0.240511 0.0354287 #avg: 0.20133; avg_err: 0.00162357; sd: 0.728748; counts: 201473
sfh 0.116373 0.0431043 0.262828 0.0431043 #avg: 0.221672; avg_err: 0.00166951; sd: 0.749371; counts: 201473
sfh 0.119748 0.0509882 0.292551 0.0505672 #avg: 0.244813; avg_err: 0.00179212; sd: 0.804405; counts: 201473
sfh 0.123123 0.0596585 0.325074 0.0575792 #avg: 0.269945; avg_err: 0.00200561; sd: 0.900233; counts: 201473
sfh 0.126498 0.068822 0.351219 0.0647909 #avg: 0.293146; avg_err: 0.00206777; sd: 0.928132; counts: 201473
sfh 0.129873 0.0793023 0.387046 0.0731201 #avg: 0.320624; avg_err: 0.00226059; sd: 1.01468; counts: 201473
sfh 0.133248 0.090224 0.424808 0.0816947 #avg: 0.348643; avg_err: 0.00230568; sd: 1.03492; counts: 201473
sfh 0.136623 0.101228 0.469382 0.0900772 #avg: 0.379055; avg_err: 0.00240086; sd: 1.07764; counts: 201473
sfh 0.141685 0.118932 0.525205 0.103706 #avg: 0.426539; avg_err: 0.00248681; sd: 1.11622; counts: 201473
sfh 0.146748 0.140234 0.585268 0.120419 #avg: 0.475315; avg_err: 0.0027171; sd: 1.21959; counts: 201473
sfh 0.15181 0.161509 0.648675 0.137125 #avg: 0.526349; avg_err: 0.00294355; sd: 1.32123; counts: 201473
sfh 0.156873 0.185641 0.716073 0.156417 #avg: 0.579207; avg_err: 0.0031294; sd: 1.40465; counts: 201473
sfh 0.161935 0.211833 0.785902 0.177135 #avg: 0.633541; avg_err: 0.00328947; sd: 1.4765; counts: 201473
sfh 0.166998 0.239642 0.863128 0.198666 #avg: 0.690842; avg_err: 0.00342063; sd: 1.53537; counts: 201473
sfh 0.17206 0.266434 0.938296 0.219808 #avg: 0.749527; avg_err: 0.00366171; sd: 1.64358; counts: 201473
sfh 0.177123 0.296351 1.0075 0.242537 #avg: 0.814765; avg_err: 0.00411073; sd: 1.84513; counts: 201473
sfh 0.182185 0.329034 1.08781 0.266518 #avg: 0.882541; avg_err: 0.00435491; sd: 1.95473; counts: 201473
sfh 0.187248 0.358041 1.16427 0.288435 #avg: 0.948654; avg_err: 0.00455284; sd: 2.04357; counts: 201473
sfh 0.19231 0.390154 1.24033 0.311027 #avg: 1.01581; avg_err: 0.00483487; sd: 2.17016; counts: 201473
sfh 0.197373 0.426703 1.32342 0.338597 #avg: 1.08188; avg_err: 0.00497984; sd: 2.23523; counts: 201473
sfh 0.202435 0.46512 1.39785 0.367521 #avg: 1.15298; avg_err: 0.00521539; sd: 2.34096; counts: 201473
sfh 0.207498 0.506933 1.50207 0.398955 #avg: 1.22804; avg_err: 0.00541246; sd: 2.42942; counts: 201473
sfh 0.21256 0.549466 1.58469 0.430281 #avg: 1.30512; avg_err: 0.00571329; sd: 2.56445; counts: 201473
sfh 0.217623 0.590325 1.679 0.458778 #avg: 1.38551; avg_err: 0.00600693; sd: 2.69625; counts: 201473
sfh 0.222685 0.63562 1.76294 0.491249 #avg: 1.46396; avg_err: 0.00632183; sd: 2.83759; counts: 201473
sfh 0.227748 0.681952 1.85333 0.522407 #avg: 1.53939; avg_err: 0.00639196; sd: 2.86907; counts: 201473
sfh 0.23281 0.726903 1.94319 0.553338 #avg: 1.62415; avg_err: 0.0066841; sd: 3.0002; counts: 201473
sfh 0.237873 0.778574 2.03419 0.588118 #avg: 1.71355; avg_err: 0.0070566; sd: 3.1674; counts: 201473
sfh 0.242935 0.833564 2.13994 0.625681 #avg: 1.80767; avg_err: 0.00722558; sd: 3.24325; counts: 201473
sfh 0.247998 0.882406 2.24235 0.655522 #avg: 1.89296; avg_err: 0.00755378; sd: 3.39056; counts: 201473
sfh 0.25306 0.943676 2.35495 0.69595 #avg: 1.99461; avg_err: 0.00782566; sd: 3.5126; counts: 201473
sfh 0.258123 1.00285 2.43303 0.732063 #avg: 2.08759; avg_err: 0.00807655; sd: 3.62521; counts: 201473
sfh 0.263185 1.06348 2.53938 0.768559 #avg: 2.18825; avg_err: 0.00830888; sd: 3.72949; counts: 201473
sfh 0.268248 1.13039 2.64346 0.809001 #avg: 2.30225; avg_err: 0.00864604; sd: 3.88083; counts: 201473
sfh 0.27331 1.19156 2.76449 0.844824 #avg: 2.40966; avg_err: 0.00894418; sd: 4.01465; counts: 201473
sfh 0.278373 1.25631 2.89054 0.882547 #avg: 2.53336; avg_err: 0.00938729; sd: 4.21355; counts: 201473
sfh 0.283435 1.30935 3.02304 0.908361 #avg: 2.65007; avg_err: 0.00974379; sd: 4.37356; counts: 201473
sfh 0.288498 1.38185 3.1579 0.948546 #avg: 2.78832; avg_err: 0.0104158; sd: 4.67521; counts: 201473
sfh 0.29356 1.45399 3.29526 0.985815 #avg: 2.91752; avg_err: 0.0108788; sd: 4.88304; counts: 201473
sfh 0.298623 1.52967 3.44038 1.02522 #avg: 3.05638; avg_err: 0.011171; sd: 5.01417; counts: 201473
sfh 0.303685 1.61647 3.5878 1.0694 #avg: 3.19849; avg_err: 0.0114508; sd: 5.13977; counts: 201473
sfh 0.308748 1.7004 3.74686 1.10838 #avg: 3.3515; avg_err: 0.0119807; sd: 5.37761; counts: 201473
sfh 0.31381 1.79681 3.91011 1.1537 #avg: 3.49724; avg_err: 0.012216; sd: 5.48325; counts: 201473
sfh 0.318873 1.89726 4.09047 1.19947 #avg: 3.64624; avg_err: 0.0122216; sd: 5.48575; counts: 201473
sfh 0.323935 2.00488 4.32322 1.25422 #avg: 3.81081; avg_err: 0.0123624; sd: 5.54893; counts: 201473
sfh 0.328997 2.1199 4.60449 1.31822 #avg: 3.99705; avg_err: 0.0124701; sd: 5.59727; counts: 201473
sfh 0.33406 2.23739 4.98387 1.39694 #avg: 4.26233; avg_err: 0.0132084; sd: 5.92868; counts: 201473
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 201473
iclh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 201473
iclh 0.062373 0 0 0 #avg: 1.13027e-06; avg_err: 1.13027e-06; sd: 0.000507327; counts: 201473
iclh 0.064623 0 0 0 #avg: 2.41422e-06; avg_err: 2.41422e-06; sd: 0.00108364; counts: 201473
iclh 0.066873 0 0 0 #avg: 6.95117e-06; avg_err: 6.72098e-06; sd: 0.00301676; counts: 201473
iclh 0.069123 0 0 0 #avg: 1.41492e-05; avg_err: 1.16909e-05; sd: 0.00524754; counts: 201473
iclh 0.071373 0 0 0 #avg: 1.0992e-05; avg_err: 7.92047e-06; sd: 0.00355515; counts: 201473
iclh 0.073623 0 0 0 #avg: 1.55651e-05; avg_err: 6.41031e-06; sd: 0.00287731; counts: 201473
iclh 0.075873 0 0 0 #avg: 3.88067e-05; avg_err: 1.31399e-05; sd: 0.00589793; counts: 201473
iclh 0.078123 0 0 0 #avg: 5.80402e-05; avg_err: 1.82424e-05; sd: 0.00818822; counts: 201473
iclh 0.080373 0 0 0 #avg: 8.34528e-05; avg_err: 2.31056e-05; sd: 0.0103711; counts: 201473
iclh 0.082623 0 0 0 #avg: 9.06016e-05; avg_err: 1.53529e-05; sd: 0.00689126; counts: 201473
iclh 0.085998 0 0 0 #avg: 0.000135992; avg_err: 1.90241e-05; sd: 0.00853908; counts: 201473
iclh 0.089373 0 0 0 #avg: 0.000192884; avg_err: 2.07139e-05; sd: 0.00929757; counts: 201473
iclh 0.092748 0 0 0 #avg: 0.000250476; avg_err: 1.97327e-05; sd: 0.00885714; counts: 201473
