#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.61667 - 2.78333
#HM   Stats: 8.642650e+12 (median) + 3.752949e+12  / - 2.827940e+12
#SM   Stats: 1.306500e+11 (median) + 1.016780e+11  / - 7.869550e+10
#VMP  Stats: 4.623200e+02 (median) + 4.844998e+01  / - 3.839999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.738532e-12 (median) + 4.960497e-12  / - 1.075481e-12
sfh 0.055623 0 0 0 #avg: 0.000492533; avg_err: 0.000492533; sd: 0.00767783; counts: 244
sfh 0.060123 0 0 0 #avg: 0.0671198; avg_err: 0.0305162; sd: 0.475701; counts: 244
sfh 0.062373 0 0 0 #avg: 0.239233; avg_err: 0.125908; sd: 1.96271; counts: 244
sfh 0.064623 0 0.00245393 0 #avg: 0.930523; avg_err: 0.659398; sd: 10.279; counts: 244
sfh 0.066873 0 0.151727 0 #avg: 0.406827; avg_err: 0.114508; sd: 1.785; counts: 244
sfh 0.069123 0 0.43626 0 #avg: 0.813422; avg_err: 0.230012; sd: 3.58553; counts: 244
sfh 0.071373 0 0.672815 0 #avg: 1.08466; avg_err: 0.305062; sd: 4.75545; counts: 244
sfh 0.073623 0 1.0074 0 #avg: 1.31572; avg_err: 0.490316; sd: 7.64327; counts: 244
sfh 0.075873 0.0427133 1.63952 0.0427133 #avg: 1.38731; avg_err: 0.366109; sd: 5.70708; counts: 244
sfh 0.078123 0.138273 2.22721 0.138273 #avg: 1.66234; avg_err: 0.356403; sd: 5.55577; counts: 244
sfh 0.080373 0.252374 2.30667 0.252374 #avg: 1.84052; avg_err: 0.30681; sd: 4.7827; counts: 244
sfh 0.082623 0.328264 2.70809 0.328264 #avg: 1.84497; avg_err: 0.242979; sd: 3.78766; counts: 244
sfh 0.085998 0.58583 4.50073 0.581847 #avg: 2.84374; avg_err: 0.417109; sd: 6.50208; counts: 244
sfh 0.089373 0.949496 5.93638 0.913447 #avg: 4.88628; avg_err: 1.24896; sd: 19.4693; counts: 244
sfh 0.092748 1.15171 6.29818 1.0729 #avg: 6.46101; avg_err: 1.39715; sd: 21.7794; counts: 244
sfh 0.096123 1.52705 8.40199 1.41395 #avg: 12.0176; avg_err: 5.35899; sd: 83.5383; counts: 244
sfh 0.099498 1.7236 11.6347 1.5404 #avg: 7.70368; avg_err: 1.07722; sd: 16.7921; counts: 244
sfh 0.102873 2.33697 12.876 2.03811 #avg: 10.0767; avg_err: 2.55547; sd: 39.8359; counts: 244
sfh 0.106248 2.72939 13.6963 2.43114 #avg: 13.6699; avg_err: 2.68304; sd: 41.8244; counts: 244
sfh 0.109623 3.48076 14.101 3.07554 #avg: 16.0622; avg_err: 3.10831; sd: 48.4537; counts: 244
sfh 0.112998 4.24548 18.6848 3.7202 #avg: 17.3203; avg_err: 2.68328; sd: 41.8282; counts: 244
sfh 0.116373 4.79148 29.4082 4.16987 #avg: 19.3514; avg_err: 2.63744; sd: 41.1137; counts: 244
sfh 0.119748 6.44538 29.0215 5.63053 #avg: 24.1279; avg_err: 3.71546; sd: 57.9182; counts: 244
sfh 0.123123 6.65671 30.5928 5.71163 #avg: 34.3676; avg_err: 6.20616; sd: 96.7444; counts: 244
sfh 0.126498 8.42479 36.2363 7.42369 #avg: 37.7828; avg_err: 6.33413; sd: 98.7394; counts: 244
sfh 0.129873 8.63483 47.5054 7.28511 #avg: 41.08; avg_err: 6.78552; sd: 105.776; counts: 244
sfh 0.133248 9.22281 54.5774 7.62984 #avg: 45.8249; avg_err: 8.04736; sd: 125.446; counts: 244
sfh 0.136623 10.3848 66.8757 8.71327 #avg: 50.6354; avg_err: 8.80443; sd: 137.247; counts: 244
sfh 0.141685 14.0074 77.5191 11.6074 #avg: 60.6646; avg_err: 9.41808; sd: 146.813; counts: 244
sfh 0.146748 16.9469 82.9204 14.1278 #avg: 67.3284; avg_err: 9.71671; sd: 151.468; counts: 244
sfh 0.15181 21.4964 106.251 18.5732 #avg: 75.6943; avg_err: 10.2482; sd: 159.754; counts: 244
sfh 0.156873 24.9322 110.766 22.026 #avg: 79.5769; avg_err: 9.50109; sd: 148.107; counts: 244
sfh 0.161935 26.0171 140.051 22.4033 #avg: 79.5402; avg_err: 8.90015; sd: 138.74; counts: 244
sfh 0.166998 30.8779 143.821 26.0323 #avg: 96.8766; avg_err: 10.4882; sd: 163.495; counts: 244
sfh 0.17206 35.5021 159.548 31.6165 #avg: 108.347; avg_err: 12.0695; sd: 188.145; counts: 244
sfh 0.177123 42.1518 188.699 37.7779 #avg: 119.071; avg_err: 12.2087; sd: 190.315; counts: 244
sfh 0.182185 55.1513 204.681 50.8384 #avg: 125.066; avg_err: 11.1848; sd: 174.354; counts: 244
sfh 0.187248 54.3694 251.206 48.9198 #avg: 136.03; avg_err: 11.998; sd: 187.031; counts: 244
sfh 0.19231 61.7003 229.945 58.5363 #avg: 138.023; avg_err: 12.0384; sd: 187.661; counts: 244
sfh 0.197373 62.5493 231.268 60.1324 #avg: 142.459; avg_err: 12.638; sd: 197.006; counts: 244
sfh 0.202435 73.358 236.985 71.7156 #avg: 151.79; avg_err: 13.2065; sd: 205.869; counts: 244
sfh 0.207498 77.6093 245.255 75.9591 #avg: 155.479; avg_err: 13.7418; sd: 214.214; counts: 244
sfh 0.21256 81.2798 204.799 79.2814 #avg: 148.373; avg_err: 13.3855; sd: 208.659; counts: 244
sfh 0.217623 82.4227 183.7 81.582 #avg: 141.645; avg_err: 12.2303; sd: 190.651; counts: 244
sfh 0.222685 82.9479 177.992 82.4619 #avg: 143.336; avg_err: 12.9325; sd: 201.598; counts: 244
sfh 0.227748 83.8796 184.294 83.5799 #avg: 140.692; avg_err: 12.4517; sd: 194.102; counts: 244
sfh 0.23281 65.1398 171.889 64.699 #avg: 126.442; avg_err: 10.7332; sd: 167.314; counts: 244
sfh 0.237873 62.3562 172.551 62.0899 #avg: 119.977; avg_err: 9.60704; sd: 149.759; counts: 244
sfh 0.242935 63.9912 184.438 63.7931 #avg: 111.599; avg_err: 9.05867; sd: 141.211; counts: 244
sfh 0.247998 66.0292 154.703 65.8842 #avg: 109.205; avg_err: 8.91073; sd: 138.905; counts: 244
sfh 0.25306 62.2029 146.754 62.0766 #avg: 99.7697; avg_err: 8.03072; sd: 125.186; counts: 244
sfh 0.258123 52.3593 149.781 52.2118 #avg: 93.9488; avg_err: 8.30205; sd: 129.416; counts: 244
sfh 0.263185 39.4599 149.157 39.3355 #avg: 90.867; avg_err: 8.24209; sd: 128.481; counts: 244
sfh 0.268248 3.86738 170.552 3.76764 #avg: 85.4546; avg_err: 9.00466; sd: 140.369; counts: 244
sfh 0.27331 2.31283 178.523 2.21174 #avg: 81.8485; avg_err: 8.6026; sd: 134.101; counts: 244
sfh 0.278373 1.26479 169.316 1.19203 #avg: 73.1569; avg_err: 7.84076; sd: 122.225; counts: 244
sfh 0.283435 0.834534 167.365 0.776174 #avg: 66.2303; avg_err: 7.3791; sd: 115.029; counts: 244
sfh 0.288498 0.77327 152.629 0.718833 #avg: 67.4883; avg_err: 7.80596; sd: 121.683; counts: 244
sfh 0.29356 0.477529 135.157 0.419821 #avg: 55.0138; avg_err: 7.11184; sd: 110.863; counts: 244
sfh 0.298623 0.33941 109.613 0.286235 #avg: 45.5548; avg_err: 6.58301; sd: 102.619; counts: 244
sfh 0.303685 0.265467 76.182 0.222074 #avg: 37.893; avg_err: 6.04961; sd: 94.304; counts: 244
sfh 0.308748 0.254795 55.7349 0.214002 #avg: 26.354; avg_err: 4.51169; sd: 70.3303; counts: 244
sfh 0.31381 0.19649 2.12914 0.161761 #avg: 19.9536; avg_err: 4.19706; sd: 65.4257; counts: 244
sfh 0.318873 0.170557 0.806417 0.141035 #avg: 14.0331; avg_err: 3.43059; sd: 53.4776; counts: 244
sfh 0.323935 0.15336 0.76489 0.122932 #avg: 11.0791; avg_err: 2.8387; sd: 44.251; counts: 244
sfh 0.328997 0.113971 0.482161 0.0880344 #avg: 8.14085; avg_err: 2.51351; sd: 39.1817; counts: 244
sfh 0.33406 0.113356 0.412531 0.0904603 #avg: 5.09174; avg_err: 1.80757; sd: 28.1773; counts: 244
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 244
iclh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 244
iclh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 244
iclh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 244
iclh 0.066873 0 0 0 #avg: 0.000415504; avg_err: 0.000415504; sd: 0.00647707; counts: 244
iclh 0.069123 0 0 0 #avg: 0.000768213; avg_err: 0.000768213; sd: 0.0119753; counts: 244
iclh 0.071373 0 0 0 #avg: 0.00291377; avg_err: 0.00207854; sd: 0.0324012; counts: 244
iclh 0.073623 0 0 0 #avg: 0.00203191; avg_err: 0.00180686; sd: 0.0281661; counts: 244
iclh 0.075873 0 0 0 #avg: 0.00304033; avg_err: 0.00304025; sd: 0.0473927; counts: 244
iclh 0.078123 0 0 0 #avg: 0.00556215; avg_err: 0.00551889; sd: 0.0860309; counts: 244
iclh 0.080373 0 0 0 #avg: 0.00586411; avg_err: 0.00502437; sd: 0.0783222; counts: 244
iclh 0.082623 0 0 0 #avg: 0.00880031; avg_err: 0.00688342; sd: 0.107302; counts: 244
iclh 0.085998 0 0 0 #avg: 0.0139747; avg_err: 0.0106321; sd: 0.165738; counts: 244
iclh 0.089373 0 0 0 #avg: 0.0218557; avg_err: 0.0180456; sd: 0.281304; counts: 244
iclh 0.092748 0 0 0 #avg: 0.0484258; avg_err: 0.0444113; sd: 0.692303; counts: 244
iclh 0.096123 0 0 0 #avg: 0.0267167; avg_err: 0.0219788; sd: 0.342615; counts: 244
iclh 0.099498 0 0 0 #avg: 0.0209324; avg_err: 0.0164474; sd: 0.25639; counts: 244
iclh 0.102873 0 0 0 #avg: 0.014827; avg_err: 0.0105543; sd: 0.164526; counts: 244
iclh 0.106248 0 0 0 #avg: 0.0183813; avg_err: 0.01177; sd: 0.183477; counts: 244
iclh 0.109623 0 0 0 #avg: 0.0212166; avg_err: 0.0126905; sd: 0.197826; counts: 244
iclh 0.112998 0 0 0 #avg: 0.0267825; avg_err: 0.0163151; sd: 0.254328; counts: 244
iclh 0.116373 0 0 0 #avg: 0.0312363; avg_err: 0.0193344; sd: 0.301393; counts: 244
iclh 0.119748 0 0 0 #avg: 0.0361192; avg_err: 0.0238726; sd: 0.372138; counts: 244
iclh 0.123123 0 0 0 #avg: 0.03906; avg_err: 0.0241232; sd: 0.376043; counts: 244
iclh 0.126498 0 0 0 #avg: 0.0584935; avg_err: 0.0370605; sd: 0.577716; counts: 244
iclh 0.129873 0 0 0 #avg: 0.0436984; avg_err: 0.0290117; sd: 0.452248; counts: 244
iclh 0.133248 0 0 0 #avg: 0.0491566; avg_err: 0.0374292; sd: 0.583463; counts: 244
iclh 0.136623 0 0 0 #avg: 0.060784; avg_err: 0.0488723; sd: 0.761843; counts: 244
iclh 0.141685 0 0 0 #avg: 0.0976142; avg_err: 0.0877226; sd: 1.36746; counts: 244
iclh 0.146748 0 0 0 #avg: 0.0861703; avg_err: 0.0750045; sd: 1.1692; counts: 244
iclh 0.15181 0 0 0 #avg: 0.0751082; avg_err: 0.060667; sd: 0.945704; counts: 244
iclh 0.156873 0 0 0 #avg: 0.0563709; avg_err: 0.0386599; sd: 0.602648; counts: 244
iclh 0.161935 0 0 0 #avg: 0.0935268; avg_err: 0.0616984; sd: 0.961783; counts: 244
iclh 0.166998 0 0 0 #avg: 0.138853; avg_err: 0.104592; sd: 1.63043; counts: 244
iclh 0.17206 0 0 0 #avg: 0.205921; avg_err: 0.154935; sd: 2.41519; counts: 244
iclh 0.177123 0 0 0 #avg: 0.32968; avg_err: 0.245514; sd: 3.82718; counts: 244
iclh 0.182185 0 0 0 #avg: 0.371086; avg_err: 0.323287; sd: 5.03954; counts: 244
iclh 0.187248 0 0 0 #avg: 0.230323; avg_err: 0.191034; sd: 2.97793; counts: 244
iclh 0.19231 0 0 0 #avg: 0.181841; avg_err: 0.146137; sd: 2.27805; counts: 244
iclh 0.197373 0 0 0 #avg: 0.111485; avg_err: 0.0863322; sd: 1.34579; counts: 244
iclh 0.202435 0 0 0 #avg: 0.0602756; avg_err: 0.0420725; sd: 0.655846; counts: 244
iclh 0.207498 0 0 0 #avg: 0.049627; avg_err: 0.034279; sd: 0.534357; counts: 244
iclh 0.21256 0 0 0 #avg: 0.0641039; avg_err: 0.0478487; sd: 0.745887; counts: 244
iclh 0.217623 0 0 0 #avg: 0.0537831; avg_err: 0.038996; sd: 0.607887; counts: 244
iclh 0.222685 0 0 0 #avg: 0.0489453; avg_err: 0.0346151; sd: 0.539596; counts: 244
iclh 0.227748 0 0 0 #avg: 0.0505538; avg_err: 0.035313; sd: 0.550475; counts: 244
iclh 0.23281 0 0 0 #avg: 0.0405917; avg_err: 0.0276214; sd: 0.430575; counts: 244
iclh 0.237873 0 0 0 #avg: 0.0256168; avg_err: 0.0159755; sd: 0.249034; counts: 244
