#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 9.75 - 10.25
#HM   Stats: 9.116180e+09 (median) + 4.557319e+09  / - 2.735301e+09
#SM   Stats: 1.538710e+06 (median) + 3.993700e+06  / - 1.154257e+06
#VMP  Stats: 4.881000e+01 (median) + 8.119999e+00  / - 7.360001e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.609240e-09 (median) + 3.732818e-09  / - 9.897078e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
sfh 0.066873 0 0 0 #avg: 8.4582e-17; avg_err: 6.0312e-17; sd: 1.56752e-13; counts: 6754918
sfh 0.069123 0 0 0 #avg: 2.90441e-16; avg_err: 2.07031e-16; sd: 5.38079e-13; counts: 6754918
sfh 0.071373 0 0 0 #avg: 1.50053e-15; avg_err: 9.55733e-16; sd: 2.48397e-12; counts: 6754918
sfh 0.073623 0 0 0 #avg: 3.75975e-15; avg_err: 2.07317e-15; sd: 5.38823e-12; counts: 6754918
sfh 0.075873 0 0 0 #avg: 5.34944e-15; avg_err: 2.53607e-15; sd: 6.59131e-12; counts: 6754918
sfh 0.078123 0 0 0 #avg: 7.43303e-15; avg_err: 2.58572e-15; sd: 6.72034e-12; counts: 6754918
sfh 0.080373 0 0 0 #avg: 2.1529e-14; avg_err: 6.92793e-15; sd: 1.80058e-11; counts: 6754918
sfh 0.082623 0 0 0 #avg: 3.17664e-14; avg_err: 5.74134e-15; sd: 1.49219e-11; counts: 6754918
sfh 0.085998 0 0 0 #avg: 5.44332e-14; avg_err: 6.53371e-15; sd: 1.69813e-11; counts: 6754918
sfh 0.089373 0 0 0 #avg: 1.06343e-13; avg_err: 7.84951e-15; sd: 2.0401e-11; counts: 6754918
sfh 0.092748 0 0 0 #avg: 2.0638e-13; avg_err: 9.71213e-15; sd: 2.5242e-11; counts: 6754918
sfh 0.096123 0 0 0 #avg: 3.72568e-13; avg_err: 1.2949e-14; sd: 3.36547e-11; counts: 6754918
sfh 0.099498 0 0 0 #avg: 7.00394e-13; avg_err: 1.73173e-14; sd: 4.50082e-11; counts: 6754918
sfh 0.102873 0 0 0 #avg: 1.31571e-12; avg_err: 2.51357e-14; sd: 6.53284e-11; counts: 6754918
sfh 0.106248 0 0 0 #avg: 2.3054e-12; avg_err: 3.27866e-14; sd: 8.52131e-11; counts: 6754918
sfh 0.109623 0 0 0 #avg: 3.71095e-12; avg_err: 4.20208e-14; sd: 1.09213e-10; counts: 6754918
sfh 0.112998 0 0 0 #avg: 5.62975e-12; avg_err: 5.01909e-14; sd: 1.30447e-10; counts: 6754918
sfh 0.116373 0 0 0 #avg: 7.78309e-12; avg_err: 5.54709e-14; sd: 1.4417e-10; counts: 6754918
sfh 0.119748 0 0 0 #avg: 1.04708e-11; avg_err: 5.99261e-14; sd: 1.55749e-10; counts: 6754918
sfh 0.123123 0 0 0 #avg: 1.36358e-11; avg_err: 6.51753e-14; sd: 1.69392e-10; counts: 6754918
sfh 0.126498 0 0 0 #avg: 1.73799e-11; avg_err: 7.10353e-14; sd: 1.84622e-10; counts: 6754918
sfh 0.129873 0 0 0 #avg: 2.22827e-11; avg_err: 7.91382e-14; sd: 2.05682e-10; counts: 6754918
sfh 0.133248 0 0 0 #avg: 2.84928e-11; avg_err: 8.83299e-14; sd: 2.29571e-10; counts: 6754918
sfh 0.136623 0 0 0 #avg: 3.58026e-11; avg_err: 9.70662e-14; sd: 2.52277e-10; counts: 6754918
sfh 0.141685 0 0 0 #avg: 4.92832e-11; avg_err: 1.13153e-13; sd: 2.94088e-10; counts: 6754918
sfh 0.146748 0 0 0 #avg: 6.68376e-11; avg_err: 1.31969e-13; sd: 3.42992e-10; counts: 6754918
sfh 0.15181 0 0 0 #avg: 8.85821e-11; avg_err: 1.52075e-13; sd: 3.95246e-10; counts: 6754918
sfh 0.156873 0 5.21729e-11 0 #avg: 1.15872e-10; avg_err: 1.75261e-13; sd: 4.55508e-10; counts: 6754918
sfh 0.161935 0 1.43357e-10 0 #avg: 1.49171e-10; avg_err: 2.01746e-13; sd: 5.24341e-10; counts: 6754918
sfh 0.166998 0 2.572e-10 0 #avg: 1.87132e-10; avg_err: 2.27784e-13; sd: 5.92016e-10; counts: 6754918
sfh 0.17206 0 3.80873e-10 0 #avg: 2.21647e-10; avg_err: 2.39947e-13; sd: 6.23628e-10; counts: 6754918
sfh 0.177123 0 4.93879e-10 0 #avg: 2.4888e-10; avg_err: 2.38397e-13; sd: 6.196e-10; counts: 6754918
sfh 0.182185 0 5.84697e-10 0 #avg: 2.72909e-10; avg_err: 2.35444e-13; sd: 6.11925e-10; counts: 6754918
sfh 0.187248 0 6.61532e-10 0 #avg: 3.01378e-10; avg_err: 2.38913e-13; sd: 6.20939e-10; counts: 6754918
sfh 0.19231 6.38277e-12 7.23295e-10 6.38277e-12 #avg: 3.33047e-10; avg_err: 2.47129e-13; sd: 6.42294e-10; counts: 6754918
sfh 0.197373 4.05014e-11 7.50888e-10 4.05014e-11 #avg: 3.65783e-10; avg_err: 2.54614e-13; sd: 6.61749e-10; counts: 6754918
sfh 0.202435 8.85438e-11 7.63235e-10 8.85438e-11 #avg: 4.00701e-10; avg_err: 2.64049e-13; sd: 6.86268e-10; counts: 6754918
sfh 0.207498 1.4419e-10 7.63351e-10 1.4419e-10 #avg: 4.34996e-10; avg_err: 2.70936e-13; sd: 7.04169e-10; counts: 6754918
sfh 0.21256 1.99909e-10 7.63477e-10 1.99909e-10 #avg: 4.70414e-10; avg_err: 2.77438e-13; sd: 7.21068e-10; counts: 6754918
sfh 0.217623 2.53276e-10 7.68173e-10 2.53276e-10 #avg: 5.08001e-10; avg_err: 2.84205e-13; sd: 7.38656e-10; counts: 6754918
sfh 0.222685 2.91809e-10 7.05992e-10 2.91809e-10 #avg: 4.99839e-10; avg_err: 2.54993e-13; sd: 6.62733e-10; counts: 6754918
sfh 0.227748 3.26848e-10 6.65334e-10 3.26848e-10 #avg: 5.072e-10; avg_err: 2.42535e-13; sd: 6.30355e-10; counts: 6754918
sfh 0.23281 3.53487e-10 6.50343e-10 3.53487e-10 #avg: 5.23406e-10; avg_err: 2.39886e-13; sd: 6.23468e-10; counts: 6754918
sfh 0.237873 3.79946e-10 6.36738e-10 3.79946e-10 #avg: 5.42874e-10; avg_err: 2.4009e-13; sd: 6.23999e-10; counts: 6754918
sfh 0.242935 4.04958e-10 6.32819e-10 3.85522e-10 #avg: 5.65429e-10; avg_err: 2.42052e-13; sd: 6.29098e-10; counts: 6754918
sfh 0.247998 4.1965e-10 6.11495e-10 3.72116e-10 #avg: 5.75926e-10; avg_err: 2.39841e-13; sd: 6.23351e-10; counts: 6754918
sfh 0.25306 4.43984e-10 6.15469e-10 3.6364e-10 #avg: 6.01508e-10; avg_err: 2.41772e-13; sd: 6.2837e-10; counts: 6754918
sfh 0.258123 4.63429e-10 6.18624e-10 3.48022e-10 #avg: 6.22936e-10; avg_err: 2.42082e-13; sd: 6.29177e-10; counts: 6754918
sfh 0.263185 4.84368e-10 6.24232e-10 3.37184e-10 #avg: 6.4711e-10; avg_err: 2.43898e-13; sd: 6.33897e-10; counts: 6754918
sfh 0.268248 5.14017e-10 6.37697e-10 3.36307e-10 #avg: 6.79551e-10; avg_err: 2.46742e-13; sd: 6.41288e-10; counts: 6754918
sfh 0.27331 5.35522e-10 6.44062e-10 3.30218e-10 #avg: 7.04547e-10; avg_err: 2.48684e-13; sd: 6.46335e-10; counts: 6754918
sfh 0.278373 5.57456e-10 6.7783e-10 3.30125e-10 #avg: 7.37543e-10; avg_err: 2.54932e-13; sd: 6.62574e-10; counts: 6754918
sfh 0.283435 5.74427e-10 6.805e-10 3.2588e-10 #avg: 7.56377e-10; avg_err: 2.55176e-13; sd: 6.63209e-10; counts: 6754918
sfh 0.288498 5.99848e-10 6.99527e-10 3.30352e-10 #avg: 7.87761e-10; avg_err: 2.59429e-13; sd: 6.74262e-10; counts: 6754918
sfh 0.29356 6.23638e-10 7.17666e-10 3.36935e-10 #avg: 8.14703e-10; avg_err: 2.61138e-13; sd: 6.78703e-10; counts: 6754918
sfh 0.298623 6.50619e-10 7.44021e-10 3.47831e-10 #avg: 8.46107e-10; avg_err: 2.64692e-13; sd: 6.87939e-10; counts: 6754918
sfh 0.303685 6.78365e-10 7.8059e-10 3.63144e-10 #avg: 8.79909e-10; avg_err: 2.70348e-13; sd: 7.0264e-10; counts: 6754918
sfh 0.308748 7.06435e-10 8.42775e-10 3.82846e-10 #avg: 9.21672e-10; avg_err: 2.81626e-13; sd: 7.31952e-10; counts: 6754918
sfh 0.31381 7.28413e-10 9.4282e-10 4.01456e-10 #avg: 9.71917e-10; avg_err: 3.01302e-13; sd: 7.83091e-10; counts: 6754918
sfh 0.318873 7.40433e-10 1.09727e-09 4.14271e-10 #avg: 1.0343e-09; avg_err: 3.34752e-13; sd: 8.70029e-10; counts: 6754918
sfh 0.323935 7.43199e-10 1.31684e-09 4.24132e-10 #avg: 1.1189e-09; avg_err: 3.91823e-13; sd: 1.01836e-09; counts: 6754918
sfh 0.328997 7.39288e-10 1.5078e-09 4.24833e-10 #avg: 1.23083e-09; avg_err: 4.95974e-13; sd: 1.28905e-09; counts: 6754918
sfh 0.33406 7.30815e-10 1.65263e-09 4.21743e-10 #avg: 1.40433e-09; avg_err: 7.49314e-13; sd: 1.94748e-09; counts: 6754918
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.078123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.080373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.082623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.085998 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.089373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.092748 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6754918
iclh 0.096123 0 0 0 #avg: 5.49474e-17; avg_err: 5.49474e-17; sd: 1.4281e-13; counts: 6754918
iclh 0.099498 0 0 0 #avg: 1.48729e-15; avg_err: 1.35473e-15; sd: 3.52098e-12; counts: 6754918
iclh 0.102873 0 0 0 #avg: 2.0301e-15; avg_err: 1.20998e-15; sd: 3.14476e-12; counts: 6754918
iclh 0.106248 0 0 0 #avg: 2.25662e-15; avg_err: 1.21517e-15; sd: 3.15825e-12; counts: 6754918
iclh 0.109623 0 0 0 #avg: 1.14659e-14; avg_err: 6.35711e-15; sd: 1.65223e-11; counts: 6754918
iclh 0.112998 0 0 0 #avg: 1.1378e-14; avg_err: 5.08272e-15; sd: 1.32101e-11; counts: 6754918
iclh 0.116373 0 0 0 #avg: 1.36104e-14; avg_err: 4.33689e-15; sd: 1.12717e-11; counts: 6754918
iclh 0.119748 0 0 0 #avg: 1.625e-14; avg_err: 4.79926e-15; sd: 1.24734e-11; counts: 6754918
iclh 0.123123 0 0 0 #avg: 2.16471e-14; avg_err: 7.73974e-15; sd: 2.01158e-11; counts: 6754918
iclh 0.126498 0 0 0 #avg: 3.20057e-14; avg_err: 1.52657e-14; sd: 3.96759e-11; counts: 6754918
iclh 0.129873 0 0 0 #avg: 3.04042e-14; avg_err: 1.12775e-14; sd: 2.93105e-11; counts: 6754918
iclh 0.133248 0 0 0 #avg: 3.08521e-14; avg_err: 5.77742e-15; sd: 1.50156e-11; counts: 6754918
iclh 0.136623 0 0 0 #avg: 3.3738e-14; avg_err: 4.99156e-15; sd: 1.29732e-11; counts: 6754918
iclh 0.141685 0 0 0 #avg: 4.76558e-14; avg_err: 1.04824e-14; sd: 2.7244e-11; counts: 6754918
iclh 0.146748 0 0 0 #avg: 6.61648e-14; avg_err: 1.89962e-14; sd: 4.93717e-11; counts: 6754918
iclh 0.15181 0 0 0 #avg: 9.3798e-14; avg_err: 2.52496e-14; sd: 6.56243e-11; counts: 6754918
iclh 0.156873 0 0 0 #avg: 1.26942e-13; avg_err: 2.80129e-14; sd: 7.28061e-11; counts: 6754918
iclh 0.161935 0 0 0 #avg: 1.68017e-13; avg_err: 3.59505e-14; sd: 9.34363e-11; counts: 6754918
iclh 0.166998 0 0 0 #avg: 1.97505e-13; avg_err: 3.59377e-14; sd: 9.34029e-11; counts: 6754918
iclh 0.17206 0 0 0 #avg: 1.90794e-13; avg_err: 2.02664e-14; sd: 5.26729e-11; counts: 6754918
iclh 0.177123 0 0 0 #avg: 2.10548e-13; avg_err: 2.09488e-14; sd: 5.44465e-11; counts: 6754918
iclh 0.182185 0 0 0 #avg: 2.43521e-13; avg_err: 2.96829e-14; sd: 7.71464e-11; counts: 6754918
iclh 0.187248 0 0 0 #avg: 2.51211e-13; avg_err: 2.09395e-14; sd: 5.44222e-11; counts: 6754918
iclh 0.19231 0 0 0 #avg: 2.69211e-13; avg_err: 1.87286e-14; sd: 4.86762e-11; counts: 6754918
iclh 0.197373 0 0 0 #avg: 3.11461e-13; avg_err: 2.76118e-14; sd: 7.17637e-11; counts: 6754918
