#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 10.75 - 11.25
#HM   Stats: 8.545590e+10 (median) + 4.672011e+10  / - 2.232349e+10
#SM   Stats: 1.411750e+08 (median) + 2.170860e+08  / - 8.144511e+07
#VMP  Stats: 9.559000e+01 (median) + 1.432001e+01  / - 9.820000e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.611532e-09 (median) + 2.156128e-09  / - 8.152141e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 825983
sfh 0.060123 0 0 0 #avg: 2.1388e-17; avg_err: 2.1388e-17; sd: 1.94382e-14; counts: 825983
sfh 0.062373 0 0 0 #avg: 1.51404e-15; avg_err: 5.68509e-16; sd: 5.16681e-13; counts: 825983
sfh 0.064623 0 0 0 #avg: 1.11891e-14; avg_err: 2.49332e-15; sd: 2.26601e-12; counts: 825983
sfh 0.066873 0 0 0 #avg: 5.22265e-14; avg_err: 9.89528e-15; sd: 8.99318e-12; counts: 825983
sfh 0.069123 0 0 0 #avg: 1.58835e-13; avg_err: 2.47801e-14; sd: 2.25211e-11; counts: 825983
sfh 0.071373 0 0 0 #avg: 3.56709e-13; avg_err: 3.81683e-14; sd: 3.46887e-11; counts: 825983
sfh 0.073623 0 0 0 #avg: 6.60103e-13; avg_err: 5.56844e-14; sd: 5.0608e-11; counts: 825983
sfh 0.075873 0 0 0 #avg: 1.14276e-12; avg_err: 6.11325e-14; sd: 5.55594e-11; counts: 825983
sfh 0.078123 0 0 0 #avg: 1.86954e-12; avg_err: 6.72703e-14; sd: 6.11377e-11; counts: 825983
sfh 0.080373 0 0 0 #avg: 3.18522e-12; avg_err: 9.12532e-14; sd: 8.29341e-11; counts: 825983
sfh 0.082623 0 0 0 #avg: 4.80134e-12; avg_err: 1.0749e-13; sd: 9.76907e-11; counts: 825983
sfh 0.085998 0 0 0 #avg: 8.91354e-12; avg_err: 1.49178e-13; sd: 1.35579e-10; counts: 825983
sfh 0.089373 0 0 0 #avg: 1.47182e-11; avg_err: 1.83742e-13; sd: 1.66992e-10; counts: 825983
sfh 0.092748 0 0 0 #avg: 2.27233e-11; avg_err: 2.11085e-13; sd: 1.91841e-10; counts: 825983
