#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 10.75 - 11.25
#HM   Stats: 1.257940e+11 (median) + 3.435300e+10  / - 4.261750e+10
#SM   Stats: 3.223020e+08 (median) + 5.746350e+08  / - 2.084800e+08
#VMP  Stats: 1.284300e+02 (median) + 1.618001e+01  / - 1.519999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 3.356601e-12 (median) + 5.408363e-12  / - 2.054806e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1777
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1777
sfh 0.062373 0 0 0 #avg: 5.90739e-14; avg_err: 5.90739e-14; sd: 2.48953e-12; counts: 1777
sfh 0.064623 0 0 0 #avg: 8.86658e-13; avg_err: 4.59599e-13; sd: 1.93687e-11; counts: 1777
sfh 0.066873 0 0 0 #avg: 2.73553e-12; avg_err: 1.35171e-12; sd: 5.69647e-11; counts: 1777
sfh 0.069123 0 0 0 #avg: 1.23147e-11; avg_err: 8.6836e-12; sd: 3.65949e-10; counts: 1777
sfh 0.071373 0 0 0 #avg: 1.30089e-11; avg_err: 6.62624e-12; sd: 2.79247e-10; counts: 1777
sfh 0.073623 0 0 0 #avg: 1.36102e-11; avg_err: 3.99451e-12; sd: 1.68339e-10; counts: 1777
sfh 0.075873 0 0 0 #avg: 1.90365e-11; avg_err: 3.86322e-12; sd: 1.62806e-10; counts: 1777
sfh 0.078123 0 0 0 #avg: 3.09213e-11; avg_err: 5.70995e-12; sd: 2.40632e-10; counts: 1777
sfh 0.080373 0 0 0 #avg: 5.17735e-11; avg_err: 8.71012e-12; sd: 3.67067e-10; counts: 1777
sfh 0.082623 0 0 0 #avg: 5.76059e-11; avg_err: 8.05765e-12; sd: 3.3957e-10; counts: 1777
sfh 0.085998 0 1.97942e-11 0 #avg: 9.53607e-11; avg_err: 1.32765e-11; sd: 5.59508e-10; counts: 1777
sfh 0.089373 0 6.6921e-11 0 #avg: 1.14713e-10; avg_err: 1.29948e-11; sd: 5.47635e-10; counts: 1777
sfh 0.092748 0 1.48087e-10 0 #avg: 1.37082e-10; avg_err: 1.14333e-11; sd: 4.8183e-10; counts: 1777
sfh 0.096123 0 2.3422e-10 0 #avg: 1.60538e-10; avg_err: 1.15306e-11; sd: 4.85931e-10; counts: 1777
sfh 0.099498 0 3.08186e-10 0 #avg: 1.82675e-10; avg_err: 1.19555e-11; sd: 5.03838e-10; counts: 1777
sfh 0.102873 1.0471e-11 3.78597e-10 1.0471e-11 #avg: 2.23355e-10; avg_err: 1.51788e-11; sd: 6.39673e-10; counts: 1777
sfh 0.106248 2.52022e-11 3.86633e-10 2.52022e-11 #avg: 2.54477e-10; avg_err: 1.65473e-11; sd: 6.97347e-10; counts: 1777
sfh 0.109623 4.97118e-11 4.00673e-10 4.97118e-11 #avg: 2.839e-10; avg_err: 1.71466e-11; sd: 7.22604e-10; counts: 1777
sfh 0.112998 6.91187e-11 4.55645e-10 6.91187e-11 #avg: 3.12872e-10; avg_err: 1.80337e-11; sd: 7.59985e-10; counts: 1777
sfh 0.116373 8.84873e-11 4.86986e-10 8.84873e-11 #avg: 3.34765e-10; avg_err: 1.74202e-11; sd: 7.34133e-10; counts: 1777
sfh 0.119748 1.09431e-10 5.48315e-10 1.09431e-10 #avg: 3.62764e-10; avg_err: 1.77856e-11; sd: 7.49533e-10; counts: 1777
sfh 0.123123 1.27235e-10 5.53954e-10 1.27222e-10 #avg: 3.90757e-10; avg_err: 1.91965e-11; sd: 8.08989e-10; counts: 1777
sfh 0.126498 1.46594e-10 5.54461e-10 1.45993e-10 #avg: 4.18946e-10; avg_err: 1.96957e-11; sd: 8.30029e-10; counts: 1777
sfh 0.129873 1.66929e-10 6.43037e-10 1.61109e-10 #avg: 4.63149e-10; avg_err: 1.98468e-11; sd: 8.36396e-10; counts: 1777
sfh 0.133248 1.96111e-10 6.80435e-10 1.84535e-10 #avg: 4.87007e-10; avg_err: 1.99411e-11; sd: 8.40372e-10; counts: 1777
sfh 0.136623 2.21425e-10 7.30262e-10 2.04773e-10 #avg: 5.42155e-10; avg_err: 2.2963e-11; sd: 9.67721e-10; counts: 1777
sfh 0.141685 2.76738e-10 7.89531e-10 2.46065e-10 #avg: 6.29743e-10; avg_err: 2.49521e-11; sd: 1.05155e-09; counts: 1777
sfh 0.146748 3.17552e-10 9.04222e-10 2.74392e-10 #avg: 6.78417e-10; avg_err: 2.44517e-11; sd: 1.03046e-09; counts: 1777
sfh 0.15181 3.71015e-10 9.67817e-10 3.19347e-10 #avg: 7.32439e-10; avg_err: 2.43401e-11; sd: 1.02576e-09; counts: 1777
sfh 0.156873 4.17065e-10 1.00307e-09 3.55136e-10 #avg: 7.68608e-10; avg_err: 2.42627e-11; sd: 1.02249e-09; counts: 1777
sfh 0.161935 4.48394e-10 1.03242e-09 3.76505e-10 #avg: 7.83773e-10; avg_err: 2.28012e-11; sd: 9.60902e-10; counts: 1777
sfh 0.166998 4.97508e-10 1.01428e-09 4.10065e-10 #avg: 8.31195e-10; avg_err: 2.34772e-11; sd: 9.89389e-10; counts: 1777
sfh 0.17206 5.58377e-10 1.01145e-09 4.62785e-10 #avg: 8.58953e-10; avg_err: 2.34129e-11; sd: 9.86681e-10; counts: 1777
sfh 0.177123 6.19123e-10 1.00757e-09 5.11256e-10 #avg: 8.90416e-10; avg_err: 2.27021e-11; sd: 9.56726e-10; counts: 1777
sfh 0.182185 6.40645e-10 1.04796e-09 5.1482e-10 #avg: 9.40899e-10; avg_err: 2.44412e-11; sd: 1.03002e-09; counts: 1777
