#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 11.25 - 11.75
#HM   Stats: 3.433820e+11 (median) + 1.417650e+11  / - 1.150000e+11
#SM   Stats: 2.006840e+09 (median) + 3.416220e+09  / - 1.273401e+09
#VMP  Stats: 1.718500e+02 (median) + 2.209000e+01  / - 2.086000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.591847e-12 (median) + 3.360658e-12  / - 1.602722e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 4635
sfh 0.060123 0 0 0 #avg: 5.79452e-13; avg_err: 3.56503e-13; sd: 2.42684e-11; counts: 4635
sfh 0.062373 0 0 0 #avg: 2.63784e-12; avg_err: 1.88243e-12; sd: 1.28143e-10; counts: 4635
sfh 0.064623 0 0 0 #avg: 2.65567e-12; avg_err: 9.05883e-13; sd: 6.16666e-11; counts: 4635
sfh 0.066873 0 0 0 #avg: 4.75599e-12; avg_err: 1.3233e-12; sd: 9.00814e-11; counts: 4635
sfh 0.069123 0 0 0 #avg: 8.97946e-12; avg_err: 2.01962e-12; sd: 1.37483e-10; counts: 4635
sfh 0.071373 0 0 0 #avg: 1.23941e-11; avg_err: 2.24139e-12; sd: 1.52579e-10; counts: 4635
sfh 0.073623 0 0 0 #avg: 1.70496e-11; avg_err: 2.60123e-12; sd: 1.77075e-10; counts: 4635
sfh 0.075873 0 0 0 #avg: 2.2439e-11; avg_err: 2.80193e-12; sd: 1.90737e-10; counts: 4635
sfh 0.078123 0 3.6925e-13 0 #avg: 2.94122e-11; avg_err: 3.94843e-12; sd: 2.68784e-10; counts: 4635
sfh 0.080373 0 8.50057e-12 0 #avg: 3.25078e-11; avg_err: 3.37493e-12; sd: 2.29743e-10; counts: 4635
sfh 0.082623 0 2.28259e-11 0 #avg: 3.50699e-11; avg_err: 2.31483e-12; sd: 1.57578e-10; counts: 4635
sfh 0.085998 0 4.91651e-11 0 #avg: 5.81673e-11; avg_err: 3.94795e-12; sd: 2.68751e-10; counts: 4635
sfh 0.089373 0 8.28015e-11 0 #avg: 7.56558e-11; avg_err: 4.65379e-12; sd: 3.168e-10; counts: 4635
sfh 0.092748 1.32048e-12 1.13031e-10 1.32048e-12 #avg: 8.93074e-11; avg_err: 4.90139e-12; sd: 3.33655e-10; counts: 4635
sfh 0.096123 6.61704e-12 1.46849e-10 6.61704e-12 #avg: 1.08463e-10; avg_err: 5.65043e-12; sd: 3.84644e-10; counts: 4635
sfh 0.099498 1.46185e-11 1.70849e-10 1.46185e-11 #avg: 1.23926e-10; avg_err: 6.10756e-12; sd: 4.15763e-10; counts: 4635
sfh 0.102873 2.13487e-11 1.94772e-10 2.13487e-11 #avg: 1.37315e-10; avg_err: 5.29889e-12; sd: 3.60714e-10; counts: 4635
sfh 0.106248 3.00243e-11 2.20031e-10 3.00243e-11 #avg: 1.64182e-10; avg_err: 7.1722e-12; sd: 4.88237e-10; counts: 4635
sfh 0.109623 3.81233e-11 2.45304e-10 3.81233e-11 #avg: 1.91634e-10; avg_err: 8.33174e-12; sd: 5.67171e-10; counts: 4635
sfh 0.112998 4.82078e-11 2.85848e-10 4.72149e-11 #avg: 2.16906e-10; avg_err: 8.32999e-12; sd: 5.67051e-10; counts: 4635
sfh 0.116373 5.94591e-11 3.09731e-10 5.64687e-11 #avg: 2.39409e-10; avg_err: 8.42765e-12; sd: 5.73699e-10; counts: 4635
sfh 0.119748 7.22751e-11 3.6421e-10 6.73851e-11 #avg: 2.55595e-10; avg_err: 8.28583e-12; sd: 5.64045e-10; counts: 4635
