#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 11.75 - 12.25
#HM   Stats: 8.222060e+11 (median) + 4.423540e+11  / - 1.991180e+11
#SM   Stats: 1.361650e+10 (median) + 2.216410e+10  / - 8.053980e+09
#VMP  Stats: 1.985800e+02 (median) + 3.048000e+01  / - 1.852000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.931961e-09 (median) + 4.041650e-09  / - 1.604810e-09
sfh 0.055623 0 0 0 #avg: 1.13916e-16; avg_err: 7.61098e-17; sd: 2.00484e-14; counts: 69388
sfh 0.060123 0 0 0 #avg: 5.71768e-14; avg_err: 1.55188e-14; sd: 4.08787e-12; counts: 69388
sfh 0.062373 0 0 0 #avg: 2.47692e-13; avg_err: 7.18407e-14; sd: 1.89239e-11; counts: 69388
sfh 0.064623 0 0 0 #avg: 4.41675e-13; avg_err: 6.18922e-14; sd: 1.63033e-11; counts: 69388
sfh 0.066873 0 0 0 #avg: 9.30778e-13; avg_err: 1.53679e-13; sd: 4.04813e-11; counts: 69388
sfh 0.069123 0 0 0 #avg: 1.34979e-12; avg_err: 1.19858e-13; sd: 3.15724e-11; counts: 69388
sfh 0.071373 0 0 0 #avg: 2.00137e-12; avg_err: 1.18644e-13; sd: 3.12524e-11; counts: 69388
sfh 0.073623 0 0 0 #avg: 2.93194e-12; avg_err: 1.43991e-13; sd: 3.79293e-11; counts: 69388
sfh 0.075873 0 0 0 #avg: 4.02301e-12; avg_err: 1.57186e-13; sd: 4.14051e-11; counts: 69388
sfh 0.078123 0 2.29403e-13 0 #avg: 5.57143e-12; avg_err: 1.86026e-13; sd: 4.90018e-11; counts: 69388
sfh 0.080373 0 1.78686e-12 0 #avg: 7.06484e-12; avg_err: 1.90268e-13; sd: 5.01194e-11; counts: 69388
sfh 0.082623 0 4.22209e-12 0 #avg: 7.76914e-12; avg_err: 1.768e-13; sd: 4.65716e-11; counts: 69388
sfh 0.085998 0 9.3552e-12 0 #avg: 1.15335e-11; avg_err: 2.22628e-13; sd: 5.86434e-11; counts: 69388
sfh 0.089373 0 1.55584e-11 0 #avg: 1.50288e-11; avg_err: 2.95663e-13; sd: 7.78817e-11; counts: 69388
sfh 0.092748 5.23763e-13 2.10693e-11 5.23763e-13 #avg: 1.84409e-11; avg_err: 2.99615e-13; sd: 7.89228e-11; counts: 69388
sfh 0.096123 1.67502e-12 2.65232e-11 1.67502e-12 #avg: 2.16834e-11; avg_err: 3.17621e-13; sd: 8.36659e-11; counts: 69388
sfh 0.099498 3.22455e-12 3.0443e-11 3.22455e-12 #avg: 2.51286e-11; avg_err: 3.59874e-13; sd: 9.4796e-11; counts: 69388
sfh 0.102873 4.84695e-12 3.54265e-11 4.84695e-12 #avg: 2.94364e-11; avg_err: 3.82976e-13; sd: 1.00881e-10; counts: 69388
sfh 0.106248 6.46895e-12 4.06981e-11 6.46895e-12 #avg: 3.36854e-11; avg_err: 4.10323e-13; sd: 1.08085e-10; counts: 69388
sfh 0.109623 8.20295e-12 4.64303e-11 8.03216e-12 #avg: 3.88266e-11; avg_err: 4.64408e-13; sd: 1.22332e-10; counts: 69388
sfh 0.112998 1.01116e-11 5.28998e-11 9.60117e-12 #avg: 4.36541e-11; avg_err: 4.88439e-13; sd: 1.28662e-10; counts: 69388
sfh 0.116373 1.18306e-11 6.00985e-11 1.092e-11 #avg: 4.84367e-11; avg_err: 5.24293e-13; sd: 1.38106e-10; counts: 69388
sfh 0.119748 1.38549e-11 6.76736e-11 1.2545e-11 #avg: 5.35148e-11; avg_err: 5.36173e-13; sd: 1.41236e-10; counts: 69388
sfh 0.123123 1.59692e-11 7.532e-11 1.42052e-11 #avg: 5.87677e-11; avg_err: 5.65364e-13; sd: 1.48925e-10; counts: 69388
sfh 0.126498 1.82046e-11 8.36633e-11 1.59722e-11 #avg: 6.44608e-11; avg_err: 6.1053e-13; sd: 1.60822e-10; counts: 69388
sfh 0.129873 2.10342e-11 9.25562e-11 1.82551e-11 #avg: 7.07372e-11; avg_err: 6.21941e-13; sd: 1.63828e-10; counts: 69388
sfh 0.133248 2.40061e-11 1.00831e-10 2.06416e-11 #avg: 7.76255e-11; avg_err: 6.66388e-13; sd: 1.75536e-10; counts: 69388
