#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#mpeak range: 12.75 - 13.25
#HM   Stats: 6.573530e+12 (median) + 2.450000e+12  / - 6.455899e+11
#SM   Stats: 1.629120e+11 (median) + 1.251390e+11  / - 6.118599e+10
#VMP  Stats: 4.054400e+02 (median) + 3.512000e+01  / - 3.023001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.259531e-09 (median) + 2.848907e-09  / - 9.173907e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 38
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 38
sfh 0.062373 0 0 0 #avg: 2.02553e-13; avg_err: 1.42739e-13; sd: 8.68248e-13; counts: 38
sfh 0.064623 0 0 0 #avg: 1.73045e-12; avg_err: 1.23888e-12; sd: 7.53583e-12; counts: 38
sfh 0.066873 0 0 0 #avg: 3.542e-12; avg_err: 2.89903e-12; sd: 1.76341e-11; counts: 38
sfh 0.069123 0 6.49657e-13 0 #avg: 3.04691e-12; avg_err: 1.93618e-12; sd: 1.17773e-11; counts: 38
sfh 0.071373 0 1.00675e-12 0 #avg: 3.95644e-12; avg_err: 2.362e-12; sd: 1.43675e-11; counts: 38
sfh 0.073623 0 1.13691e-12 0 #avg: 4.58235e-12; avg_err: 2.35439e-12; sd: 1.43212e-11; counts: 38
sfh 0.075873 0 2.2706e-12 0 #avg: 5.81977e-12; avg_err: 2.88426e-12; sd: 1.75442e-11; counts: 38
sfh 0.078123 0 9.92073e-12 0 #avg: 8.50943e-12; avg_err: 4.37231e-12; sd: 2.65957e-11; counts: 38
sfh 0.080373 0 8.19465e-12 0 #avg: 1.65074e-11; avg_err: 1.12672e-11; sd: 6.85358e-11; counts: 38
sfh 0.082623 0 9.95578e-12 0 #avg: 1.24054e-11; avg_err: 6.08983e-12; sd: 3.7043e-11; counts: 38
sfh 0.085998 1.968e-13 1.0936e-11 1.968e-13 #avg: 1.95282e-11; avg_err: 1.30144e-11; sd: 7.91636e-11; counts: 38
sfh 0.089373 4.08599e-13 1.85109e-11 4.08599e-13 #avg: 7.05418e-11; avg_err: 6.35544e-11; sd: 3.86587e-10; counts: 38
sfh 0.092748 1.29503e-12 2.01474e-11 1.29333e-12 #avg: 3.77784e-11; avg_err: 2.99163e-11; sd: 1.81974e-10; counts: 38
