#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 10.25 - 10.75
#HM   Stats: 1.147500e+12 (median) + 7.657401e+11  / - 3.683820e+11
#SM   Stats: 2.936080e+10 (median) + 1.530110e+10  / - 8.713900e+09
#VMP  Stats: 2.248700e+02 (median) + 4.048999e+01  / - 2.384999e+01
#ICL  Stats: 1.529870e+08 (median) + 5.405070e+08  / - 1.252885e+08
#SSFR Stats: 2.036643e-09 (median) + 3.043108e-09  / - 2.029947e-09
sfh 0.055623 0 0 0 #avg: 1.11013e-14; avg_err: 3.9141e-15; sd: 7.61611e-13; counts: 37863
sfh 0.060123 0 0 0 #avg: 2.33505e-13; avg_err: 4.90316e-14; sd: 9.54064e-12; counts: 37863
sfh 0.062373 0 0 0 #avg: 4.94224e-13; avg_err: 8.76688e-14; sd: 1.70587e-11; counts: 37863
sfh 0.064623 0 0 0 #avg: 8.73284e-13; avg_err: 1.02077e-13; sd: 1.98623e-11; counts: 37863
sfh 0.066873 0 0 0 #avg: 1.45787e-12; avg_err: 1.34937e-13; sd: 2.62563e-11; counts: 37863
sfh 0.069123 0 0 0 #avg: 2.29312e-12; avg_err: 2.29711e-13; sd: 4.46976e-11; counts: 37863
sfh 0.071373 0 0 0 #avg: 3.05816e-12; avg_err: 1.81358e-13; sd: 3.5289e-11; counts: 37863
sfh 0.073623 0 0 0 #avg: 4.73569e-12; avg_err: 3.59409e-13; sd: 6.99343e-11; counts: 37863
sfh 0.075873 0 1.00502e-12 0 #avg: 6.18278e-12; avg_err: 3.19545e-13; sd: 6.21777e-11; counts: 37863
sfh 0.078123 0 2.88293e-12 0 #avg: 8.25823e-12; avg_err: 4.13239e-13; sd: 8.04087e-11; counts: 37863
sfh 0.080373 0 5.7648e-12 0 #avg: 9.51838e-12; avg_err: 4.53626e-13; sd: 8.82673e-11; counts: 37863
sfh 0.082623 0 8.56752e-12 0 #avg: 9.33294e-12; avg_err: 2.90162e-13; sd: 5.64602e-11; counts: 37863
sfh 0.085998 0 1.38241e-11 0 #avg: 1.33926e-11; avg_err: 3.88115e-13; sd: 7.552e-11; counts: 37863
sfh 0.089373 6.70674e-13 1.79282e-11 6.70674e-13 #avg: 1.6717e-11; avg_err: 5.05971e-13; sd: 9.84527e-11; counts: 37863
sfh 0.092748 1.74909e-12 2.17941e-11 1.74909e-12 #avg: 2.04574e-11; avg_err: 5.42539e-13; sd: 1.05568e-10; counts: 37863
sfh 0.096123 3.07388e-12 2.65156e-11 3.07388e-12 #avg: 2.45204e-11; avg_err: 6.22095e-13; sd: 1.21048e-10; counts: 37863
sfh 0.099498 4.42908e-12 2.9829e-11 4.42908e-12 #avg: 2.80348e-11; avg_err: 5.32471e-13; sd: 1.03609e-10; counts: 37863
sfh 0.102873 5.80213e-12 3.56909e-11 5.7176e-12 #avg: 3.27904e-11; avg_err: 5.8621e-13; sd: 1.14066e-10; counts: 37863
sfh 0.106248 7.21379e-12 4.17105e-11 6.85813e-12 #avg: 3.83159e-11; avg_err: 6.98304e-13; sd: 1.35877e-10; counts: 37863
sfh 0.109623 8.75194e-12 4.86964e-11 8.06987e-12 #avg: 4.4416e-11; avg_err: 8.24391e-13; sd: 1.60411e-10; counts: 37863
sfh 0.112998 1.04779e-11 5.6078e-11 9.47546e-12 #avg: 5.10252e-11; avg_err: 9.56208e-13; sd: 1.8606e-10; counts: 37863
sfh 0.116373 1.24178e-11 6.5087e-11 1.10717e-11 #avg: 5.83407e-11; avg_err: 1.05332e-12; sd: 2.04956e-10; counts: 37863
