#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 10.25 - 10.75
#HM   Stats: 2.351470e+12 (median) + 2.510290e+12  / - 9.024999e+11
#SM   Stats: 3.302670e+10 (median) + 1.425240e+10  / - 1.096410e+10
#VMP  Stats: 2.803500e+02 (median) + 7.760999e+01  / - 4.051001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 3.050228e-12 (median) + 3.358429e-12  / - 1.815735e-12
sfh 0.055623 0 0 0 #avg: 5.9848e-14; avg_err: 2.69895e-14; sd: 1.82254e-12; counts: 4561
sfh 0.060123 0 0 0 #avg: 1.00363e-12; avg_err: 2.71646e-13; sd: 1.83436e-11; counts: 4561
sfh 0.062373 0 0 0 #avg: 1.73673e-12; avg_err: 4.42529e-13; sd: 2.9883e-11; counts: 4561
sfh 0.064623 0 0 0 #avg: 2.71898e-12; avg_err: 4.46531e-13; sd: 3.01533e-11; counts: 4561
sfh 0.066873 0 0 0 #avg: 4.50617e-12; avg_err: 8.26067e-13; sd: 5.57825e-11; counts: 4561
sfh 0.069123 0 0 0 #avg: 7.94303e-12; avg_err: 1.66258e-12; sd: 1.1227e-10; counts: 4561
sfh 0.071373 0 1.12471e-12 0 #avg: 9.55556e-12; avg_err: 1.15606e-12; sd: 7.8066e-11; counts: 4561
sfh 0.073623 0 3.90598e-12 0 #avg: 1.6121e-11; avg_err: 2.73203e-12; sd: 1.84488e-10; counts: 4561
sfh 0.075873 0 8.54314e-12 0 #avg: 1.83303e-11; avg_err: 2.19823e-12; sd: 1.48442e-10; counts: 4561
sfh 0.078123 0 1.47016e-11 0 #avg: 2.39336e-11; avg_err: 2.87013e-12; sd: 1.93813e-10; counts: 4561
sfh 0.080373 1.99384e-18 2.09111e-11 1.99384e-18 #avg: 2.67131e-11; avg_err: 3.24643e-12; sd: 2.19224e-10; counts: 4561
sfh 0.082623 5.85588e-13 2.47959e-11 5.85588e-13 #avg: 2.37394e-11; avg_err: 1.91496e-12; sd: 1.29313e-10; counts: 4561
sfh 0.085998 2.15954e-12 3.52309e-11 2.15954e-12 #avg: 3.39813e-11; avg_err: 2.56104e-12; sd: 1.72941e-10; counts: 4561
sfh 0.089373 4.30288e-12 4.07195e-11 4.30288e-12 #avg: 3.93481e-11; avg_err: 2.7379e-12; sd: 1.84884e-10; counts: 4561
sfh 0.092748 6.73934e-12 4.74527e-11 6.73934e-12 #avg: 4.50893e-11; avg_err: 2.42168e-12; sd: 1.63531e-10; counts: 4561
sfh 0.096123 9.43691e-12 5.51252e-11 9.23571e-12 #avg: 5.3492e-11; avg_err: 2.66427e-12; sd: 1.79912e-10; counts: 4561
sfh 0.099498 1.15717e-11 6.25341e-11 1.08436e-11 #avg: 6.10875e-11; avg_err: 2.74011e-12; sd: 1.85034e-10; counts: 4561
sfh 0.102873 1.41328e-11 8.08676e-11 1.27665e-11 #avg: 7.21996e-11; avg_err: 3.18696e-12; sd: 2.15209e-10; counts: 4561
sfh 0.106248 1.72295e-11 9.45022e-11 1.5385e-11 #avg: 8.71006e-11; avg_err: 4.08271e-12; sd: 2.75696e-10; counts: 4561
sfh 0.109623 2.05677e-11 1.08583e-10 1.80912e-11 #avg: 9.86924e-11; avg_err: 4.50279e-12; sd: 3.04063e-10; counts: 4561
sfh 0.112998 2.54862e-11 1.24681e-10 2.23013e-11 #avg: 1.10317e-10; avg_err: 4.6103e-12; sd: 3.11324e-10; counts: 4561
sfh 0.116373 2.973e-11 1.45187e-10 2.58834e-11 #avg: 1.29713e-10; avg_err: 5.40302e-12; sd: 3.64854e-10; counts: 4561
sfh 0.119748 3.40862e-11 1.75036e-10 2.96333e-11 #avg: 1.47082e-10; avg_err: 6.3781e-12; sd: 4.30699e-10; counts: 4561
sfh 0.123123 3.99927e-11 2.026e-10 3.45643e-11 #avg: 1.59844e-10; avg_err: 5.79209e-12; sd: 3.91127e-10; counts: 4561
sfh 0.126498 4.68632e-11 2.2093e-10 4.04952e-11 #avg: 1.77288e-10; avg_err: 6.89503e-12; sd: 4.65606e-10; counts: 4561
sfh 0.129873 5.36526e-11 2.36204e-10 4.61541e-11 #avg: 1.94417e-10; avg_err: 7.15148e-12; sd: 4.82924e-10; counts: 4561
