#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 10.75 - 11.25
#HM   Stats: 1.889710e+12 (median) + 1.167640e+12  / - 6.073600e+11
#SM   Stats: 8.665970e+10 (median) + 4.562930e+10  / - 2.328080e+10
#VMP  Stats: 2.632400e+02 (median) + 4.461002e+01  / - 2.860999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.086005e-09 (median) + 2.379423e-09  / - 1.131062e-09
sfh 0.055623 0 0 0 #avg: 9.75244e-15; avg_err: 5.25924e-15; sd: 6.02729e-13; counts: 13135
sfh 0.060123 0 0 0 #avg: 1.15695e-13; avg_err: 4.01083e-14; sd: 4.59656e-12; counts: 13135
sfh 0.062373 0 0 0 #avg: 2.14328e-13; avg_err: 4.13275e-14; sd: 4.73628e-12; counts: 13135
sfh 0.064623 0 0 0 #avg: 4.91708e-13; avg_err: 9.85088e-14; sd: 1.12895e-11; counts: 13135
sfh 0.066873 0 0 0 #avg: 8.21562e-13; avg_err: 1.36001e-13; sd: 1.55862e-11; counts: 13135
sfh 0.069123 0 0 0 #avg: 1.30359e-12; avg_err: 1.87147e-13; sd: 2.14477e-11; counts: 13135
sfh 0.071373 0 0 0 #avg: 1.74217e-12; avg_err: 1.80136e-13; sd: 2.06443e-11; counts: 13135
sfh 0.073623 0 3.1069e-13 0 #avg: 2.00148e-12; avg_err: 1.26404e-13; sd: 1.44864e-11; counts: 13135
sfh 0.075873 0 1.08662e-12 0 #avg: 2.65332e-12; avg_err: 1.48001e-13; sd: 1.69615e-11; counts: 13135
sfh 0.078123 0 2.31178e-12 0 #avg: 3.53669e-12; avg_err: 1.99848e-13; sd: 2.29033e-11; counts: 13135
sfh 0.080373 0 3.8844e-12 0 #avg: 4.36428e-12; avg_err: 2.06421e-13; sd: 2.36566e-11; counts: 13135
sfh 0.082623 0 5.04893e-12 0 #avg: 4.63113e-12; avg_err: 2.05972e-13; sd: 2.36052e-11; counts: 13135
sfh 0.085998 2.77036e-13 7.40839e-12 2.77036e-13 #avg: 7.1262e-12; avg_err: 3.40625e-13; sd: 3.90369e-11; counts: 13135
sfh 0.089373 7.9006e-13 9.59494e-12 7.9006e-13 #avg: 8.46769e-12; avg_err: 3.69384e-13; sd: 4.23327e-11; counts: 13135
sfh 0.092748 1.39841e-12 1.12215e-11 1.39841e-12 #avg: 1.03336e-11; avg_err: 3.71914e-13; sd: 4.26227e-11; counts: 13135
sfh 0.096123 2.13346e-12 1.34508e-11 2.13346e-12 #avg: 1.21549e-11; avg_err: 3.99344e-13; sd: 4.57663e-11; counts: 13135
sfh 0.099498 2.83671e-12 1.52492e-11 2.76242e-12 #avg: 1.41234e-11; avg_err: 4.11315e-13; sd: 4.71382e-11; counts: 13135
sfh 0.102873 3.54868e-12 1.84608e-11 3.33e-12 #avg: 1.71266e-11; avg_err: 4.96091e-13; sd: 5.68539e-11; counts: 13135
sfh 0.106248 4.36355e-12 2.25579e-11 3.98274e-12 #avg: 2.05946e-11; avg_err: 6.15496e-13; sd: 7.05382e-11; counts: 13135
sfh 0.109623 5.14311e-12 2.70165e-11 4.57046e-12 #avg: 2.51179e-11; avg_err: 8.79589e-13; sd: 1.00804e-10; counts: 13135
sfh 0.112998 6.25316e-12 3.1595e-11 5.51631e-12 #avg: 2.92742e-11; avg_err: 1.08848e-12; sd: 1.24744e-10; counts: 13135
sfh 0.116373 7.38774e-12 3.61042e-11 6.4521e-12 #avg: 3.38363e-11; avg_err: 1.38291e-12; sd: 1.58487e-10; counts: 13135
sfh 0.119748 8.65643e-12 4.15226e-11 7.47431e-12 #avg: 3.72539e-11; avg_err: 1.27533e-12; sd: 1.46157e-10; counts: 13135
sfh 0.123123 1.01271e-11 4.76365e-11 8.66673e-12 #avg: 4.05829e-11; avg_err: 1.11963e-12; sd: 1.28314e-10; counts: 13135
sfh 0.126498 1.16691e-11 5.38738e-11 9.94333e-12 #avg: 4.47205e-11; avg_err: 1.14921e-12; sd: 1.31704e-10; counts: 13135
sfh 0.129873 1.35558e-11 5.98037e-11 1.15484e-11 #avg: 5.02322e-11; avg_err: 1.21477e-12; sd: 1.39217e-10; counts: 13135
sfh 0.133248 1.55172e-11 6.84327e-11 1.32131e-11 #avg: 5.54998e-11; avg_err: 1.30357e-12; sd: 1.49394e-10; counts: 13135
sfh 0.136623 1.77707e-11 7.62592e-11 1.50306e-11 #avg: 6.22643e-11; avg_err: 1.56844e-12; sd: 1.79749e-10; counts: 13135
sfh 0.141685 2.15109e-11 8.50696e-11 1.81528e-11 #avg: 7.14705e-11; avg_err: 1.53034e-12; sd: 1.75383e-10; counts: 13135
sfh 0.146748 2.57852e-11 1.00448e-10 2.17026e-11 #avg: 7.97382e-11; avg_err: 1.60059e-12; sd: 1.83433e-10; counts: 13135
sfh 0.15181 3.0657e-11 1.16886e-10 2.56822e-11 #avg: 8.94944e-11; avg_err: 1.67008e-12; sd: 1.91397e-10; counts: 13135
sfh 0.156873 3.65845e-11 1.26962e-10 3.06816e-11 #avg: 1.01796e-10; avg_err: 1.92278e-12; sd: 2.20358e-10; counts: 13135
sfh 0.161935 4.24105e-11 1.53375e-10 3.5221e-11 #avg: 1.15749e-10; avg_err: 2.0077e-12; sd: 2.30089e-10; counts: 13135
sfh 0.166998 4.91058e-11 1.72673e-10 4.01142e-11 #avg: 1.31221e-10; avg_err: 2.19663e-12; sd: 2.51741e-10; counts: 13135
sfh 0.17206 5.70263e-11 1.90947e-10 4.62259e-11 #avg: 1.47475e-10; avg_err: 2.3626e-12; sd: 2.70763e-10; counts: 13135
sfh 0.177123 6.56855e-11 2.14483e-10 5.34002e-11 #avg: 1.64194e-10; avg_err: 2.56846e-12; sd: 2.94355e-10; counts: 13135
sfh 0.182185 7.61634e-11 2.39384e-10 6.21396e-11 #avg: 1.8112e-10; avg_err: 2.72287e-12; sd: 3.12051e-10; counts: 13135
sfh 0.187248 8.74765e-11 2.67283e-10 7.12231e-11 #avg: 2.00138e-10; avg_err: 2.89517e-12; sd: 3.31798e-10; counts: 13135
sfh 0.19231 1.00608e-10 2.96946e-10 8.20407e-11 #avg: 2.20291e-10; avg_err: 3.04696e-12; sd: 3.49193e-10; counts: 13135
sfh 0.197373 1.13148e-10 3.27578e-10 9.14139e-11 #avg: 2.4275e-10; avg_err: 3.23825e-12; sd: 3.71115e-10; counts: 13135
sfh 0.202435 1.2831e-10 3.47607e-10 1.02516e-10 #avg: 2.6741e-10; avg_err: 3.51005e-12; sd: 4.02265e-10; counts: 13135
sfh 0.207498 1.45874e-10 3.82495e-10 1.16384e-10 #avg: 2.88996e-10; avg_err: 3.58404e-12; sd: 4.10744e-10; counts: 13135
sfh 0.21256 1.64453e-10 4.07944e-10 1.30004e-10 #avg: 3.12837e-10; avg_err: 3.7211e-12; sd: 4.26451e-10; counts: 13135
sfh 0.217623 1.86694e-10 4.30771e-10 1.47196e-10 #avg: 3.366e-10; avg_err: 3.83884e-12; sd: 4.39945e-10; counts: 13135
sfh 0.222685 2.08615e-10 4.54797e-10 1.63742e-10 #avg: 3.59945e-10; avg_err: 3.88593e-12; sd: 4.45342e-10; counts: 13135
sfh 0.227748 2.35829e-10 4.69785e-10 1.84831e-10 #avg: 3.86689e-10; avg_err: 3.99048e-12; sd: 4.57324e-10; counts: 13135
sfh 0.23281 2.62907e-10 5.08183e-10 2.05509e-10 #avg: 4.1888e-10; avg_err: 4.16497e-12; sd: 4.77321e-10; counts: 13135
sfh 0.237873 2.88227e-10 5.303e-10 2.22417e-10 #avg: 4.47581e-10; avg_err: 4.37898e-12; sd: 5.01847e-10; counts: 13135
sfh 0.242935 3.18561e-10 5.55915e-10 2.41436e-10 #avg: 4.82846e-10; avg_err: 4.54967e-12; sd: 5.21409e-10; counts: 13135
sfh 0.247998 3.57589e-10 5.76551e-10 2.69172e-10 #avg: 5.22811e-10; avg_err: 4.74922e-12; sd: 5.44277e-10; counts: 13135
sfh 0.25306 3.9347e-10 6.04601e-10 2.89636e-10 #avg: 5.5983e-10; avg_err: 4.86653e-12; sd: 5.57722e-10; counts: 13135
sfh 0.258123 4.34755e-10 6.28378e-10 3.15451e-10 #avg: 5.96816e-10; avg_err: 4.93398e-12; sd: 5.65452e-10; counts: 13135
sfh 0.263185 4.84582e-10 6.33231e-10 3.46501e-10 #avg: 6.34824e-10; avg_err: 5.01642e-12; sd: 5.749e-10; counts: 13135
sfh 0.268248 5.31953e-10 6.43117e-10 3.68029e-10 #avg: 6.76514e-10; avg_err: 5.08957e-12; sd: 5.83283e-10; counts: 13135
sfh 0.27331 5.75977e-10 6.54702e-10 3.81297e-10 #avg: 7.16774e-10; avg_err: 5.12351e-12; sd: 5.87173e-10; counts: 13135
sfh 0.278373 6.19196e-10 6.79378e-10 3.89528e-10 #avg: 7.60729e-10; avg_err: 5.19655e-12; sd: 5.95543e-10; counts: 13135
sfh 0.283435 6.81719e-10 6.59831e-10 4.07608e-10 #avg: 8.09097e-10; avg_err: 5.26209e-12; sd: 6.03054e-10; counts: 13135
sfh 0.288498 7.37573e-10 6.69448e-10 4.16542e-10 #avg: 8.61468e-10; avg_err: 5.2916e-12; sd: 6.06437e-10; counts: 13135
sfh 0.29356 7.97845e-10 6.88037e-10 4.19461e-10 #avg: 9.21714e-10; avg_err: 5.30867e-12; sd: 6.08394e-10; counts: 13135
sfh 0.298623 8.74502e-10 7.09902e-10 4.39274e-10 #avg: 9.95819e-10; avg_err: 5.52522e-12; sd: 6.33211e-10; counts: 13135
sfh 0.303685 9.5386e-10 7.53032e-10 4.60966e-10 #avg: 1.07469e-09; avg_err: 5.70057e-12; sd: 6.53306e-10; counts: 13135
sfh 0.308748 1.02311e-09 7.77671e-10 4.91494e-10 #avg: 1.14555e-09; avg_err: 5.91998e-12; sd: 6.78451e-10; counts: 13135
sfh 0.31381 1.08282e-09 8.22646e-10 5.22151e-10 #avg: 1.2051e-09; avg_err: 6.17976e-12; sd: 7.08223e-10; counts: 13135
sfh 0.318873 1.08786e-09 9.00718e-10 5.19642e-10 #avg: 1.24692e-09; avg_err: 6.6145e-12; sd: 7.58046e-10; counts: 13135
sfh 0.323935 1.07618e-09 9.41183e-10 5.34881e-10 #avg: 1.26095e-09; avg_err: 7.17514e-12; sd: 8.22297e-10; counts: 13135
sfh 0.328997 1.04226e-09 9.54265e-10 5.05053e-10 #avg: 1.26375e-09; avg_err: 7.85824e-12; sd: 9.00583e-10; counts: 13135
sfh 0.33406 9.70177e-10 9.44608e-10 4.74099e-10 #avg: 1.21862e-09; avg_err: 8.14245e-12; sd: 9.33154e-10; counts: 13135
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 13135
iclh 0.060123 0 0 0 #avg: 1.28165e-16; avg_err: 1.28165e-16; sd: 1.46882e-14; counts: 13135
iclh 0.062373 0 0 0 #avg: 2.19231e-15; avg_err: 1.58756e-15; sd: 1.8194e-13; counts: 13135
iclh 0.064623 0 0 0 #avg: 5.36125e-15; avg_err: 3.78416e-15; sd: 4.33679e-13; counts: 13135
iclh 0.066873 0 0 0 #avg: 9.43209e-15; avg_err: 6.19077e-15; sd: 7.09485e-13; counts: 13135
iclh 0.069123 0 0 0 #avg: 1.49659e-14; avg_err: 1.02416e-14; sd: 1.17373e-12; counts: 13135
iclh 0.071373 0 0 0 #avg: 1.53991e-14; avg_err: 1.17218e-14; sd: 1.34336e-12; counts: 13135
iclh 0.073623 0 0 0 #avg: 1.56997e-14; avg_err: 1.12089e-14; sd: 1.28458e-12; counts: 13135
