#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 9.25 - 9.75
#HM   Stats: 3.789710e+11 (median) + 1.586760e+11  / - 1.083830e+11
#SM   Stats: 2.881050e+09 (median) + 1.535670e+09  / - 8.383401e+08
#VMP  Stats: 1.545300e+02 (median) + 1.769000e+01  / - 1.484000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.926739e-09 (median) + 2.724520e-09  / - 1.025972e-09
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 92645
sfh 0.060123 0 0 0 #avg: 4.11257e-14; avg_err: 1.88894e-14; sd: 5.74946e-12; counts: 92645
sfh 0.062373 0 0 0 #avg: 1.49461e-13; avg_err: 3.88726e-14; sd: 1.18318e-11; counts: 92645
sfh 0.064623 0 0 0 #avg: 4.72758e-13; avg_err: 9.50691e-14; sd: 2.89366e-11; counts: 92645
sfh 0.066873 0 0 0 #avg: 1.02319e-12; avg_err: 1.30488e-13; sd: 3.97172e-11; counts: 92645
sfh 0.069123 0 0 0 #avg: 1.70811e-12; avg_err: 1.8203e-13; sd: 5.54055e-11; counts: 92645
sfh 0.071373 0 0 0 #avg: 2.56505e-12; avg_err: 1.77018e-13; sd: 5.38798e-11; counts: 92645
sfh 0.073623 0 0 0 #avg: 4.12945e-12; avg_err: 2.55443e-13; sd: 7.77504e-11; counts: 92645
sfh 0.075873 0 0 0 #avg: 5.82435e-12; avg_err: 2.89736e-13; sd: 8.81884e-11; counts: 92645
sfh 0.078123 0 0 0 #avg: 7.95274e-12; avg_err: 2.66419e-13; sd: 8.10912e-11; counts: 92645
sfh 0.080373 0 0 0 #avg: 1.0917e-11; avg_err: 3.29494e-13; sd: 1.0029e-10; counts: 92645
sfh 0.082623 0 0 0 #avg: 1.27847e-11; avg_err: 3.33583e-13; sd: 1.01534e-10; counts: 92645
sfh 0.085998 0 6.59606e-12 0 #avg: 1.91801e-11; avg_err: 3.97625e-13; sd: 1.21027e-10; counts: 92645
sfh 0.089373 0 1.84707e-11 0 #avg: 2.47723e-11; avg_err: 4.27496e-13; sd: 1.30119e-10; counts: 92645
sfh 0.092748 0 3.28685e-11 0 #avg: 3.06771e-11; avg_err: 5.68093e-13; sd: 1.72913e-10; counts: 92645
sfh 0.096123 0 4.80412e-11 0 #avg: 3.73309e-11; avg_err: 5.17558e-13; sd: 1.57532e-10; counts: 92645
sfh 0.099498 1.58266e-12 5.90109e-11 1.58266e-12 #avg: 4.31879e-11; avg_err: 5.19617e-13; sd: 1.58158e-10; counts: 92645
sfh 0.102873 4.91384e-12 6.74408e-11 4.91384e-12 #avg: 4.98783e-11; avg_err: 6.07227e-13; sd: 1.84825e-10; counts: 92645
sfh 0.106248 8.55158e-12 7.46463e-11 8.55158e-12 #avg: 5.63601e-11; avg_err: 6.44266e-13; sd: 1.96098e-10; counts: 92645
sfh 0.109623 1.24816e-11 8.31327e-11 1.24816e-11 #avg: 6.32798e-11; avg_err: 6.18308e-13; sd: 1.88197e-10; counts: 92645
sfh 0.112998 1.59271e-11 9.08545e-11 1.59271e-11 #avg: 7.14956e-11; avg_err: 7.29501e-13; sd: 2.22042e-10; counts: 92645
sfh 0.116373 1.91258e-11 1.00221e-10 1.90648e-11 #avg: 7.8241e-11; avg_err: 7.0611e-13; sd: 2.14922e-10; counts: 92645
sfh 0.119748 2.25405e-11 1.11249e-10 2.17308e-11 #avg: 8.54594e-11; avg_err: 7.10946e-13; sd: 2.16394e-10; counts: 92645
sfh 0.123123 2.62076e-11 1.22982e-10 2.45451e-11 #avg: 9.38665e-11; avg_err: 7.51199e-13; sd: 2.28646e-10; counts: 92645
sfh 0.126498 3.03666e-11 1.32441e-10 2.77959e-11 #avg: 1.01312e-10; avg_err: 7.90643e-13; sd: 2.40652e-10; counts: 92645
sfh 0.129873 3.49342e-11 1.4538e-10 3.13043e-11 #avg: 1.1012e-10; avg_err: 8.17321e-13; sd: 2.48772e-10; counts: 92645
sfh 0.133248 3.97717e-11 1.58568e-10 3.49866e-11 #avg: 1.19922e-10; avg_err: 8.64085e-13; sd: 2.63006e-10; counts: 92645
sfh 0.136623 4.5104e-11 1.72022e-10 3.9024e-11 #avg: 1.3011e-10; avg_err: 8.83034e-13; sd: 2.68773e-10; counts: 92645
sfh 0.141685 5.37117e-11 1.91124e-10 4.57502e-11 #avg: 1.46385e-10; avg_err: 9.67884e-13; sd: 2.946e-10; counts: 92645
sfh 0.146748 6.28337e-11 2.12536e-10 5.2609e-11 #avg: 1.61421e-10; avg_err: 9.97104e-13; sd: 3.03493e-10; counts: 92645
sfh 0.15181 7.29156e-11 2.34753e-10 6.02113e-11 #avg: 1.78178e-10; avg_err: 1.05987e-12; sd: 3.22598e-10; counts: 92645
sfh 0.156873 8.4116e-11 2.54311e-10 6.87525e-11 #avg: 1.95669e-10; avg_err: 1.11422e-12; sd: 3.39142e-10; counts: 92645
sfh 0.161935 9.68083e-11 2.77132e-10 7.85304e-11 #avg: 2.12628e-10; avg_err: 1.15118e-12; sd: 3.5039e-10; counts: 92645
sfh 0.166998 1.10058e-10 2.98378e-10 8.84484e-11 #avg: 2.30723e-10; avg_err: 1.19112e-12; sd: 3.62545e-10; counts: 92645
