#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 9.25 - 9.75
#HM   Stats: 5.551470e+11 (median) + 3.963240e+11  / - 2.205880e+11
#SM   Stats: 3.337400e+09 (median) + 1.458930e+09  / - 1.159490e+09
#VMP  Stats: 1.873500e+02 (median) + 2.936000e+01  / - 1.823001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.921639e-12 (median) + 5.111554e-12  / - 1.878681e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5108
sfh 0.060123 0 0 0 #avg: 7.99319e-13; avg_err: 3.65982e-13; sd: 2.61543e-11; counts: 5108
sfh 0.062373 0 0 0 #avg: 1.73832e-12; avg_err: 6.46419e-13; sd: 4.61952e-11; counts: 5108
sfh 0.064623 0 0 0 #avg: 4.4063e-12; avg_err: 1.28174e-12; sd: 9.15971e-11; counts: 5108
sfh 0.066873 0 0 0 #avg: 8.05784e-12; avg_err: 1.76015e-12; sd: 1.25786e-10; counts: 5108
sfh 0.069123 0 0 0 #avg: 1.12656e-11; avg_err: 2.1361e-12; sd: 1.52653e-10; counts: 5108
sfh 0.071373 0 0 0 #avg: 1.42611e-11; avg_err: 2.13714e-12; sd: 1.52727e-10; counts: 5108
sfh 0.073623 0 0 0 #avg: 1.88741e-11; avg_err: 2.26542e-12; sd: 1.61895e-10; counts: 5108
sfh 0.075873 0 0 0 #avg: 2.45947e-11; avg_err: 2.68075e-12; sd: 1.91575e-10; counts: 5108
sfh 0.078123 0 3.68859e-12 0 #avg: 3.02879e-11; avg_err: 2.66975e-12; sd: 1.90789e-10; counts: 5108
sfh 0.080373 0 1.30322e-11 0 #avg: 3.82464e-11; avg_err: 3.26342e-12; sd: 2.33215e-10; counts: 5108
sfh 0.082623 0 2.83793e-11 0 #avg: 3.98825e-11; avg_err: 2.76354e-12; sd: 1.97492e-10; counts: 5108
sfh 0.085998 0 5.69873e-11 0 #avg: 5.90785e-11; avg_err: 3.98809e-12; sd: 2.85002e-10; counts: 5108
sfh 0.089373 4.64424e-15 8.19542e-11 4.64424e-15 #avg: 7.34718e-11; avg_err: 4.62962e-12; sd: 3.30848e-10; counts: 5108
sfh 0.092748 3.94206e-12 9.88519e-11 3.94206e-12 #avg: 9.40622e-11; avg_err: 8.4435e-12; sd: 6.034e-10; counts: 5108
sfh 0.096123 1.02827e-11 1.22935e-10 1.02827e-11 #avg: 1.13511e-10; avg_err: 7.56516e-12; sd: 5.40631e-10; counts: 5108
sfh 0.099498 1.70855e-11 1.41348e-10 1.70855e-11 #avg: 1.20504e-10; avg_err: 5.61819e-12; sd: 4.01494e-10; counts: 5108
sfh 0.102873 2.50248e-11 1.69319e-10 2.50248e-11 #avg: 1.35114e-10; avg_err: 5.59194e-12; sd: 3.99618e-10; counts: 5108
sfh 0.106248 3.14569e-11 2.05453e-10 3.13322e-11 #avg: 1.5982e-10; avg_err: 7.9543e-12; sd: 5.6844e-10; counts: 5108
sfh 0.109623 3.86036e-11 2.25317e-10 3.72124e-11 #avg: 1.85962e-10; avg_err: 7.81739e-12; sd: 5.58656e-10; counts: 5108
sfh 0.112998 4.55573e-11 2.61576e-10 4.25055e-11 #avg: 2.125e-10; avg_err: 8.85579e-12; sd: 6.32863e-10; counts: 5108
sfh 0.116373 5.43887e-11 2.87801e-10 4.97595e-11 #avg: 2.26666e-10; avg_err: 7.87942e-12; sd: 5.63089e-10; counts: 5108
sfh 0.119748 6.24709e-11 3.29939e-10 5.63745e-11 #avg: 2.44289e-10; avg_err: 7.98282e-12; sd: 5.70478e-10; counts: 5108
sfh 0.123123 7.45433e-11 3.44509e-10 6.70769e-11 #avg: 2.65363e-10; avg_err: 8.58916e-12; sd: 6.13809e-10; counts: 5108
sfh 0.126498 8.19624e-11 3.83583e-10 7.19616e-11 #avg: 2.79676e-10; avg_err: 8.56739e-12; sd: 6.12254e-10; counts: 5108
sfh 0.129873 9.48671e-11 4.1296e-10 8.28489e-11 #avg: 2.95187e-10; avg_err: 8.30232e-12; sd: 5.93311e-10; counts: 5108
sfh 0.133248 1.05671e-10 4.47686e-10 9.20542e-11 #avg: 3.14924e-10; avg_err: 8.65673e-12; sd: 6.18638e-10; counts: 5108
sfh 0.136623 1.19484e-10 4.74483e-10 1.0373e-10 #avg: 3.36261e-10; avg_err: 8.65227e-12; sd: 6.1832e-10; counts: 5108
sfh 0.141685 1.38398e-10 5.23052e-10 1.19153e-10 #avg: 3.80481e-10; avg_err: 9.97465e-12; sd: 7.12821e-10; counts: 5108
sfh 0.146748 1.64674e-10 5.75917e-10 1.40829e-10 #avg: 4.20931e-10; avg_err: 1.05624e-11; sd: 7.54825e-10; counts: 5108
sfh 0.15181 1.8846e-10 6.4513e-10 1.60477e-10 #avg: 4.66994e-10; avg_err: 1.08558e-11; sd: 7.75792e-10; counts: 5108
sfh 0.156873 2.16593e-10 7.38027e-10 1.82153e-10 #avg: 5.08159e-10; avg_err: 1.117e-11; sd: 7.98244e-10; counts: 5108
sfh 0.161935 2.41132e-10 7.57726e-10 2.02906e-10 #avg: 5.52418e-10; avg_err: 1.21455e-11; sd: 8.67959e-10; counts: 5108
sfh 0.166998 2.67341e-10 7.9254e-10 2.24881e-10 #avg: 5.78524e-10; avg_err: 1.19973e-11; sd: 8.57368e-10; counts: 5108
sfh 0.17206 2.93334e-10 8.39366e-10 2.43119e-10 #avg: 6.13501e-10; avg_err: 1.2446e-11; sd: 8.89435e-10; counts: 5108
sfh 0.177123 3.13039e-10 8.99273e-10 2.59515e-10 #avg: 6.58643e-10; avg_err: 1.304e-11; sd: 9.31881e-10; counts: 5108
sfh 0.182185 3.47408e-10 9.02539e-10 2.8727e-10 #avg: 6.76373e-10; avg_err: 1.2957e-11; sd: 9.25953e-10; counts: 5108
sfh 0.187248 3.72745e-10 9.32047e-10 3.12179e-10 #avg: 6.97153e-10; avg_err: 1.30815e-11; sd: 9.34847e-10; counts: 5108
sfh 0.19231 3.84172e-10 9.58061e-10 3.23031e-10 #avg: 7.11003e-10; avg_err: 1.28115e-11; sd: 9.15549e-10; counts: 5108
sfh 0.197373 4.17023e-10 9.29939e-10 3.51154e-10 #avg: 7.24297e-10; avg_err: 1.29397e-11; sd: 9.24716e-10; counts: 5108
sfh 0.202435 4.28381e-10 9.3114e-10 3.62589e-10 #avg: 7.3012e-10; avg_err: 1.25403e-11; sd: 8.96168e-10; counts: 5108
sfh 0.207498 4.48466e-10 9.41717e-10 3.86008e-10 #avg: 7.46332e-10; avg_err: 1.26868e-11; sd: 9.06637e-10; counts: 5108
sfh 0.21256 4.77983e-10 9.25962e-10 4.18845e-10 #avg: 7.60426e-10; avg_err: 1.28753e-11; sd: 9.20113e-10; counts: 5108
sfh 0.217623 4.98304e-10 9.09292e-10 4.40492e-10 #avg: 7.6411e-10; avg_err: 1.25196e-11; sd: 8.94692e-10; counts: 5108
sfh 0.222685 5.0736e-10 9.17767e-10 4.53397e-10 #avg: 7.61481e-10; avg_err: 1.19983e-11; sd: 8.5744e-10; counts: 5108
sfh 0.227748 5.24598e-10 9.21655e-10 4.84272e-10 #avg: 7.72148e-10; avg_err: 1.20604e-11; sd: 8.61873e-10; counts: 5108
sfh 0.23281 5.18317e-10 9.27864e-10 4.9279e-10 #avg: 7.74402e-10; avg_err: 1.24757e-11; sd: 8.91556e-10; counts: 5108
sfh 0.237873 5.17807e-10 9.22942e-10 5.04965e-10 #avg: 7.68578e-10; avg_err: 1.24261e-11; sd: 8.88007e-10; counts: 5108
sfh 0.242935 5.17977e-10 9.10148e-10 5.11739e-10 #avg: 7.63925e-10; avg_err: 1.25457e-11; sd: 8.96555e-10; counts: 5108
sfh 0.247998 5.06551e-10 9.0841e-10 5.02522e-10 #avg: 7.44685e-10; avg_err: 1.20885e-11; sd: 8.63882e-10; counts: 5108
sfh 0.25306 4.99621e-10 8.47524e-10 4.9702e-10 #avg: 7.21581e-10; avg_err: 1.17398e-11; sd: 8.38961e-10; counts: 5108
sfh 0.258123 4.95546e-10 8.6234e-10 4.933e-10 #avg: 7.11864e-10; avg_err: 1.16193e-11; sd: 8.30351e-10; counts: 5108
sfh 0.263185 4.71008e-10 8.58151e-10 4.69129e-10 #avg: 6.88592e-10; avg_err: 1.14807e-11; sd: 8.20448e-10; counts: 5108
sfh 0.268248 4.5897e-10 8.88393e-10 4.57379e-10 #avg: 6.79865e-10; avg_err: 1.14959e-11; sd: 8.21537e-10; counts: 5108
sfh 0.27331 4.41342e-10 8.8247e-10 4.39913e-10 #avg: 6.69299e-10; avg_err: 1.16803e-11; sd: 8.3471e-10; counts: 5108
sfh 0.278373 4.217e-10 9.11553e-10 4.20504e-10 #avg: 6.57326e-10; avg_err: 1.16469e-11; sd: 8.32325e-10; counts: 5108
sfh 0.283435 3.87367e-10 9.68401e-10 3.86311e-10 #avg: 6.52708e-10; avg_err: 1.2242e-11; sd: 8.7485e-10; counts: 5108
sfh 0.288498 3.23974e-10 1.01944e-09 3.23041e-10 #avg: 6.26961e-10; avg_err: 1.21914e-11; sd: 8.71237e-10; counts: 5108
sfh 0.29356 2.49632e-10 1.0575e-09 2.48776e-10 #avg: 5.95218e-10; avg_err: 1.20381e-11; sd: 8.60282e-10; counts: 5108
sfh 0.298623 1.50131e-10 1.02567e-09 1.49338e-10 #avg: 5.46085e-10; avg_err: 1.185e-11; sd: 8.46842e-10; counts: 5108
sfh 0.303685 1.17593e-11 1.06625e-09 1.10195e-11 #avg: 4.69051e-10; avg_err: 1.03552e-11; sd: 7.40019e-10; counts: 5108
sfh 0.308748 4.51847e-12 8.76808e-10 3.81895e-12 #avg: 3.88343e-10; avg_err: 9.96104e-12; sd: 7.11849e-10; counts: 5108
sfh 0.31381 2.84637e-12 7.20036e-10 2.20735e-12 #avg: 3.2181e-10; avg_err: 8.88943e-12; sd: 6.35268e-10; counts: 5108
sfh 0.318873 2.14048e-12 5.42255e-10 1.54338e-12 #avg: 2.48585e-10; avg_err: 7.8537e-12; sd: 5.61251e-10; counts: 5108
sfh 0.323935 1.76094e-12 3.91082e-10 1.19348e-12 #avg: 1.85149e-10; avg_err: 6.74277e-12; sd: 4.81861e-10; counts: 5108
sfh 0.328997 1.49874e-12 5.81245e-11 9.72092e-13 #avg: 1.10291e-10; avg_err: 5.40503e-12; sd: 3.86261e-10; counts: 5108
sfh 0.33406 1.36893e-12 2.12723e-12 8.66901e-13 #avg: 1.97839e-12; avg_err: 2.6007e-14; sd: 1.85855e-12; counts: 5108
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5108
iclh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5108
iclh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5108
iclh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5108
iclh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5108
iclh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5108
iclh 0.071373 0 0 0 #avg: 3.61437e-14; avg_err: 2.3829e-14; sd: 1.7029e-12; counts: 5108
iclh 0.073623 0 0 0 #avg: 5.74421e-14; avg_err: 4.33255e-14; sd: 3.09618e-12; counts: 5108
iclh 0.075873 0 0 0 #avg: 1.46862e-13; avg_err: 1.09089e-13; sd: 7.79582e-12; counts: 5108
iclh 0.078123 0 0 0 #avg: 1.61248e-13; avg_err: 8.7346e-14; sd: 6.24203e-12; counts: 5108
iclh 0.080373 0 0 0 #avg: 2.42023e-13; avg_err: 1.33207e-13; sd: 9.51938e-12; counts: 5108
iclh 0.082623 0 0 0 #avg: 5.38817e-13; avg_err: 3.59105e-13; sd: 2.56628e-11; counts: 5108
iclh 0.085998 0 0 0 #avg: 9.41086e-13; avg_err: 6.45158e-13; sd: 4.61051e-11; counts: 5108
iclh 0.089373 0 0 0 #avg: 7.49349e-13; avg_err: 3.91646e-13; sd: 2.79883e-11; counts: 5108
iclh 0.092748 0 0 0 #avg: 8.83378e-13; avg_err: 3.58133e-13; sd: 2.55934e-11; counts: 5108
iclh 0.096123 0 0 0 #avg: 8.33083e-13; avg_err: 2.61075e-13; sd: 1.86573e-11; counts: 5108
iclh 0.099498 0 0 0 #avg: 7.84412e-13; avg_err: 2.10984e-13; sd: 1.50776e-11; counts: 5108
iclh 0.102873 0 0 0 #avg: 8.76121e-13; avg_err: 2.55432e-13; sd: 1.8254e-11; counts: 5108
iclh 0.106248 0 0 0 #avg: 1.01328e-12; avg_err: 3.14027e-13; sd: 2.24414e-11; counts: 5108
iclh 0.109623 0 0 0 #avg: 1.30737e-12; avg_err: 3.96888e-13; sd: 2.83629e-11; counts: 5108
iclh 0.112998 0 0 0 #avg: 1.60551e-12; avg_err: 5.25992e-13; sd: 3.75891e-11; counts: 5108
iclh 0.116373 0 0 0 #avg: 1.9361e-12; avg_err: 7.29184e-13; sd: 5.21099e-11; counts: 5108
iclh 0.119748 0 0 0 #avg: 1.68795e-12; avg_err: 4.99761e-13; sd: 3.57146e-11; counts: 5108
iclh 0.123123 0 0 0 #avg: 1.71517e-12; avg_err: 4.56749e-13; sd: 3.26408e-11; counts: 5108
iclh 0.126498 0 0 0 #avg: 1.66994e-12; avg_err: 4.31172e-13; sd: 3.0813e-11; counts: 5108
iclh 0.129873 0 0 0 #avg: 1.56464e-12; avg_err: 3.9991e-13; sd: 2.85789e-11; counts: 5108
iclh 0.133248 0 0 0 #avg: 1.47955e-12; avg_err: 3.59604e-13; sd: 2.56985e-11; counts: 5108
iclh 0.136623 0 0 0 #avg: 1.51831e-12; avg_err: 3.40498e-13; sd: 2.43331e-11; counts: 5108
iclh 0.141685 0 0 0 #avg: 1.68912e-12; avg_err: 4.16491e-13; sd: 2.97638e-11; counts: 5108
iclh 0.146748 0 0 0 #avg: 1.55721e-12; avg_err: 3.75477e-13; sd: 2.68328e-11; counts: 5108
iclh 0.15181 0 0 0 #avg: 1.48828e-12; avg_err: 3.46001e-13; sd: 2.47264e-11; counts: 5108
iclh 0.156873 0 0 0 #avg: 1.31447e-12; avg_err: 2.96869e-13; sd: 2.12153e-11; counts: 5108
iclh 0.161935 0 0 0 #avg: 1.2838e-12; avg_err: 2.71416e-13; sd: 1.93963e-11; counts: 5108
iclh 0.166998 0 0 0 #avg: 1.32274e-12; avg_err: 3.26174e-13; sd: 2.33094e-11; counts: 5108
iclh 0.17206 0 0 0 #avg: 1.23215e-12; avg_err: 3.17036e-13; sd: 2.26564e-11; counts: 5108
iclh 0.177123 0 0 0 #avg: 1.23311e-12; avg_err: 3.11852e-13; sd: 2.2286e-11; counts: 5108
iclh 0.182185 0 0 0 #avg: 1.34902e-12; avg_err: 3.6168e-13; sd: 2.58468e-11; counts: 5108
iclh 0.187248 0 0 0 #avg: 1.40813e-12; avg_err: 4.62638e-13; sd: 3.30616e-11; counts: 5108
iclh 0.19231 0 0 0 #avg: 1.59331e-12; avg_err: 6.30629e-13; sd: 4.50668e-11; counts: 5108
iclh 0.197373 0 0 0 #avg: 1.38733e-12; avg_err: 5.5163e-13; sd: 3.94213e-11; counts: 5108
iclh 0.202435 0 0 0 #avg: 1.54647e-12; avg_err: 6.85035e-13; sd: 4.89548e-11; counts: 5108
iclh 0.207498 0 0 0 #avg: 2.01956e-12; avg_err: 9.4647e-13; sd: 6.76378e-11; counts: 5108
iclh 0.21256 0 0 0 #avg: 1.79952e-12; avg_err: 7.93852e-13; sd: 5.67313e-11; counts: 5108
iclh 0.217623 0 0 0 #avg: 2.20654e-12; avg_err: 1.20218e-12; sd: 8.59118e-11; counts: 5108
iclh 0.222685 0 0 0 #avg: 1.63019e-12; avg_err: 7.68702e-13; sd: 5.4934e-11; counts: 5108
iclh 0.227748 0 0 0 #avg: 1.141e-12; avg_err: 5.42778e-13; sd: 3.87887e-11; counts: 5108
iclh 0.23281 0 0 0 #avg: 1.18867e-12; avg_err: 5.40303e-13; sd: 3.86118e-11; counts: 5108
iclh 0.237873 0 0 0 #avg: 1.10792e-12; avg_err: 4.81708e-13; sd: 3.44244e-11; counts: 5108
iclh 0.242935 0 0 0 #avg: 1.06276e-12; avg_err: 4.94384e-13; sd: 3.53303e-11; counts: 5108
iclh 0.247998 0 0 0 #avg: 9.0239e-13; avg_err: 4.15127e-13; sd: 2.96664e-11; counts: 5108
iclh 0.25306 0 0 0 #avg: 9.10766e-13; avg_err: 4.08035e-13; sd: 2.91595e-11; counts: 5108
iclh 0.258123 0 0 0 #avg: 9.78967e-13; avg_err: 4.84623e-13; sd: 3.46328e-11; counts: 5108
iclh 0.263185 0 0 0 #avg: 9.79717e-13; avg_err: 5.12015e-13; sd: 3.65902e-11; counts: 5108
iclh 0.268248 0 0 0 #avg: 1.15017e-12; avg_err: 6.43457e-13; sd: 4.59836e-11; counts: 5108
iclh 0.27331 0 0 0 #avg: 1.1823e-12; avg_err: 7.65912e-13; sd: 5.47345e-11; counts: 5108
iclh 0.278373 0 0 0 #avg: 1.14191e-12; avg_err: 7.36506e-13; sd: 5.26332e-11; counts: 5108
iclh 0.283435 0 0 0 #avg: 1.12558e-12; avg_err: 7.87917e-13; sd: 5.63071e-11; counts: 5108
iclh 0.288498 0 0 0 #avg: 1.03128e-12; avg_err: 7.37777e-13; sd: 5.27239e-11; counts: 5108
iclh 0.29356 0 0 0 #avg: 9.12887e-13; avg_err: 6.44008e-13; sd: 4.60229e-11; counts: 5108
iclh 0.298623 0 0 0 #avg: 2.48297e-13; avg_err: 8.29673e-14; sd: 5.92911e-12; counts: 5108
