#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#sm range: 9.25 - 9.75
#HM   Stats: 2.705880e+11 (median) + 1.320590e+11  / - 9.602900e+10
#SM   Stats: 2.781150e+09 (median) + 1.531830e+09  / - 7.664900e+08
#VMP  Stats: 1.536100e+02 (median) + 1.559000e+01  / - 1.368001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.291307e-09 (median) + 1.304863e-09  / - 6.538695e-10
sfh 0.055623 0 0 0 #avg: 4.99227e-15; avg_err: 4.32304e-15; sd: 7.96648e-13; counts: 33960
sfh 0.060123 0 0 0 #avg: 1.22192e-13; avg_err: 3.63463e-14; sd: 6.69789e-12; counts: 33960
sfh 0.062373 0 0 0 #avg: 4.96255e-13; avg_err: 1.36499e-13; sd: 2.51539e-11; counts: 33960
sfh 0.064623 0 0 0 #avg: 1.65747e-12; avg_err: 4.95103e-13; sd: 9.12374e-11; counts: 33960
sfh 0.066873 0 0 0 #avg: 2.64937e-12; avg_err: 5.32002e-13; sd: 9.80372e-11; counts: 33960
sfh 0.069123 0 0 0 #avg: 3.81722e-12; avg_err: 4.77777e-13; sd: 8.80447e-11; counts: 33960
sfh 0.071373 0 0 0 #avg: 5.70112e-12; avg_err: 6.81259e-13; sd: 1.25542e-10; counts: 33960
sfh 0.073623 0 0 0 #avg: 7.79121e-12; avg_err: 5.56175e-13; sd: 1.02492e-10; counts: 33960
sfh 0.075873 0 0 0 #avg: 1.11195e-11; avg_err: 6.28586e-13; sd: 1.15836e-10; counts: 33960
sfh 0.078123 0 0 0 #avg: 1.5811e-11; avg_err: 8.96761e-13; sd: 1.65255e-10; counts: 33960
sfh 0.080373 0 0 0 #avg: 1.98679e-11; avg_err: 8.78059e-13; sd: 1.61808e-10; counts: 33960
sfh 0.082623 0 4.85251e-12 0 #avg: 2.18114e-11; avg_err: 8.10212e-13; sd: 1.49306e-10; counts: 33960
sfh 0.085998 0 1.85318e-11 0 #avg: 3.11942e-11; avg_err: 9.57734e-13; sd: 1.76491e-10; counts: 33960
