#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 1.78333 - 1.95
#HM   Stats: 2.802940e+10 (median) + 1.914710e+10  / - 1.048530e+10
#SM   Stats: 1.869840e+07 (median) + 3.115260e+07  / - 1.129532e+07
#VMP  Stats: 6.889000e+01 (median) + 1.073000e+01  / - 5.970001e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.439238e-09 (median) + 2.215049e-09  / - 7.688966e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2818560
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2818560
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2818560
sfh 0.064623 0 0 0 #avg: 5.4616e-16; avg_err: 4.11981e-16; sd: 6.91656e-13; counts: 2818560
sfh 0.066873 0 0 0 #avg: 1.17848e-15; avg_err: 8.2418e-16; sd: 1.38368e-12; counts: 2818560
sfh 0.069123 0 0 0 #avg: 4.72719e-15; avg_err: 1.77048e-15; sd: 2.97239e-12; counts: 2818560
sfh 0.071373 0 0 0 #avg: 1.19044e-14; avg_err: 3.27231e-15; sd: 5.49374e-12; counts: 2818560
sfh 0.073623 0 0 0 #avg: 2.28077e-14; avg_err: 4.57096e-15; sd: 7.67399e-12; counts: 2818560
sfh 0.075873 0 0 0 #avg: 5.09535e-14; avg_err: 8.00211e-15; sd: 1.34344e-11; counts: 2818560
sfh 0.078123 0 0 0 #avg: 1.09762e-13; avg_err: 1.06126e-14; sd: 1.7817e-11; counts: 2818560
sfh 0.080373 0 0 0 #avg: 2.45509e-13; avg_err: 1.72527e-14; sd: 2.89648e-11; counts: 2818560
sfh 0.082623 0 0 0 #avg: 4.55045e-13; avg_err: 2.10443e-14; sd: 3.53304e-11; counts: 2818560
sfh 0.085998 0 0 0 #avg: 1.13675e-12; avg_err: 3.33945e-14; sd: 5.60646e-11; counts: 2818560
sfh 0.089373 0 0 0 #avg: 2.38227e-12; avg_err: 4.73933e-14; sd: 7.95665e-11; counts: 2818560
sfh 0.092748 0 0 0 #avg: 4.63568e-12; avg_err: 6.2801e-14; sd: 1.05434e-10; counts: 2818560
sfh 0.096123 0 0 0 #avg: 8.03637e-12; avg_err: 8.14531e-14; sd: 1.36748e-10; counts: 2818560
sfh 0.099498 0 0 0 #avg: 1.32751e-11; avg_err: 1.03432e-13; sd: 1.73647e-10; counts: 2818560
sfh 0.102873 0 0 0 #avg: 2.06741e-11; avg_err: 1.2783e-13; sd: 2.14608e-10; counts: 2818560
sfh 0.106248 0 0 0 #avg: 3.04442e-11; avg_err: 1.53395e-13; sd: 2.57528e-10; counts: 2818560
sfh 0.109623 0 0 0 #avg: 4.2178e-11; avg_err: 1.7905e-13; sd: 3.00599e-10; counts: 2818560
sfh 0.112998 0 0 0 #avg: 5.44298e-11; avg_err: 1.96716e-13; sd: 3.30258e-10; counts: 2818560
sfh 0.116373 0 0 0 #avg: 6.53479e-11; avg_err: 2.03494e-13; sd: 3.41636e-10; counts: 2818560
sfh 0.119748 0 2.34667e-11 0 #avg: 7.62706e-11; avg_err: 2.0738e-13; sd: 3.48161e-10; counts: 2818560
sfh 0.123123 0 6.47218e-11 0 #avg: 8.85418e-11; avg_err: 2.15472e-13; sd: 3.61746e-10; counts: 2818560
sfh 0.126498 0 1.08696e-10 0 #avg: 1.03396e-10; avg_err: 2.30944e-13; sd: 3.87722e-10; counts: 2818560
sfh 0.129873 0 1.57184e-10 0 #avg: 1.2088e-10; avg_err: 2.5059e-13; sd: 4.20704e-10; counts: 2818560
sfh 0.133248 0 2.08958e-10 0 #avg: 1.40365e-10; avg_err: 2.67217e-13; sd: 4.48619e-10; counts: 2818560
sfh 0.136623 0 2.60869e-10 0 #avg: 1.60651e-10; avg_err: 2.83012e-13; sd: 4.75137e-10; counts: 2818560
sfh 0.141685 0 3.38127e-10 0 #avg: 1.94242e-10; avg_err: 3.10625e-13; sd: 5.21495e-10; counts: 2818560
sfh 0.146748 9.01794e-12 4.08823e-10 9.01794e-12 #avg: 2.29224e-10; avg_err: 3.34912e-13; sd: 5.62269e-10; counts: 2818560
sfh 0.15181 3.19209e-11 4.63237e-10 3.19209e-11 #avg: 2.65695e-10; avg_err: 3.56835e-13; sd: 5.99075e-10; counts: 2818560
sfh 0.156873 6.07961e-11 5.07744e-10 6.07961e-11 #avg: 3.0329e-10; avg_err: 3.79814e-13; sd: 6.37654e-10; counts: 2818560
sfh 0.161935 9.44604e-11 5.35056e-10 9.44604e-11 #avg: 3.37251e-10; avg_err: 3.97001e-13; sd: 6.66507e-10; counts: 2818560
sfh 0.166998 1.29671e-10 5.61978e-10 1.29671e-10 #avg: 3.71299e-10; avg_err: 4.08688e-13; sd: 6.86129e-10; counts: 2818560
sfh 0.17206 1.62609e-10 5.66215e-10 1.62609e-10 #avg: 3.93671e-10; avg_err: 4.07567e-13; sd: 6.84246e-10; counts: 2818560
sfh 0.177123 1.90066e-10 5.602e-10 1.90066e-10 #avg: 4.08315e-10; avg_err: 3.9899e-13; sd: 6.69848e-10; counts: 2818560
sfh 0.182185 2.15785e-10 5.55853e-10 2.15733e-10 #avg: 4.2268e-10; avg_err: 3.89028e-13; sd: 6.53123e-10; counts: 2818560
sfh 0.187248 2.36263e-10 5.62026e-10 2.2863e-10 #avg: 4.39644e-10; avg_err: 3.87416e-13; sd: 6.50416e-10; counts: 2818560
sfh 0.19231 2.55557e-10 5.59446e-10 2.37285e-10 #avg: 4.56005e-10; avg_err: 3.92796e-13; sd: 6.59448e-10; counts: 2818560
sfh 0.197373 2.74896e-10 5.55452e-10 2.44512e-10 #avg: 4.69585e-10; avg_err: 3.89991e-13; sd: 6.54738e-10; counts: 2818560
sfh 0.202435 2.933e-10 5.56026e-10 2.50046e-10 #avg: 4.85673e-10; avg_err: 3.90989e-13; sd: 6.56415e-10; counts: 2818560
sfh 0.207498 3.12158e-10 5.56166e-10 2.55259e-10 #avg: 5.01351e-10; avg_err: 3.8974e-13; sd: 6.54318e-10; counts: 2818560
sfh 0.21256 3.30406e-10 5.55543e-10 2.59214e-10 #avg: 5.16336e-10; avg_err: 3.87964e-13; sd: 6.51335e-10; counts: 2818560
sfh 0.217623 3.48281e-10 5.56751e-10 2.62139e-10 #avg: 5.32067e-10; avg_err: 3.87218e-13; sd: 6.50084e-10; counts: 2818560
sfh 0.222685 3.60223e-10 5.42775e-10 2.61146e-10 #avg: 5.34824e-10; avg_err: 3.73215e-13; sd: 6.26575e-10; counts: 2818560
sfh 0.227748 3.7308e-10 5.35709e-10 2.61467e-10 #avg: 5.42699e-10; avg_err: 3.66775e-13; sd: 6.15762e-10; counts: 2818560
sfh 0.23281 3.83916e-10 5.49598e-10 2.62309e-10 #avg: 5.56432e-10; avg_err: 3.68774e-13; sd: 6.19119e-10; counts: 2818560
sfh 0.237873 3.97456e-10 5.46706e-10 2.62988e-10 #avg: 5.68282e-10; avg_err: 3.68171e-13; sd: 6.18106e-10; counts: 2818560
sfh 0.242935 4.10555e-10 5.47152e-10 2.6281e-10 #avg: 5.82309e-10; avg_err: 3.71926e-13; sd: 6.2441e-10; counts: 2818560
sfh 0.247998 4.28124e-10 5.53083e-10 2.67849e-10 #avg: 6.00656e-10; avg_err: 3.75101e-13; sd: 6.2974e-10; counts: 2818560
sfh 0.25306 4.40712e-10 5.59126e-10 2.66624e-10 #avg: 6.14749e-10; avg_err: 3.75824e-13; sd: 6.30954e-10; counts: 2818560
