#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 1.95 - 2.11667
#HM   Stats: 1.048240e+11 (median) + 4.605800e+10  / - 3.986810e+10
#SM   Stats: 1.840650e+08 (median) + 2.119600e+08  / - 1.109298e+08
#VMP  Stats: 1.193500e+02 (median) + 8.220001e+00  / - 1.423000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 3.471285e-12 (median) + 5.617218e-12  / - 1.958909e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1197
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1197
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1197
sfh 0.064623 0 0 0 #avg: 6.44275e-13; avg_err: 4.6682e-13; sd: 1.61441e-11; counts: 1197
sfh 0.066873 0 0 0 #avg: 1.89485e-12; avg_err: 1.62247e-12; sd: 5.61103e-11; counts: 1197
sfh 0.069123 0 0 0 #avg: 1.32262e-11; avg_err: 1.26303e-11; sd: 4.36796e-10; counts: 1197
sfh 0.071373 0 0 0 #avg: 1.05993e-11; avg_err: 9.09105e-12; sd: 3.14398e-10; counts: 1197
sfh 0.073623 0 0 0 #avg: 8.50825e-12; avg_err: 4.52982e-12; sd: 1.56656e-10; counts: 1197
sfh 0.075873 0 0 0 #avg: 1.00109e-11; avg_err: 3.30554e-12; sd: 1.14316e-10; counts: 1197
sfh 0.078123 0 0 0 #avg: 1.66721e-11; avg_err: 5.03029e-12; sd: 1.73964e-10; counts: 1197
sfh 0.080373 0 0 0 #avg: 3.31763e-11; avg_err: 8.70872e-12; sd: 3.01176e-10; counts: 1197
sfh 0.082623 0 0 0 #avg: 6.64725e-11; avg_err: 2.25394e-11; sd: 7.79485e-10; counts: 1197
sfh 0.085998 0 0 0 #avg: 9.22566e-11; avg_err: 1.93235e-11; sd: 6.68269e-10; counts: 1197
sfh 0.089373 0 1.87949e-11 0 #avg: 1.07166e-10; avg_err: 1.64512e-11; sd: 5.68937e-10; counts: 1197
sfh 0.092748 0 1.01031e-10 0 #avg: 1.31091e-10; avg_err: 1.43243e-11; sd: 4.95382e-10; counts: 1197
sfh 0.096123 0 1.71252e-10 0 #avg: 1.61131e-10; avg_err: 1.64193e-11; sd: 5.67834e-10; counts: 1197
sfh 0.099498 0 2.76367e-10 0 #avg: 1.73191e-10; avg_err: 1.50708e-11; sd: 5.21199e-10; counts: 1197
sfh 0.102873 0 3.38309e-10 0 #avg: 2.07773e-10; avg_err: 1.88259e-11; sd: 6.5106e-10; counts: 1197
sfh 0.106248 6.24746e-12 3.73029e-10 6.24746e-12 #avg: 2.32685e-10; avg_err: 2.02933e-11; sd: 7.01808e-10; counts: 1197
sfh 0.109623 2.91352e-11 3.99288e-10 2.91352e-11 #avg: 2.63129e-10; avg_err: 2.10218e-11; sd: 7.27001e-10; counts: 1197
sfh 0.112998 4.81523e-11 4.3036e-10 4.81523e-11 #avg: 2.85688e-10; avg_err: 1.9386e-11; sd: 6.7043e-10; counts: 1197
sfh 0.116373 7.52515e-11 4.53038e-10 7.52515e-11 #avg: 3.03839e-10; avg_err: 1.89436e-11; sd: 6.55132e-10; counts: 1197
sfh 0.119748 1.07161e-10 5.09176e-10 1.07161e-10 #avg: 3.51539e-10; avg_err: 2.14498e-11; sd: 7.41803e-10; counts: 1197
sfh 0.123123 1.24045e-10 5.23463e-10 1.24045e-10 #avg: 3.77964e-10; avg_err: 2.21721e-11; sd: 7.66783e-10; counts: 1197
sfh 0.126498 1.43967e-10 5.80438e-10 1.43967e-10 #avg: 3.989e-10; avg_err: 2.17353e-11; sd: 7.51678e-10; counts: 1197
sfh 0.129873 1.6018e-10 6.2749e-10 1.60109e-10 #avg: 4.56109e-10; avg_err: 2.48597e-11; sd: 8.59728e-10; counts: 1197
sfh 0.133248 1.92793e-10 6.54142e-10 1.88739e-10 #avg: 4.71527e-10; avg_err: 2.33276e-11; sd: 8.06743e-10; counts: 1197
sfh 0.136623 2.17715e-10 6.65237e-10 2.06793e-10 #avg: 5.01034e-10; avg_err: 2.39737e-11; sd: 8.2909e-10; counts: 1197
sfh 0.141685 2.65145e-10 7.47876e-10 2.43838e-10 #avg: 5.62816e-10; avg_err: 2.72087e-11; sd: 9.40964e-10; counts: 1197
sfh 0.146748 2.86916e-10 8.20871e-10 2.51593e-10 #avg: 5.71639e-10; avg_err: 2.30808e-11; sd: 7.98208e-10; counts: 1197
sfh 0.15181 3.27698e-10 8.32191e-10 2.84812e-10 #avg: 6.15783e-10; avg_err: 2.36473e-11; sd: 8.17799e-10; counts: 1197
sfh 0.156873 3.63624e-10 8.61845e-10 3.07486e-10 #avg: 6.61979e-10; avg_err: 2.51146e-11; sd: 8.68544e-10; counts: 1197
sfh 0.161935 3.93238e-10 9.29699e-10 3.3245e-10 #avg: 6.84544e-10; avg_err: 2.37887e-11; sd: 8.2269e-10; counts: 1197
sfh 0.166998 4.3663e-10 1.00387e-09 3.58334e-10 #avg: 7.61252e-10; avg_err: 2.70453e-11; sd: 9.35313e-10; counts: 1197
sfh 0.17206 5.07965e-10 8.94177e-10 4.17952e-10 #avg: 7.7824e-10; avg_err: 2.6414e-11; sd: 9.13483e-10; counts: 1197
sfh 0.177123 5.57112e-10 9.52646e-10 4.55243e-10 #avg: 8.13799e-10; avg_err: 2.6028e-11; sd: 9.00131e-10; counts: 1197
sfh 0.182185 5.88483e-10 9.38614e-10 4.68459e-10 #avg: 8.41086e-10; avg_err: 2.60025e-11; sd: 8.99251e-10; counts: 1197
