#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 2.11667 - 2.28333
#HM   Stats: 3.463240e+11 (median) + 1.958820e+11  / - 9.426502e+10
#SM   Stats: 2.173990e+09 (median) + 3.619660e+09  / - 1.225607e+09
#VMP  Stats: 1.498200e+02 (median) + 2.350999e+01  / - 1.407001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.141870e-09 (median) + 3.080658e-09  / - 1.131390e-09
sfh 0.055623 0 0 0 #avg: 1.48846e-16; avg_err: 1.48846e-16; sd: 6.68103e-14; counts: 201473
sfh 0.060123 0 0 0 #avg: 1.50263e-14; avg_err: 3.77757e-15; sd: 1.69558e-12; counts: 201473
sfh 0.062373 0 0 0 #avg: 1.05072e-13; avg_err: 2.49192e-14; sd: 1.11852e-11; counts: 201473
sfh 0.064623 0 0 0 #avg: 3.40353e-13; avg_err: 6.43657e-14; sd: 2.8891e-11; counts: 201473
sfh 0.066873 0 0 0 #avg: 6.60989e-13; avg_err: 6.09979e-14; sd: 2.73793e-11; counts: 201473
sfh 0.069123 0 0 0 #avg: 1.21829e-12; avg_err: 9.49052e-14; sd: 4.25988e-11; counts: 201473
sfh 0.071373 0 0 0 #avg: 1.9861e-12; avg_err: 1.05639e-13; sd: 4.74167e-11; counts: 201473
sfh 0.073623 0 0 0 #avg: 3.20421e-12; avg_err: 1.45527e-13; sd: 6.53205e-11; counts: 201473
sfh 0.075873 0 0 0 #avg: 4.73147e-12; avg_err: 1.79758e-13; sd: 8.06856e-11; counts: 201473
sfh 0.078123 0 0 0 #avg: 6.70775e-12; avg_err: 1.73601e-13; sd: 7.79217e-11; counts: 201473
sfh 0.080373 0 0 0 #avg: 9.23126e-12; avg_err: 2.018e-13; sd: 9.05794e-11; counts: 201473
sfh 0.082623 0 0 0 #avg: 1.12286e-11; avg_err: 2.07579e-13; sd: 9.31733e-11; counts: 201473
sfh 0.085998 0 3.43927e-12 0 #avg: 1.76947e-11; avg_err: 2.77095e-13; sd: 1.24376e-10; counts: 201473
sfh 0.089373 0 1.30708e-11 0 #avg: 2.34876e-11; avg_err: 3.06e-13; sd: 1.3735e-10; counts: 201473
sfh 0.092748 0 2.6734e-11 0 #avg: 2.94236e-11; avg_err: 3.13081e-13; sd: 1.40528e-10; counts: 201473
sfh 0.096123 0 4.19274e-11 0 #avg: 3.61166e-11; avg_err: 3.26649e-13; sd: 1.46619e-10; counts: 201473
sfh 0.099498 3.85866e-13 5.63231e-11 3.85866e-13 #avg: 4.26885e-11; avg_err: 3.54648e-13; sd: 1.59186e-10; counts: 201473
sfh 0.102873 3.04582e-12 6.73361e-11 3.04582e-12 #avg: 4.96362e-11; avg_err: 3.93273e-13; sd: 1.76523e-10; counts: 201473
sfh 0.106248 6.64144e-12 7.67555e-11 6.64144e-12 #avg: 5.61434e-11; avg_err: 3.85707e-13; sd: 1.73127e-10; counts: 201473
sfh 0.109623 1.05303e-11 8.57322e-11 1.05303e-11 #avg: 6.32729e-11; avg_err: 4.03669e-13; sd: 1.81189e-10; counts: 201473
sfh 0.112998 1.43124e-11 9.46824e-11 1.43124e-11 #avg: 7.01728e-11; avg_err: 4.36873e-13; sd: 1.96093e-10; counts: 201473
sfh 0.116373 1.78176e-11 1.03584e-10 1.78176e-11 #avg: 7.6851e-11; avg_err: 4.49598e-13; sd: 2.01805e-10; counts: 201473
sfh 0.119748 2.15487e-11 1.12807e-10 2.13699e-11 #avg: 8.38628e-11; avg_err: 4.55193e-13; sd: 2.04316e-10; counts: 201473
sfh 0.123123 2.5472e-11 1.24325e-10 2.45286e-11 #avg: 9.18506e-11; avg_err: 4.79038e-13; sd: 2.15019e-10; counts: 201473
sfh 0.126498 2.9821e-11 1.33581e-10 2.79534e-11 #avg: 9.92283e-11; avg_err: 4.97541e-13; sd: 2.23324e-10; counts: 201473
sfh 0.129873 3.44967e-11 1.46161e-10 3.16067e-11 #avg: 1.08274e-10; avg_err: 5.2571e-13; sd: 2.35968e-10; counts: 201473
sfh 0.133248 3.97409e-11 1.5764e-10 3.56783e-11 #avg: 1.17437e-10; avg_err: 5.49435e-13; sd: 2.46618e-10; counts: 201473
sfh 0.136623 4.50403e-11 1.70463e-10 3.9696e-11 #avg: 1.27231e-10; avg_err: 5.70905e-13; sd: 2.56254e-10; counts: 201473
sfh 0.141685 5.34826e-11 1.89207e-10 4.62277e-11 #avg: 1.42381e-10; avg_err: 6.13764e-13; sd: 2.75492e-10; counts: 201473
sfh 0.146748 6.2842e-11 2.0871e-10 5.3187e-11 #avg: 1.57309e-10; avg_err: 6.39691e-13; sd: 2.87129e-10; counts: 201473
sfh 0.15181 7.2616e-11 2.2819e-10 6.04551e-11 #avg: 1.72996e-10; avg_err: 6.76948e-13; sd: 3.03852e-10; counts: 201473
sfh 0.156873 8.40458e-11 2.47661e-10 6.91564e-11 #avg: 1.88913e-10; avg_err: 7.01898e-13; sd: 3.15051e-10; counts: 201473
sfh 0.161935 9.59785e-11 2.67764e-10 7.80656e-11 #avg: 2.0572e-10; avg_err: 7.29155e-13; sd: 3.27286e-10; counts: 201473
sfh 0.166998 1.08311e-10 2.89675e-10 8.7027e-11 #avg: 2.23415e-10; avg_err: 7.64674e-13; sd: 3.43229e-10; counts: 201473
sfh 0.17206 1.21192e-10 3.05912e-10 9.65646e-11 #avg: 2.39409e-10; avg_err: 7.84201e-13; sd: 3.51993e-10; counts: 201473
sfh 0.177123 1.35359e-10 3.22711e-10 1.06558e-10 #avg: 2.5619e-10; avg_err: 8.04421e-13; sd: 3.6107e-10; counts: 201473
sfh 0.182185 1.51353e-10 3.38795e-10 1.17724e-10 #avg: 2.73685e-10; avg_err: 8.22554e-13; sd: 3.69209e-10; counts: 201473
sfh 0.187248 1.65096e-10 3.54652e-10 1.27004e-10 #avg: 2.91288e-10; avg_err: 8.50199e-13; sd: 3.81617e-10; counts: 201473
sfh 0.19231 1.80326e-10 3.69459e-10 1.36749e-10 #avg: 3.09591e-10; avg_err: 8.84749e-13; sd: 3.97125e-10; counts: 201473
sfh 0.197373 1.97306e-10 3.85547e-10 1.47755e-10 #avg: 3.27874e-10; avg_err: 9.02694e-13; sd: 4.0518e-10; counts: 201473
sfh 0.202435 2.15353e-10 3.97208e-10 1.59566e-10 #avg: 3.47407e-10; avg_err: 9.30592e-13; sd: 4.17702e-10; counts: 201473
sfh 0.207498 2.34228e-10 4.1244e-10 1.71315e-10 #avg: 3.67619e-10; avg_err: 9.46772e-13; sd: 4.24965e-10; counts: 201473
sfh 0.21256 2.54571e-10 4.27201e-10 1.84002e-10 #avg: 3.87659e-10; avg_err: 9.69383e-13; sd: 4.35113e-10; counts: 201473
sfh 0.217623 2.73757e-10 4.42829e-10 1.95231e-10 #avg: 4.08414e-10; avg_err: 9.90854e-13; sd: 4.44751e-10; counts: 201473
sfh 0.222685 2.94099e-10 4.53098e-10 2.06289e-10 #avg: 4.28557e-10; avg_err: 1.0034e-12; sd: 4.50381e-10; counts: 201473
sfh 0.227748 3.15216e-10 4.62473e-10 2.17196e-10 #avg: 4.4873e-10; avg_err: 1.0131e-12; sd: 4.54738e-10; counts: 201473
sfh 0.23281 3.35188e-10 4.79569e-10 2.26959e-10 #avg: 4.70924e-10; avg_err: 1.03885e-12; sd: 4.66294e-10; counts: 201473
sfh 0.237873 3.58069e-10 4.89497e-10 2.3801e-10 #avg: 4.94823e-10; avg_err: 1.06604e-12; sd: 4.785e-10; counts: 201473
sfh 0.242935 3.82715e-10 5.04873e-10 2.49239e-10 #avg: 5.20697e-10; avg_err: 1.09104e-12; sd: 4.89722e-10; counts: 201473
sfh 0.247998 4.04262e-10 5.13207e-10 2.56962e-10 #avg: 5.43065e-10; avg_err: 1.11216e-12; sd: 4.99201e-10; counts: 201473
sfh 0.25306 4.29236e-10 5.28791e-10 2.65128e-10 #avg: 5.70581e-10; avg_err: 1.13727e-12; sd: 5.10471e-10; counts: 201473
sfh 0.258123 4.54923e-10 5.36174e-10 2.73709e-10 #avg: 5.95158e-10; avg_err: 1.15056e-12; sd: 5.16437e-10; counts: 201473
sfh 0.263185 4.79728e-10 5.56648e-10 2.79852e-10 #avg: 6.22597e-10; avg_err: 1.16834e-12; sd: 5.24416e-10; counts: 201473
sfh 0.268248 5.07945e-10 5.65775e-10 2.85955e-10 #avg: 6.52805e-10; avg_err: 1.19611e-12; sd: 5.36884e-10; counts: 201473
sfh 0.27331 5.32727e-10 5.7746e-10 2.89317e-10 #avg: 6.79976e-10; avg_err: 1.21007e-12; sd: 5.43149e-10; counts: 201473
