#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 2.28333 - 2.45
#HM   Stats: 1.042350e+12 (median) + 5.929400e+11  / - 2.910260e+11
#SM   Stats: 2.188610e+10 (median) + 3.233320e+10  / - 1.283172e+10
#VMP  Stats: 2.181600e+02 (median) + 3.389000e+01  / - 1.942000e+01
#ICL  Stats: 1.242220e+08 (median) + 4.016560e+08  / - 1.027622e+08
#SSFR Stats: 2.296156e-09 (median) + 3.810132e-09  / - 2.287653e-09
sfh 0.055623 0 0 0 #avg: 3.50172e-15; avg_err: 1.39094e-15; sd: 3.68379e-13; counts: 70142
sfh 0.060123 0 0 0 #avg: 1.77603e-13; avg_err: 3.63977e-14; sd: 9.63963e-12; counts: 70142
sfh 0.062373 0 0 0 #avg: 4.14024e-13; avg_err: 7.09097e-14; sd: 1.87798e-11; counts: 70142
sfh 0.064623 0 0 0 #avg: 8.82569e-13; avg_err: 1.35416e-13; sd: 3.58638e-11; counts: 70142
sfh 0.066873 0 0 0 #avg: 1.55467e-12; avg_err: 1.83327e-13; sd: 4.85525e-11; counts: 70142
sfh 0.069123 0 0 0 #avg: 2.2403e-12; avg_err: 1.69997e-13; sd: 4.50222e-11; counts: 70142
sfh 0.071373 0 0 0 #avg: 3.18891e-12; avg_err: 1.73261e-13; sd: 4.58868e-11; counts: 70142
sfh 0.073623 0 0 0 #avg: 4.75923e-12; avg_err: 2.43323e-13; sd: 6.4442e-11; counts: 70142
sfh 0.075873 0 3.36722e-13 0 #avg: 6.43006e-12; avg_err: 2.42446e-13; sd: 6.42097e-11; counts: 70142
sfh 0.078123 0 1.83557e-12 0 #avg: 8.3603e-12; avg_err: 2.70106e-13; sd: 7.15352e-11; counts: 70142
sfh 0.080373 0 4.4949e-12 0 #avg: 1.01907e-11; avg_err: 3.27327e-13; sd: 8.66898e-11; counts: 70142
sfh 0.082623 0 7.47614e-12 0 #avg: 1.058e-11; avg_err: 2.93609e-13; sd: 7.77598e-11; counts: 70142
sfh 0.085998 0 1.32298e-11 0 #avg: 1.48315e-11; avg_err: 2.98627e-13; sd: 7.90888e-11; counts: 70142
sfh 0.089373 3.88226e-13 1.88246e-11 3.88226e-13 #avg: 1.85908e-11; avg_err: 3.71569e-13; sd: 9.84069e-11; counts: 70142
sfh 0.092748 1.4008e-12 2.37901e-11 1.4008e-12 #avg: 2.26538e-11; avg_err: 3.98234e-13; sd: 1.05469e-10; counts: 70142
sfh 0.096123 2.72781e-12 2.9317e-11 2.72781e-12 #avg: 2.74851e-11; avg_err: 4.91887e-13; sd: 1.30272e-10; counts: 70142
sfh 0.099498 4.21148e-12 3.35079e-11 4.21148e-12 #avg: 3.14917e-11; avg_err: 4.845e-13; sd: 1.28316e-10; counts: 70142
sfh 0.102873 5.7845e-12 3.95816e-11 5.78443e-12 #avg: 3.69261e-11; avg_err: 5.58904e-13; sd: 1.48021e-10; counts: 70142
sfh 0.106248 7.35012e-12 4.61591e-11 7.12204e-12 #avg: 4.33322e-11; avg_err: 8.05296e-13; sd: 2.13276e-10; counts: 70142
sfh 0.109623 9.00709e-12 5.40254e-11 8.4636e-12 #avg: 4.95272e-11; avg_err: 7.74368e-13; sd: 2.05085e-10; counts: 70142
