#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final z=0 stellar mass
#vmpeak range: 2.61667 - 2.78333
#HM   Stats: 8.426470e+12 (median) + 3.958831e+12  / - 2.627940e+12
#SM   Stats: 1.262930e+11 (median) + 1.074700e+11  / - 7.439850e+10
#VMP  Stats: 4.627500e+02 (median) + 4.801999e+01  / - 3.748001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 1.616679e-12 (median) + 2.849800e-12  / - 1.009760e-12
sfh 0.055623 0 0 0 #avg: 3.33637e-15; avg_err: 3.33637e-15; sd: 4.95987e-14; counts: 222
sfh 0.060123 0 0 0 #avg: 6.79336e-13; avg_err: 2.76999e-13; sd: 4.11789e-12; counts: 222
sfh 0.062373 0 0 0 #avg: 2.21095e-12; avg_err: 9.34146e-13; sd: 1.38871e-11; counts: 222
sfh 0.064623 0 4.43356e-14 0 #avg: 7.95705e-12; avg_err: 4.27972e-12; sd: 6.36227e-11; counts: 222
sfh 0.066873 0 1.40244e-12 0 #avg: 6.37052e-12; avg_err: 3.35177e-12; sd: 4.98277e-11; counts: 222
sfh 0.069123 0 3.51413e-12 0 #avg: 1.09466e-11; avg_err: 5.163e-12; sd: 7.67535e-11; counts: 222
sfh 0.071373 0 6.57281e-12 0 #avg: 1.4215e-11; avg_err: 6.27139e-12; sd: 9.32309e-11; counts: 222
sfh 0.073623 2.02798e-14 8.7401e-12 2.02798e-14 #avg: 1.27912e-11; avg_err: 3.71248e-12; sd: 5.51899e-11; counts: 222
sfh 0.075873 3.17091e-13 1.61258e-11 3.17091e-13 #avg: 1.42444e-11; avg_err: 3.19712e-12; sd: 4.75286e-11; counts: 222
sfh 0.078123 1.10173e-12 1.9764e-11 1.10173e-12 #avg: 1.67181e-11; avg_err: 3.31586e-12; sd: 4.92938e-11; counts: 222
sfh 0.080373 2.14318e-12 2.33064e-11 2.14318e-12 #avg: 2.22191e-11; avg_err: 5.30747e-12; sd: 7.89012e-11; counts: 222
sfh 0.082623 3.19399e-12 2.69647e-11 3.19399e-12 #avg: 2.42492e-11; avg_err: 5.93829e-12; sd: 8.8279e-11; counts: 222
sfh 0.085998 5.5121e-12 4.73632e-11 5.30499e-12 #avg: 4.22717e-11; avg_err: 1.42135e-11; sd: 2.11299e-10; counts: 222
sfh 0.089373 8.0784e-12 5.95583e-11 7.57497e-12 #avg: 6.3795e-11; avg_err: 2.18847e-11; sd: 3.2534e-10; counts: 222
sfh 0.092748 9.67296e-12 6.75544e-11 8.64998e-12 #avg: 1.00079e-10; avg_err: 3.46923e-11; sd: 5.15738e-10; counts: 222
sfh 0.096123 1.39813e-11 9.82275e-11 1.2457e-11 #avg: 1.31898e-10; avg_err: 3.55626e-11; sd: 5.28676e-10; counts: 222
sfh 0.099498 1.66845e-11 1.01586e-10 1.45258e-11 #avg: 1.28297e-10; avg_err: 3.70433e-11; sd: 5.50688e-10; counts: 222
sfh 0.102873 1.99236e-11 1.36998e-10 1.73216e-11 #avg: 1.54237e-10; avg_err: 4.63974e-11; sd: 6.89747e-10; counts: 222
sfh 0.106248 2.92902e-11 1.49902e-10 2.60957e-11 #avg: 1.66937e-10; avg_err: 4.14928e-11; sd: 6.16835e-10; counts: 222
sfh 0.109623 3.71108e-11 1.68667e-10 3.26568e-11 #avg: 1.64799e-10; avg_err: 3.61879e-11; sd: 5.37972e-10; counts: 222
sfh 0.112998 4.05417e-11 2.19674e-10 3.45677e-11 #avg: 1.82503e-10; avg_err: 3.43269e-11; sd: 5.10306e-10; counts: 222
sfh 0.116373 4.84555e-11 2.48537e-10 4.11241e-11 #avg: 1.98224e-10; avg_err: 3.03505e-11; sd: 4.51192e-10; counts: 222
sfh 0.119748 6.7587e-11 2.72582e-10 5.82769e-11 #avg: 2.52244e-10; avg_err: 4.54013e-11; sd: 6.74939e-10; counts: 222
sfh 0.123123 6.79852e-11 4.10107e-10 5.52465e-11 #avg: 3.25002e-10; avg_err: 4.78709e-11; sd: 7.11652e-10; counts: 222
sfh 0.126498 7.44226e-11 4.02057e-10 6.11764e-11 #avg: 3.5584e-10; avg_err: 5.32509e-11; sd: 7.91632e-10; counts: 222
sfh 0.129873 8.96083e-11 4.8694e-10 7.36839e-11 #avg: 3.68062e-10; avg_err: 5.24344e-11; sd: 7.79493e-10; counts: 222
sfh 0.133248 1.12838e-10 5.52456e-10 9.72398e-11 #avg: 3.8375e-10; avg_err: 5.05839e-11; sd: 7.51984e-10; counts: 222
sfh 0.136623 1.23871e-10 5.68437e-10 1.07326e-10 #avg: 3.82587e-10; avg_err: 4.51361e-11; sd: 6.70997e-10; counts: 222
sfh 0.141685 1.56339e-10 7.58648e-10 1.32617e-10 #avg: 4.73141e-10; avg_err: 5.41296e-11; sd: 8.04695e-10; counts: 222
sfh 0.146748 1.78948e-10 7.90562e-10 1.49179e-10 #avg: 5.34962e-10; avg_err: 6.03811e-11; sd: 8.9763e-10; counts: 222
sfh 0.15181 2.17748e-10 8.33152e-10 1.76834e-10 #avg: 6.19776e-10; avg_err: 6.69455e-11; sd: 9.95217e-10; counts: 222
sfh 0.156873 2.89075e-10 9.49197e-10 2.51397e-10 #avg: 6.7612e-10; avg_err: 7.71903e-11; sd: 1.14752e-09; counts: 222
sfh 0.161935 2.99197e-10 9.86893e-10 2.53823e-10 #avg: 6.22483e-10; avg_err: 5.69029e-11; sd: 8.45923e-10; counts: 222
