#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 9.75 - 10.25
#HM   Stats: 9.572060e+09 (median) + 4.557340e+09  / - 2.963240e+09
#SM   Stats: 1.633580e+06 (median) + 4.428730e+06  / - 1.277677e+06
#VMP  Stats: 4.375000e+01 (median) + 7.889999e+00  / - 7.259998e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 6.821020e-10 (median) + 1.095499e-09  / - 3.799165e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6241779
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6241779
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6241779
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6241779
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6241779
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6241779
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6241779
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6241779
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6241779
sfh 0.078123 0 0 0 #avg: 4.86215e-09; avg_err: 3.13283e-09; sd: 7.82692e-06; counts: 6241779
sfh 0.080373 0 0 0 #avg: 2.17079e-08; avg_err: 9.30742e-09; sd: 2.32532e-05; counts: 6241779
sfh 0.082623 0 0 0 #avg: 5.42669e-08; avg_err: 2.61734e-08; sd: 6.53905e-05; counts: 6241779
sfh 0.085998 0 0 0 #avg: 2.77299e-07; avg_err: 1.82998e-07; sd: 0.000457195; counts: 6241779
sfh 0.089373 0 0 0 #avg: 3.97723e-07; avg_err: 1.12349e-07; sd: 0.000280687; counts: 6241779
sfh 0.092748 0 0 0 #avg: 5.92893e-07; avg_err: 7.38219e-08; sd: 0.000184433; counts: 6241779
sfh 0.096123 0 0 0 #avg: 9.36481e-07; avg_err: 9.77218e-08; sd: 0.000244144; counts: 6241779
sfh 0.099498 0 0 0 #avg: 1.63183e-06; avg_err: 1.3371e-07; sd: 0.000334055; counts: 6241779
sfh 0.102873 0 0 0 #avg: 2.91771e-06; avg_err: 1.81415e-07; sd: 0.000453239; counts: 6241779
sfh 0.106248 0 0 0 #avg: 4.74197e-06; avg_err: 2.17662e-07; sd: 0.000543796; counts: 6241779
sfh 0.109623 0 0 0 #avg: 7.18646e-06; avg_err: 2.45949e-07; sd: 0.000614469; counts: 6241779
sfh 0.112998 0 0 0 #avg: 1.00658e-05; avg_err: 2.47722e-07; sd: 0.000618897; counts: 6241779
sfh 0.116373 0 0 0 #avg: 1.33752e-05; avg_err: 2.67112e-07; sd: 0.000667341; counts: 6241779
sfh 0.119748 0 0 0 #avg: 1.73587e-05; avg_err: 3.33299e-07; sd: 0.0008327; counts: 6241779
sfh 0.123123 0 0 0 #avg: 2.22313e-05; avg_err: 3.81951e-07; sd: 0.00095425; counts: 6241779
sfh 0.126498 0 0 0 #avg: 2.83296e-05; avg_err: 4.28748e-07; sd: 0.00107116; counts: 6241779
sfh 0.129873 0 0 0 #avg: 3.6017e-05; avg_err: 4.8276e-07; sd: 0.00120611; counts: 6241779
sfh 0.133248 0 0 0 #avg: 4.55876e-05; avg_err: 5.53631e-07; sd: 0.00138317; counts: 6241779
sfh 0.136623 0 0 0 #avg: 5.62414e-05; avg_err: 5.88022e-07; sd: 0.00146909; counts: 6241779
sfh 0.141685 0 0 0 #avg: 7.63436e-05; avg_err: 6.17852e-07; sd: 0.00154361; counts: 6241779
sfh 0.146748 0 0 0 #avg: 0.000102292; avg_err: 7.16429e-07; sd: 0.0017899; counts: 6241779
sfh 0.15181 0 0 0 #avg: 0.00013574; avg_err: 9.25397e-07; sd: 0.00231197; counts: 6241779
sfh 0.156873 0 0 0 #avg: 0.000176238; avg_err: 1.05466e-06; sd: 0.00263491; counts: 6241779
sfh 0.161935 0 0 0 #avg: 0.000223527; avg_err: 1.12864e-06; sd: 0.00281975; counts: 6241779
sfh 0.166998 0 0 0 #avg: 0.000277873; avg_err: 1.19165e-06; sd: 0.00297716; counts: 6241779
sfh 0.17206 0 0 0 #avg: 0.000324577; avg_err: 1.26641e-06; sd: 0.00316394; counts: 6241779
sfh 0.177123 0 0 0 #avg: 0.000357536; avg_err: 1.17695e-06; sd: 0.00294045; counts: 6241779
sfh 0.182185 0 4.05705e-05 0 #avg: 0.000386985; avg_err: 1.17042e-06; sd: 0.00292411; counts: 6241779
