#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 10.25 - 10.75
#HM   Stats: 2.780880e+10 (median) + 1.502940e+10  / - 7.529400e+09
#SM   Stats: 2.039620e+07 (median) + 3.532220e+07  / - 1.263721e+07
#VMP  Stats: 6.155000e+01 (median) + 9.920002e+00  / - 7.259998e+00
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 5.482018e-10 (median) + 5.615392e-10  / - 2.679466e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 3565437
sfh 0.060123 0 0 0 #avg: 6.12382e-09; avg_err: 6.12382e-09; sd: 1.15632e-05; counts: 3565437
sfh 0.062373 0 0 0 #avg: 1.17439e-07; avg_err: 8.48592e-08; sd: 0.000160234; counts: 3565437
sfh 0.064623 0 0 0 #avg: 2.26942e-07; avg_err: 1.04298e-07; sd: 0.000196939; counts: 3565437
sfh 0.066873 0 0 0 #avg: 9.70451e-07; avg_err: 4.56296e-07; sd: 0.000861594; counts: 3565437
sfh 0.069123 0 0 0 #avg: 1.74379e-06; avg_err: 3.95194e-07; sd: 0.00074622; counts: 3565437
sfh 0.071373 0 0 0 #avg: 4.50875e-06; avg_err: 8.85023e-07; sd: 0.00167113; counts: 3565437
sfh 0.073623 0 0 0 #avg: 9.08475e-06; avg_err: 1.50523e-06; sd: 0.00284223; counts: 3565437
sfh 0.075873 0 0 0 #avg: 1.79586e-05; avg_err: 2.54761e-06; sd: 0.0048105; counts: 3565437
sfh 0.078123 0 0 0 #avg: 2.86932e-05; avg_err: 2.7601e-06; sd: 0.00521172; counts: 3565437
sfh 0.080373 0 0 0 #avg: 4.55843e-05; avg_err: 3.53578e-06; sd: 0.00667639; counts: 3565437
