#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 11.25 - 11.75
#HM   Stats: 4.072060e+11 (median) + 1.048530e+11  / - 1.295590e+11
#SM   Stats: 5.744430e+09 (median) + 9.376370e+09  / - 3.680620e+09
#VMP  Stats: 1.646000e+02 (median) + 1.839000e+01  / - 1.666000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.038168e-12 (median) + 3.039989e-12  / - 1.277392e-12
sfh 0.055623 0 0 0 #avg: 5.85803e-05; avg_err: 5.85803e-05; sd: 0.00417567; counts: 5082
sfh 0.060123 0 0 0 #avg: 0.00162439; avg_err: 0.00129998; sd: 0.0926637; counts: 5082
sfh 0.062373 0 0 0 #avg: 0.00188065; avg_err: 0.000912264; sd: 0.0650272; counts: 5082
sfh 0.064623 0 0 0 #avg: 0.00365985; avg_err: 0.00135333; sd: 0.096467; counts: 5082
sfh 0.066873 0 0 0 #avg: 0.00698081; avg_err: 0.00229077; sd: 0.163289; counts: 5082
sfh 0.069123 0 0 0 #avg: 0.0103733; avg_err: 0.0022166; sd: 0.158002; counts: 5082
sfh 0.071373 0 0 0 #avg: 0.0165275; avg_err: 0.00343944; sd: 0.245167; counts: 5082
sfh 0.073623 0 0 0 #avg: 0.0234281; avg_err: 0.00369735; sd: 0.263551; counts: 5082
sfh 0.075873 0 0 0 #avg: 0.0345195; avg_err: 0.00561608; sd: 0.40032; counts: 5082
sfh 0.078123 0 0 0 #avg: 0.0407044; avg_err: 0.00508262; sd: 0.362295; counts: 5082
sfh 0.080373 0 0 0 #avg: 0.0507404; avg_err: 0.00469216; sd: 0.334462; counts: 5082
sfh 0.082623 0 0.0140554 0 #avg: 0.0621223; avg_err: 0.00534585; sd: 0.381058; counts: 5082
