#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 11.75 - 12.25
#HM   Stats: 1.294410e+12 (median) + 3.394099e+11  / - 4.063221e+11
#SM   Stats: 2.698660e+10 (median) + 3.062670e+10  / - 1.651610e+10
#VMP  Stats: 2.009300e+02 (median) + 1.773001e+01  / - 2.104999e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.650099e-12 (median) + 3.044640e-12  / - 1.555459e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 10117
sfh 0.060123 0 0 0 #avg: 0.00131224; avg_err: 0.000653581; sd: 0.0657361; counts: 10117
sfh 0.062373 0 0 0 #avg: 0.00469555; avg_err: 0.00237692; sd: 0.239067; counts: 10117
sfh 0.064623 0 0 0 #avg: 0.00640814; avg_err: 0.00179459; sd: 0.180497; counts: 10117
sfh 0.066873 0 0 0 #avg: 0.00993442; avg_err: 0.0021415; sd: 0.215388; counts: 10117
sfh 0.069123 0 0 0 #avg: 0.0160028; avg_err: 0.00312126; sd: 0.313931; counts: 10117
sfh 0.071373 0 0 0 #avg: 0.0213945; avg_err: 0.0026546; sd: 0.266995; counts: 10117
sfh 0.073623 0 0 0 #avg: 0.0332831; avg_err: 0.00324213; sd: 0.326088; counts: 10117
sfh 0.075873 0 0 0 #avg: 0.0490077; avg_err: 0.00374371; sd: 0.376536; counts: 10117
sfh 0.078123 0 0 0 #avg: 0.068441; avg_err: 0.00465022; sd: 0.467711; counts: 10117
sfh 0.080373 0 0.0210352 0 #avg: 0.0959662; avg_err: 0.00761527; sd: 0.765931; counts: 10117
sfh 0.082623 0 0.057171 0 #avg: 0.0972755; avg_err: 0.00551411; sd: 0.5546; counts: 10117
sfh 0.085998 0 0.125715 0 #avg: 0.140537; avg_err: 0.00657866; sd: 0.661671; counts: 10117
sfh 0.089373 0 0.2161 0 #avg: 0.191085; avg_err: 0.0108745; sd: 1.09374; counts: 10117
sfh 0.092748 0.00676739 0.279564 0.00676739 #avg: 0.238574; avg_err: 0.011347; sd: 1.14126; counts: 10117
sfh 0.096123 0.0224882 0.348851 0.0224882 #avg: 0.280125; avg_err: 0.0113766; sd: 1.14424; counts: 10117
sfh 0.099498 0.0473729 0.388452 0.0473729 #avg: 0.32884; avg_err: 0.0122685; sd: 1.23394; counts: 10117
sfh 0.102873 0.0693318 0.450753 0.0693318 #avg: 0.394487; avg_err: 0.0147239; sd: 1.4809; counts: 10117
sfh 0.106248 0.0914923 0.49337 0.0914011 #avg: 0.447512; avg_err: 0.0181611; sd: 1.82662; counts: 10117
sfh 0.109623 0.112582 0.573799 0.108673 #avg: 0.511886; avg_err: 0.0231587; sd: 2.32926; counts: 10117
sfh 0.112998 0.134588 0.645754 0.125912 #avg: 0.573384; avg_err: 0.0221936; sd: 2.2322; counts: 10117
sfh 0.116373 0.155889 0.721573 0.141965 #avg: 0.617993; avg_err: 0.0194484; sd: 1.95609; counts: 10117
sfh 0.119748 0.178196 0.821106 0.159399 #avg: 0.696985; avg_err: 0.0217755; sd: 2.19015; counts: 10117
sfh 0.123123 0.205451 0.895849 0.180439 #avg: 0.775669; avg_err: 0.0232706; sd: 2.34052; counts: 10117
sfh 0.126498 0.230944 0.999116 0.199811 #avg: 0.838154; avg_err: 0.02461; sd: 2.47523; counts: 10117
sfh 0.129873 0.256878 1.0915 0.219434 #avg: 0.932911; avg_err: 0.0303879; sd: 3.05637; counts: 10117
sfh 0.133248 0.289722 1.15413 0.244665 #avg: 1.02529; avg_err: 0.0359427; sd: 3.61506; counts: 10117
sfh 0.136623 0.329468 1.28031 0.276385 #avg: 1.09; avg_err: 0.0326149; sd: 3.28035; counts: 10117
sfh 0.141685 0.386242 1.43576 0.32197 #avg: 1.2095; avg_err: 0.0309089; sd: 3.10877; counts: 10117
sfh 0.146748 0.444525 1.58736 0.367517 #avg: 1.36037; avg_err: 0.033491; sd: 3.36847; counts: 10117
sfh 0.15181 0.514008 1.79472 0.422425 #avg: 1.50075; avg_err: 0.0341864; sd: 3.43841; counts: 10117
sfh 0.156873 0.577671 1.9827 0.469482 #avg: 1.63985; avg_err: 0.0362094; sd: 3.64188; counts: 10117
sfh 0.161935 0.646832 2.18505 0.522772 #avg: 1.80534; avg_err: 0.0401514; sd: 4.03836; counts: 10117
sfh 0.166998 0.725922 2.42562 0.583707 #avg: 2.02083; avg_err: 0.0479618; sd: 4.82392; counts: 10117
sfh 0.17206 0.810739 2.62358 0.649905 #avg: 2.19107; avg_err: 0.0517681; sd: 5.20675; counts: 10117
sfh 0.177123 0.889446 2.87272 0.710619 #avg: 2.40412; avg_err: 0.0592113; sd: 5.95538; counts: 10117
sfh 0.182185 0.981446 3.06728 0.787905 #avg: 2.61644; avg_err: 0.0604481; sd: 6.07977; counts: 10117
sfh 0.187248 1.07204 3.37157 0.855377 #avg: 2.81935; avg_err: 0.0669752; sd: 6.73626; counts: 10117
sfh 0.19231 1.17693 3.56187 0.938737 #avg: 2.97897; avg_err: 0.063083; sd: 6.34479; counts: 10117
sfh 0.197373 1.27308 3.85146 1.01954 #avg: 3.13487; avg_err: 0.060485; sd: 6.08348; counts: 10117
sfh 0.202435 1.38469 4.16173 1.11232 #avg: 3.40172; avg_err: 0.0702965; sd: 7.0703; counts: 10117
sfh 0.207498 1.48715 4.40004 1.18753 #avg: 3.65034; avg_err: 0.075882; sd: 7.63208; counts: 10117
sfh 0.21256 1.59722 4.69303 1.27398 #avg: 3.83235; avg_err: 0.0760656; sd: 7.65055; counts: 10117
sfh 0.217623 1.70162 5.02332 1.35974 #avg: 4.07842; avg_err: 0.0798724; sd: 8.03343; counts: 10117
sfh 0.222685 1.79855 5.2562 1.42473 #avg: 4.35041; avg_err: 0.0844021; sd: 8.48902; counts: 10117
sfh 0.227748 1.92614 5.51513 1.52015 #avg: 4.55956; avg_err: 0.0857342; sd: 8.62301; counts: 10117
