#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.25 - 12.75
#HM   Stats: 2.250000e+12 (median) + 1.070590e+12  / - 3.588201e+11
#SM   Stats: 1.164360e+11 (median) + 9.590500e+10  / - 6.496710e+10
#VMP  Stats: 2.424900e+02 (median) + 3.417000e+01  / - 1.877000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.698883e-10 (median) + 6.204768e-10  / - 2.517043e-10
sfh 0.055623 0 0 0 #avg: 0.00168387; avg_err: 0.00168387; sd: 0.0580142; counts: 1188
sfh 0.060123 0 0 0 #avg: 0.00609858; avg_err: 0.00537639; sd: 0.185232; counts: 1188
sfh 0.062373 0 0 0 #avg: 0.00706906; avg_err: 0.00536058; sd: 0.184687; counts: 1188
sfh 0.064623 0 0 0 #avg: 0.00945679; avg_err: 0.0038441; sd: 0.13244; counts: 1188
sfh 0.066873 0 0 0 #avg: 0.0395591; avg_err: 0.0138992; sd: 0.478866; counts: 1188
sfh 0.069123 0 0 0 #avg: 0.0473232; avg_err: 0.0118276; sd: 0.407494; counts: 1188
sfh 0.071373 0 0 0 #avg: 0.0820437; avg_err: 0.0245495; sd: 0.845802; counts: 1188
sfh 0.073623 0 0 0 #avg: 0.0832269; avg_err: 0.0168925; sd: 0.581995; counts: 1188
sfh 0.075873 0 0.0102919 0 #avg: 0.151696; avg_err: 0.0487103; sd: 1.67821; counts: 1188
sfh 0.078123 0 0.04403 0 #avg: 0.165276; avg_err: 0.0286369; sd: 0.986622; counts: 1188
sfh 0.080373 0 0.0990597 0 #avg: 0.235934; avg_err: 0.0362863; sd: 1.25017; counts: 1188
sfh 0.082623 0 0.155177 0 #avg: 0.24072; avg_err: 0.0370368; sd: 1.27603; counts: 1188
