#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.25 - 12.75
#HM   Stats: 2.205880e+12 (median) + 8.279401e+11  / - 3.205899e+11
#SM   Stats: 1.162420e+11 (median) + 9.308000e+10  / - 6.311380e+10
#VMP  Stats: 2.400700e+02 (median) + 2.956000e+01  / - 1.716000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 3.529541e-10 (median) + 6.399660e-10  / - 2.644274e-10
sfh 0.055623 0 0 0 #avg: 0.0019826; avg_err: 0.0019826; sd: 0.0629455; counts: 1009
sfh 0.060123 0 0 0 #avg: 0.0062643; avg_err: 0.0062643; sd: 0.198885; counts: 1009
sfh 0.062373 0 0 0 #avg: 0.00753487; avg_err: 0.00628751; sd: 0.199622; counts: 1009
sfh 0.064623 0 0 0 #avg: 0.00729779; avg_err: 0.00356376; sd: 0.113146; counts: 1009
sfh 0.066873 0 0 0 #avg: 0.0314876; avg_err: 0.0127101; sd: 0.403532; counts: 1009
sfh 0.069123 0 0 0 #avg: 0.0402428; avg_err: 0.0105784; sd: 0.335854; counts: 1009
sfh 0.071373 0 0 0 #avg: 0.0641005; avg_err: 0.0172549; sd: 0.547826; counts: 1009
sfh 0.073623 0 0 0 #avg: 0.0787156; avg_err: 0.0166362; sd: 0.528183; counts: 1009
sfh 0.075873 0 0.0013185 0 #avg: 0.158151; avg_err: 0.0569195; sd: 1.80714; counts: 1009
sfh 0.078123 0 0.0312922 0 #avg: 0.144492; avg_err: 0.0288736; sd: 0.916708; counts: 1009
sfh 0.080373 0 0.0839567 0 #avg: 0.208661; avg_err: 0.0349588; sd: 1.10991; counts: 1009
sfh 0.082623 0 0.133081 0 #avg: 0.210924; avg_err: 0.0353264; sd: 1.12158; counts: 1009
sfh 0.085998 0 0.247627 0 #avg: 0.267988; avg_err: 0.0312522; sd: 0.992227; counts: 1009
sfh 0.089373 0.00673172 0.39434 0.00673172 #avg: 0.335043; avg_err: 0.0388633; sd: 1.23387; counts: 1009
sfh 0.092748 0.0265644 0.58403 0.0265644 #avg: 0.436815; avg_err: 0.0534949; sd: 1.69841; counts: 1009
sfh 0.096123 0.0542086 0.666114 0.0542086 #avg: 0.669203; avg_err: 0.124094; sd: 3.93987; counts: 1009
sfh 0.099498 0.0835221 0.73516 0.0835221 #avg: 0.712797; avg_err: 0.117399; sd: 3.72732; counts: 1009
sfh 0.102873 0.120944 0.814914 0.120944 #avg: 0.865894; avg_err: 0.155954; sd: 4.95137; counts: 1009
sfh 0.106248 0.164103 0.887087 0.160586 #avg: 0.94906; avg_err: 0.160007; sd: 5.08008; counts: 1009
sfh 0.109623 0.20327 1.175 0.192724 #avg: 1.01938; avg_err: 0.173092; sd: 5.4955; counts: 1009
sfh 0.112998 0.234741 1.31445 0.219449 #avg: 1.1295; avg_err: 0.131454; sd: 4.17354; counts: 1009
sfh 0.116373 0.28622 1.45227 0.264664 #avg: 1.25121; avg_err: 0.140187; sd: 4.4508; counts: 1009
sfh 0.119748 0.318478 1.78637 0.28903 #avg: 1.44192; avg_err: 0.160088; sd: 5.08263; counts: 1009
sfh 0.123123 0.382405 1.99103 0.34317 #avg: 1.61473; avg_err: 0.150964; sd: 4.79295; counts: 1009
sfh 0.126498 0.451871 2.04097 0.407838 #avg: 1.88022; avg_err: 0.201309; sd: 6.39136; counts: 1009
sfh 0.129873 0.486448 2.19989 0.431861 #avg: 2.03761; avg_err: 0.1751; sd: 5.55927; counts: 1009
sfh 0.133248 0.5631 2.33516 0.496546 #avg: 2.29973; avg_err: 0.205375; sd: 6.52044; counts: 1009
sfh 0.136623 0.617191 2.48719 0.533848 #avg: 2.69871; avg_err: 0.281259; sd: 8.92969; counts: 1009
sfh 0.141685 0.719087 3.0556 0.629519 #avg: 3.19511; avg_err: 0.385451; sd: 12.2377; counts: 1009
sfh 0.146748 0.830235 3.49767 0.720099 #avg: 3.8; avg_err: 0.641352; sd: 20.3623; counts: 1009
sfh 0.15181 1.01082 4.3426 0.886395 #avg: 4.23343; avg_err: 0.57398; sd: 18.2233; counts: 1009
sfh 0.156873 1.13454 4.58873 1.0003 #avg: 4.67406; avg_err: 0.589544; sd: 18.7174; counts: 1009
sfh 0.161935 1.28707 5.74695 1.13343 #avg: 5.0914; avg_err: 0.705665; sd: 22.4042; counts: 1009
sfh 0.166998 1.42173 6.39449 1.23547 #avg: 5.03893; avg_err: 0.412258; sd: 13.0888; counts: 1009
sfh 0.17206 1.62363 7.32989 1.40913 #avg: 5.76556; avg_err: 0.449556; sd: 14.273; counts: 1009
sfh 0.177123 1.91732 7.73993 1.66992 #avg: 6.5217; avg_err: 0.531888; sd: 16.8869; counts: 1009
sfh 0.182185 2.08828 8.94742 1.79848 #avg: 7.26313; avg_err: 0.59082; sd: 18.758; counts: 1009
sfh 0.187248 2.31896 9.80454 1.96989 #avg: 8.26594; avg_err: 0.7705; sd: 24.4626; counts: 1009
sfh 0.19231 2.62309 11.1112 2.24364 #avg: 8.99006; avg_err: 0.762603; sd: 24.2119; counts: 1009
sfh 0.197373 2.95346 11.0872 2.55717 #avg: 9.37172; avg_err: 0.723296; sd: 22.9639; counts: 1009
sfh 0.202435 3.26393 12.29 2.80366 #avg: 10.0322; avg_err: 0.695195; sd: 22.0718; counts: 1009
sfh 0.207498 3.67672 12.8123 3.16946 #avg: 11.3152; avg_err: 0.852686; sd: 27.072; counts: 1009
sfh 0.21256 3.89923 14.4382 3.40614 #avg: 12.9161; avg_err: 1.0717; sd: 34.0253; counts: 1009
sfh 0.217623 4.16652 15.6957 3.59585 #avg: 13.8316; avg_err: 1.08301; sd: 34.3846; counts: 1009
sfh 0.222685 4.47819 17.6147 3.89535 #avg: 14.6489; avg_err: 1.10363; sd: 35.0391; counts: 1009
sfh 0.227748 4.97352 20.3101 4.32992 #avg: 15.5117; avg_err: 1.02609; sd: 32.5774; counts: 1009
sfh 0.23281 5.27277 23.0306 4.58771 #avg: 16.2581; avg_err: 0.9788; sd: 31.076; counts: 1009
sfh 0.237873 5.75631 23.4817 5.07556 #avg: 17.0974; avg_err: 1.00107; sd: 31.7831; counts: 1009
sfh 0.242935 6.25701 24.4792 5.50968 #avg: 17.9066; avg_err: 1.08278; sd: 34.3771; counts: 1009
