#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM   Stats: 8.336760e+12 (median) + 4.444140e+12  / - 2.079410e+12
#SM   Stats: 1.090630e+11 (median) + 1.112360e+11  / - 6.413130e+10
#VMP  Stats: 3.663500e+02 (median) + 5.603000e+01  / - 3.697000e+01
#ICL  Stats: 3.404550e+09 (median) + 1.424625e+10  / - 2.770011e+09
#SSFR Stats: 2.511899e-12 (median) + 4.571788e-12  / - 1.570402e-12
sfh 0.055623 0 0 0 #avg: 0.00448572; avg_err: 0.00131147; sd: 0.138725; counts: 11190
sfh 0.060123 0 0 0 #avg: 0.0465552; avg_err: 0.00933757; sd: 0.98771; counts: 11190
sfh 0.062373 0 0 0 #avg: 0.0852213; avg_err: 0.0135022; sd: 1.42824; counts: 11190
sfh 0.064623 0 0 0 #avg: 0.175134; avg_err: 0.0242702; sd: 2.56726; counts: 11190
sfh 0.066873 0 0 0 #avg: 0.270321; avg_err: 0.0319127; sd: 3.37566; counts: 11190
sfh 0.069123 0 0.0322245 0 #avg: 0.323005; avg_err: 0.0255383; sd: 2.70139; counts: 11190
sfh 0.071373 0 0.145923 0 #avg: 0.426682; avg_err: 0.0263494; sd: 2.78718; counts: 11190
sfh 0.073623 0 0.360811 0 #avg: 0.574549; avg_err: 0.0381727; sd: 4.03784; counts: 11190
sfh 0.075873 0 0.631561 0 #avg: 0.744227; avg_err: 0.0444222; sd: 4.69889; counts: 11190
sfh 0.078123 0.0131174 0.911463 0.0131174 #avg: 0.887547; avg_err: 0.0425667; sd: 4.50262; counts: 11190
sfh 0.080373 0.0549219 1.19498 0.0549219 #avg: 1.04888; avg_err: 0.0467805; sd: 4.94835; counts: 11190
sfh 0.082623 0.119201 1.2309 0.119201 #avg: 1.062; avg_err: 0.0404785; sd: 4.28173; counts: 11190
sfh 0.085998 0.24207 1.7088 0.24207 #avg: 1.56227; avg_err: 0.0750561; sd: 7.93929; counts: 11190
sfh 0.089373 0.387632 2.012 0.381091 #avg: 1.89975; avg_err: 0.0639447; sd: 6.76395; counts: 11190
sfh 0.092748 0.520187 2.40706 0.489815 #avg: 2.3036; avg_err: 0.0802702; sd: 8.49083; counts: 11190
sfh 0.096123 0.690026 2.88962 0.625192 #avg: 2.85411; avg_err: 0.0990321; sd: 10.4754; counts: 11190
sfh 0.099498 0.830225 3.47924 0.720058 #avg: 3.47918; avg_err: 0.116155; sd: 12.2867; counts: 11190
sfh 0.102873 1.02379 4.34249 0.867287 #avg: 4.20255; avg_err: 0.136578; sd: 14.447; counts: 11190
sfh 0.106248 1.25679 5.31727 1.05031 #avg: 5.00755; avg_err: 0.161772; sd: 17.1119; counts: 11190
sfh 0.109623 1.48913 6.11996 1.23344 #avg: 5.79729; avg_err: 0.210462; sd: 22.2622; counts: 11190
sfh 0.112998 1.74811 7.12647 1.44458 #avg: 6.5946; avg_err: 0.241268; sd: 25.5209; counts: 11190
sfh 0.116373 2.04063 8.20587 1.67764 #avg: 7.41603; avg_err: 0.222717; sd: 23.5586; counts: 11190
sfh 0.119748 2.38589 9.28811 1.96224 #avg: 8.47564; avg_err: 0.233268; sd: 24.6747; counts: 11190
