#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM   Stats: 7.054410e+12 (median) + 5.505891e+12  / - 8.852896e+11
#SM   Stats: 1.337640e+11 (median) + 1.383050e+11  / - 7.831250e+10
#VMP  Stats: 3.451800e+02 (median) + 6.256000e+01  / - 2.403000e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.736156e-11 (median) + 2.937370e-10  / - 1.136337e-11
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 43
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 43
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 43
sfh 0.064623 0 0 0 #avg: 0.0151013; avg_err: 0.012492; sd: 0.0809576; counts: 43
sfh 0.066873 0 0 0 #avg: 0.0592812; avg_err: 0.0403319; sd: 0.26138; counts: 43
sfh 0.069123 0 0 0 #avg: 0.125769; avg_err: 0.0788293; sd: 0.510872; counts: 43
sfh 0.071373 0 0 0 #avg: 0.273387; avg_err: 0.211677; sd: 1.37182; counts: 43
sfh 0.073623 0 0.0293985 0 #avg: 0.322084; avg_err: 0.23707; sd: 1.53639; counts: 43
sfh 0.075873 0 0.122777 0 #avg: 0.329428; avg_err: 0.205316; sd: 1.3306; counts: 43
sfh 0.078123 0 0.22161 0 #avg: 0.487892; avg_err: 0.315883; sd: 2.04716; counts: 43
sfh 0.080373 0 0.239506 0 #avg: 0.441006; avg_err: 0.259402; sd: 1.68112; counts: 43
sfh 0.082623 0.00320065 0.235775 0.00320065 #avg: 0.677353; avg_err: 0.368048; sd: 2.38522; counts: 43
sfh 0.085998 0.0208835 0.493886 0.0208835 #avg: 0.695482; avg_err: 0.351302; sd: 2.27669; counts: 43
sfh 0.089373 0.0712409 0.457516 0.0712409 #avg: 0.664615; avg_err: 0.337428; sd: 2.18678; counts: 43
sfh 0.092748 0.0883926 0.663096 0.0796052 #avg: 0.944232; avg_err: 0.545881; sd: 3.53771; counts: 43
sfh 0.096123 0.164472 0.460177 0.142321 #avg: 1.19676; avg_err: 0.672909; sd: 4.36095; counts: 43
sfh 0.099498 0.315121 0.595884 0.273787 #avg: 1.14678; avg_err: 0.503842; sd: 3.26527; counts: 43
sfh 0.102873 0.361609 0.668331 0.308395 #avg: 1.23584; avg_err: 0.599243; sd: 3.88354; counts: 43
sfh 0.106248 0.478342 1.68486 0.418168 #avg: 1.6366; avg_err: 0.661767; sd: 4.28874; counts: 43
sfh 0.109623 0.432542 2.04842 0.364636 #avg: 2.84183; avg_err: 1.34327; sd: 8.70541; counts: 43
sfh 0.112998 0.441841 2.83326 0.373907 #avg: 3.41713; avg_err: 1.73599; sd: 11.2505; counts: 43
