#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 13.25 - 13.75
#HM   Stats: 2.554410e+13 (median) + 1.323530e+13  / - 6.088200e+12
#SM   Stats: 1.786230e+11 (median) + 1.516650e+11  / - 1.027552e+11
#VMP  Stats: 5.238500e+02 (median) + 7.719000e+01  / - 4.883997e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.325233e-12 (median) + 3.109886e-12  / - 1.414793e-12
sfh 0.055623 0 0 0 #avg: 0.00974019; avg_err: 0.00393185; sd: 0.176977; counts: 2027
sfh 0.060123 0 0 0 #avg: 0.12197; avg_err: 0.02435; sd: 1.09602; counts: 2027
sfh 0.062373 0 0 0 #avg: 0.319702; avg_err: 0.0597575; sd: 2.68975; counts: 2027
sfh 0.064623 0 0.111226 0 #avg: 0.669333; avg_err: 0.116597; sd: 5.24814; counts: 2027
sfh 0.066873 0 0.323178 0 #avg: 0.92718; avg_err: 0.132458; sd: 5.96208; counts: 2027
sfh 0.069123 0 0.801586 0 #avg: 1.4043; avg_err: 0.277779; sd: 12.5031; counts: 2027
sfh 0.071373 0.0130247 1.40171 0.0130247 #avg: 1.56399; avg_err: 0.220176; sd: 9.91039; counts: 2027
sfh 0.073623 0.07878 2.10431 0.07878 #avg: 2.16652; avg_err: 0.254137; sd: 11.439; counts: 2027
sfh 0.075873 0.210548 2.8668 0.210548 #avg: 2.75172; avg_err: 0.271493; sd: 12.2202; counts: 2027
sfh 0.078123 0.390094 3.40759 0.390094 #avg: 3.38606; avg_err: 0.290829; sd: 13.0905; counts: 2027
sfh 0.080373 0.603183 4.48601 0.596279 #avg: 3.98938; avg_err: 0.336182; sd: 15.1319; counts: 2027
sfh 0.082623 0.836548 4.51463 0.806378 #avg: 3.93609; avg_err: 0.367636; sd: 16.5477; counts: 2027
sfh 0.085998 1.39665 6.2153 1.29058 #avg: 5.85053; avg_err: 0.57472; sd: 25.8688; counts: 2027
sfh 0.089373 1.88516 7.92991 1.68875 #avg: 7.18796; avg_err: 0.590089; sd: 26.5606; counts: 2027
sfh 0.092748 2.22803 10.3563 1.91303 #avg: 8.92037; avg_err: 0.721966; sd: 32.4965; counts: 2027
sfh 0.096123 2.83259 12.0172 2.35366 #avg: 10.8773; avg_err: 0.813029; sd: 36.5953; counts: 2027
sfh 0.099498 3.51744 14.4266 2.91097 #avg: 12.9252; avg_err: 0.860278; sd: 38.7221; counts: 2027
sfh 0.102873 4.35151 16.6689 3.5876 #avg: 15.3585; avg_err: 0.966232; sd: 43.4912; counts: 2027
