#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 13.75 - 14.25
#HM   Stats: 7.720590e+13 (median) + 3.769111e+13  / - 1.633829e+13
#SM   Stats: 2.874330e+11 (median) + 2.178810e+11  / - 1.540660e+11
#VMP  Stats: 7.575900e+02 (median) + 1.099000e+02  / - 6.526001e+01
#ICL  Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR Stats: 2.510025e-12 (median) + 3.381619e-12  / - 1.493543e-12
sfh 0.055623 0 0 0 #avg: 0.0204851; avg_err: 0.0145383; sd: 0.281534; counts: 376
sfh 0.060123 0 0 0 #avg: 0.302213; avg_err: 0.139102; sd: 2.69369; counts: 376
sfh 0.062373 0 0.166073 0 #avg: 0.766448; avg_err: 0.306082; sd: 5.92726; counts: 376
sfh 0.064623 0 0.870103 0 #avg: 0.867527; avg_err: 0.204829; sd: 3.9665; counts: 376
sfh 0.066873 0 1.7609 0 #avg: 1.28997; avg_err: 0.213612; sd: 4.13658; counts: 376
sfh 0.069123 0.07629 3.6345 0.07629 #avg: 2.40455; avg_err: 0.365583; sd: 7.07949; counts: 376
sfh 0.071373 0.340068 4.45853 0.340068 #avg: 3.19197; avg_err: 0.452329; sd: 8.75931; counts: 376
sfh 0.073623 0.76111 5.31697 0.76111 #avg: 4.39118; avg_err: 0.725861; sd: 14.0562; counts: 376
sfh 0.075873 1.4168 7.91527 1.40886 #avg: 5.22884; avg_err: 0.624194; sd: 12.0875; counts: 376
sfh 0.078123 1.9098 8.563 1.83769 #avg: 6.64765; avg_err: 0.76505; sd: 14.8151; counts: 376
sfh 0.080373 2.37421 7.64859 2.2372 #avg: 7.89743; avg_err: 1.0557; sd: 20.4436; counts: 376
sfh 0.082623 2.50779 8.34511 2.20776 #avg: 7.52004; avg_err: 0.887636; sd: 17.189; counts: 376
sfh 0.085998 3.72474 14.9859 3.08337 #avg: 12.3824; avg_err: 1.61388; sd: 31.2526; counts: 376
sfh 0.089373 4.7239 15.8647 3.77855 #avg: 15.511; avg_err: 2.27176; sd: 43.9924; counts: 376
sfh 0.092748 6.48166 22.1516 5.24812 #avg: 20.8175; avg_err: 3.99705; sd: 77.4025; counts: 376
sfh 0.096123 7.7156 29.2571 6.03355 #avg: 23.1663; avg_err: 2.39193; sd: 46.3195; counts: 376
sfh 0.099498 9.68022 33.4889 7.66208 #avg: 31.4741; avg_err: 4.1191; sd: 79.766; counts: 376
sfh 0.102873 11.1037 46.6223 8.4865 #avg: 41.3936; avg_err: 4.88856; sd: 94.6666; counts: 376
sfh 0.106248 14.8651 58.9959 11.8729 #avg: 50.0047; avg_err: 6.07491; sd: 117.64; counts: 376
sfh 0.109623 17.6977 67.7093 13.9968 #avg: 59.083; avg_err: 7.86684; sd: 152.341; counts: 376
sfh 0.112998 20.8415 75.1697 16.3748 #avg: 67.9188; avg_err: 7.65383; sd: 148.216; counts: 376
sfh 0.116373 23.0304 88.3396 18.014 #avg: 84.2246; avg_err: 9.95947; sd: 192.864; counts: 376
sfh 0.119748 26.5417 108.859 20.8298 #avg: 91.7472; avg_err: 9.52979; sd: 184.544; counts: 376
sfh 0.123123 30.2773 127.6 23.7794 #avg: 103.328; avg_err: 10.7847; sd: 208.845; counts: 376
sfh 0.126498 37.4677 159.954 30.1309 #avg: 109.461; avg_err: 9.91693; sd: 192.04; counts: 376
sfh 0.129873 49.122 182.572 40.4949 #avg: 119.71; avg_err: 10.9746; sd: 212.522; counts: 376
sfh 0.133248 48.4994 195.493 37.9364 #avg: 132.274; avg_err: 11.9469; sd: 231.351; counts: 376
sfh 0.136623 50.4933 226.114 38.4046 #avg: 147.041; avg_err: 11.9926; sd: 232.235; counts: 376
sfh 0.141685 60.0726 267.798 46.8396 #avg: 171.472; avg_err: 14.8149; sd: 286.888; counts: 376
sfh 0.146748 70.8143 297.247 56.1731 #avg: 192.745; avg_err: 18.5519; sd: 359.256; counts: 376
sfh 0.15181 89.3314 324.142 74.1104 #avg: 208.886; avg_err: 15.9072; sd: 308.042; counts: 376
sfh 0.156873 106.192 326.338 86.8975 #avg: 229.821; avg_err: 17.8592; sd: 345.842; counts: 376
sfh 0.161935 129.075 351.75 108.304 #avg: 245.318; avg_err: 18.4067; sd: 356.444; counts: 376
sfh 0.166998 136.551 337.701 108.862 #avg: 262.344; avg_err: 20.3225; sd: 393.543; counts: 376
sfh 0.17206 154.45 343.848 124.252 #avg: 276.697; avg_err: 17.9373; sd: 347.354; counts: 376
sfh 0.177123 168.116 375.877 132.757 #avg: 297.059; avg_err: 18.7613; sd: 363.31; counts: 376
sfh 0.182185 166.998 398.576 130.793 #avg: 302.202; avg_err: 18.4807; sd: 357.877; counts: 376
sfh 0.187248 198.553 407.098 155.768 #avg: 317.596; avg_err: 18.0818; sd: 350.153; counts: 376
sfh 0.19231 209.488 447.821 166.209 #avg: 318.301; avg_err: 16.9177; sd: 327.61; counts: 376
sfh 0.197373 200.941 435.983 163.622 #avg: 317.835; avg_err: 18.0493; sd: 349.522; counts: 376
sfh 0.202435 210.254 408.92 172.008 #avg: 317.957; avg_err: 18.0025; sd: 348.616; counts: 376
sfh 0.207498 203.119 395.296 161.831 #avg: 312.292; avg_err: 17.3547; sd: 336.072; counts: 376
sfh 0.21256 197.845 358.971 157.908 #avg: 298.813; avg_err: 16.1888; sd: 313.495; counts: 376
sfh 0.217623 200.186 390.537 157.361 #avg: 297.788; avg_err: 15.8942; sd: 307.79; counts: 376
sfh 0.222685 206.523 351.801 163.411 #avg: 294.784; avg_err: 15.6556; sd: 303.169; counts: 376
sfh 0.227748 207.398 298.855 171.624 #avg: 280.983; avg_err: 15.1152; sd: 292.704; counts: 376
sfh 0.23281 207.323 263.533 172.666 #avg: 270.561; avg_err: 13.9759; sd: 270.642; counts: 376
sfh 0.237873 181.708 294.671 147.609 #avg: 257.33; avg_err: 12.8251; sd: 248.356; counts: 376
sfh 0.242935 189.85 268.491 159.099 #avg: 243.513; avg_err: 11.8238; sd: 228.968; counts: 376
sfh 0.247998 170.81 265.897 140.114 #avg: 231.691; avg_err: 11.5033; sd: 222.761; counts: 376
sfh 0.25306 145.616 236.215 122.029 #avg: 205.036; avg_err: 10.8063; sd: 209.263; counts: 376
sfh 0.258123 138.732 203.949 122.213 #avg: 185.752; avg_err: 10.1638; sd: 196.821; counts: 376
sfh 0.263185 126.757 212.227 111.526 #avg: 175.295; avg_err: 9.76958; sd: 189.187; counts: 376
sfh 0.268248 101.242 207.484 89.1556 #avg: 157.395; avg_err: 9.20011; sd: 178.159; counts: 376
sfh 0.27331 96.7755 187.924 85.4812 #avg: 146.442; avg_err: 8.6862; sd: 168.208; counts: 376
sfh 0.278373 88.5278 178.729 79.7225 #avg: 135.337; avg_err: 8.1361; sd: 157.555; counts: 376
sfh 0.283435 75.5153 175.323 66.3904 #avg: 119.502; avg_err: 6.56395; sd: 127.11; counts: 376
