#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 14.25 - 14.75
#HM   Stats: 2.375000e+14 (median) + 1.852901e+13  / - 3.294099e+13
#SM   Stats: 3.761430e+11 (median) + 3.810600e+11  / - 1.877950e+11
#VMP  Stats: 1.072430e+03 (median) + 7.742993e+01  / - 7.552008e+01
#ICL  Stats: 4.031140e+11 (median) + 4.262350e+11  / - 3.352985e+11
#SSFR Stats: 2.283521e-12 (median) + 6.659698e-12  / - 1.825546e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 12
sfh 0.060123 0 0.347475 0 #avg: 0.156875; avg_err: 0.128562; sd: 0.426391; counts: 12
sfh 0.062373 0 9.74705 0 #avg: 2.65653; avg_err: 1.76682; sd: 5.85988; counts: 12
sfh 0.064623 0.218787 19.9597 0.218787 #avg: 4.0082; avg_err: 2.25322; sd: 7.47307; counts: 12
sfh 0.066873 0.817536 32.4111 0.817536 #avg: 6.38064; avg_err: 3.78358; sd: 12.5487; counts: 12
sfh 0.069123 1.65708 36.1185 1.65708 #avg: 8.92085; avg_err: 5.43329; sd: 18.0202; counts: 12
sfh 0.071373 2.09787 31.9031 1.79168 #avg: 10.1742; avg_err: 6.20403; sd: 20.5764; counts: 12
sfh 0.073623 2.94788 21.4733 2.83351 #avg: 14.5378; avg_err: 9.8206; sd: 32.5713; counts: 12
sfh 0.075873 7.71653 16.9797 7.53067 #avg: 12.8153; avg_err: 5.48907; sd: 18.2052; counts: 12
sfh 0.078123 10.7539 10.8017 10.3256 #avg: 13.1531; avg_err: 4.14061; sd: 13.7328; counts: 12
sfh 0.080373 12.3773 31.819 11.4066 #avg: 15.7991; avg_err: 5.02599; sd: 16.6693; counts: 12
sfh 0.082623 8.02845 42.9926 6.29773 #avg: 18.0445; avg_err: 6.49364; sd: 21.537; counts: 12
sfh 0.085998 16.9506 40.513 13.6497 #avg: 40.7555; avg_err: 23.3098; sd: 77.31; counts: 12
sfh 0.089373 20.0237 34.4981 17.1198 #avg: 117.429; avg_err: 98.8586; sd: 327.877; counts: 12
sfh 0.092748 21.6129 31.3646 15.7737 #avg: 90.1722; avg_err: 69.2283; sd: 229.604; counts: 12
sfh 0.096123 26.0017 61.7076 21.4535 #avg: 36.0197; avg_err: 11.5657; sd: 38.3592; counts: 12
sfh 0.099498 37.0187 57.0975 32.4455 #avg: 84.0445; avg_err: 50.6365; sd: 167.942; counts: 12
sfh 0.102873 40.1434 78.9046 34.4132 #avg: 75.8021; avg_err: 36.4275; sd: 120.816; counts: 12
sfh 0.106248 41.0273 56.3364 32.2503 #avg: 78.6114; avg_err: 37.6644; sd: 124.919; counts: 12
sfh 0.109623 41.928 136.131 31.7954 #avg: 101.411; avg_err: 53.9852; sd: 179.049; counts: 12
sfh 0.112998 38.541 325.947 25.2589 #avg: 107.457; avg_err: 48.8543; sd: 162.031; counts: 12
sfh 0.116373 38.8193 513.982 27.1922 #avg: 127.189; avg_err: 58.961; sd: 195.552; counts: 12
sfh 0.119748 53.4006 335.554 40.4172 #avg: 119.982; avg_err: 49.5695; sd: 164.404; counts: 12
sfh 0.123123 67.2922 256.398 53.2804 #avg: 127.507; avg_err: 41.0643; sd: 136.195; counts: 12
sfh 0.126498 66.0037 281.622 46.6957 #avg: 134.665; avg_err: 47.3412; sd: 157.013; counts: 12
